support,input_limit,node_count,edge_count,accepted_count,recurrent_node_count,recurrent_core_exact,computation_edges_on_closed_walk,cemetery_edges_on_closed_walk,selector_tautological
prime,64,606,561,18,18,True,False,False,True
square,64,628,572,7,7,True,False,False,True
power_of_two,64,630,573,6,6,True,False,False,True
ultimately_periodic,64,602,559,20,20,True,False,False,True
seeded_total,64,580,548,31,31,True,False,False,True
