support,input,padding_rule,acceptance_independent_padding,cycle_length,total_roof,length_over_log,max_edge_lower_bound,equal_allocation_edge_weight,bound_verified,disjoint_basis_witness,pre_induction_marker,post_induction_marker,marker_changed,candidate_used_support
prime,2,ell(n)=n+17_for_every_input,True,19,log(2),27.411205776890306,0.98192463964527088,0.98192463964527088,True,True,z^19,z,True,False
prime,419,ell(n)=n+17_for_every_input,True,436,log(419),72.210884562206331,0.99309975289076224,0.99309975289076224,True,True,z^436,z,True,False
prime,953,ell(n)=n+17_for_every_input,True,970,log(953),141.40735502269507,0.9964703599053969,0.9964703599053969,True,True,z^970,z,True,False
prime,1531,ell(n)=n+17_for_every_input,True,1548,log(1531),211.08103446132154,0.99763404476886786,0.99763404476886786,True,True,z^1548,z,True,False
prime,2141,ell(n)=n+17_for_every_input,True,2158,log(2141),281.39158167023157,0.99822469443042861,0.99822469443042861,True,True,z^2158,z,True,False
prime,2767,ell(n)=n+17_for_every_input,True,2784,log(2767),351.27037195926908,0.99857760757121095,0.99857760757121095,True,True,z^2784,z,True,False
prime,3461,ell(n)=n+17_for_every_input,True,3478,log(3461),426.784450018548,0.99882913441099919,0.99882913441099919,True,True,z^3478,z,True,False
prime,4093,ell(n)=n+17_for_every_input,True,4110,log(4093),494.16658134377707,0.9989887071424538,0.9989887071424538,True,True,z^4110,z,True,False
square,4,ell(n)=n+17_for_every_input,True,21,log(4),15.148297929334117,0.96753177852389161,0.96753177852389161,True,True,z^21,z,True,False
square,121,ell(n)=n+17_for_every_input,True,138,log(121),28.775235008272997,0.98277404030363225,0.98277404030363225,True,True,z^138,z,True,False
square,400,ell(n)=n+17_for_every_input,True,417,log(400),69.599009844977147,0.99284173306965151,0.99284173306965151,True,True,z^417,z,True,False
square,841,ell(n)=n+17_for_every_input,True,858,log(841),127.40193367617576,0.99608310391317534,0.99608310391317534,True,True,z^858,z,True,False
square,1369,ell(n)=n+17_for_every_input,True,1386,log(1369),191.91796013233818,0.99739811091707498,0.99739811091707498,True,True,z^1386,z,True,False
square,2116,ell(n)=n+17_for_every_input,True,2133,log(2116),278.55834212574513,0.99820665385381324,0.99820665385381324,True,True,z^2133,z,True,False
square,3025,ell(n)=n+17_for_every_input,True,3042,log(3025),379.55416475103118,0.99868353226703499,0.99868353226703499,True,True,z^3042,z,True,False
square,4096,ell(n)=n+17_for_every_input,True,4113,log(4096),494.48372526469223,0.99898935542113576,0.99898935542113576,True,True,z^4113,z,True,False
power_of_two,2,ell(n)=n+17_for_every_input,True,19,log(2),27.411205776890306,0.98192463964527088,0.98192463964527088,True,True,z^19,z,True,False
power_of_two,8,ell(n)=n+17_for_every_input,True,25,log(8),12.022458674074697,0.95926411932526434,0.95926411932526434,True,True,z^25,z,True,False
power_of_two,16,ell(n)=n+17_for_every_input,True,33,log(16),11.902234087333948,0.95886122745964864,0.95886122745964864,True,True,z^33,z,True,False
power_of_two,64,ell(n)=n+17_for_every_input,True,81,log(64),19.476383052001008,0.97465460912243107,0.97465460912243107,True,True,z^81,z,True,False
power_of_two,128,ell(n)=n+17_for_every_input,True,145,log(128),29.884397275557102,0.98340804932242931,0.98340804932242931,True,True,z^145,z,True,False
power_of_two,512,ell(n)=n+17_for_every_input,True,529,log(512),84.798408514473522,0.99412101220492743,0.99412101220492743,True,True,z^529,z,True,False
power_of_two,1024,ell(n)=n+17_for_every_input,True,1041,log(1024),150.18455375654108,0.99667629858661766,0.99667629858661766,True,True,z^1041,z,True,False
power_of_two,4096,ell(n)=n+17_for_every_input,True,4113,log(4096),494.48372526469223,0.99898935542113576,0.99898935542113576,True,True,z^4113,z,True,False
ultimately_periodic,5,ell(n)=n+17_for_every_input,True,22,log(5),13.66936856031146,0.96408276295070672,0.96408276295070672,True,True,z^22,z,True,False
ultimately_periodic,589,ell(n)=n+17_for_every_input,True,606,log(589),95.007762503111849,0.99475109601694867,0.99475109601694867,True,True,z^606,z,True,False
ultimately_periodic,1171,ell(n)=n+17_for_every_input,True,1188,log(1171),168.13826894641826,0.99703067419594416,0.99703067419594416,True,True,z^1188,z,True,False
ultimately_periodic,1757,ell(n)=n+17_for_every_input,True,1774,log(1757),237.43993954795945,0.99789641994785439,0.99789641994785439,True,True,z^1774,z,True,False
ultimately_periodic,2341,ell(n)=n+17_for_every_input,True,2358,log(2341),303.93125145761371,0.99835624357211106,0.99835624357211106,True,True,z^2358,z,True,False
ultimately_periodic,2927,ell(n)=n+17_for_every_input,True,2944,log(2927),368.84219182174303,0.99864532511236292,0.99864532511236292,True,True,z^2944,z,True,False
ultimately_periodic,3509,ell(n)=n+17_for_every_input,True,3526,log(3509),431.94446778692611,0.99884311350221144,0.99884311350221144,True,True,z^3526,z,True,False
ultimately_periodic,4093,ell(n)=n+17_for_every_input,True,4110,log(4093),494.16658134377707,0.9989887071424538,0.9989887071424538,True,True,z^4110,z,True,False
seeded_total,2,ell(n)=n+17_for_every_input,True,19,log(2),27.411205776890306,0.98192463964527088,0.98192463964527088,True,True,z^19,z,True,False
seeded_total,584,ell(n)=n+17_for_every_input,True,601,log(584),94.349975238258224,0.99471459869120959,0.99471459869120959,True,True,z^601,z,True,False
seeded_total,1153,ell(n)=n+17_for_every_input,True,1170,log(1153),165.95456272373383,0.99699166127481564,0.99699166127481564,True,True,z^1170,z,True,False
seeded_total,1738,ell(n)=n+17_for_every_input,True,1755,log(1738),235.23923067491316,0.99787676145304793,0.99787676145304793,True,True,z^1755,z,True,False
