cutoff,target,realization,fiber_dimension,stored_target_parameters,shift_nonzeros,target_sha256,prefix_mismatches,post_cutoff_nonzero,exact_prefix_fit,label,proves_too_much
32,prime_indicator,bilinear_nilpotent,32,32,31,20c56ad3d04e0fbaf613c0a248e96806700f66cdda729b02ae88144f22ea3007,0,0,True,oracle-containing memorizer control,True
32,prime_indicator,trace_nilpotent,32,32,31,20c56ad3d04e0fbaf613c0a248e96806700f66cdda729b02ae88144f22ea3007,0,0,True,oracle-containing memorizer control,True
32,square_indicator,bilinear_nilpotent,32,32,31,4cc2c67283d82c1a18d93d21ee25e10cc261b9a433c34c7833ff012a81bf0961,0,0,True,oracle-containing memorizer control,True
32,square_indicator,trace_nilpotent,32,32,31,4cc2c67283d82c1a18d93d21ee25e10cc261b9a433c34c7833ff012a81bf0961,0,0,True,oracle-containing memorizer control,True
32,power_of_two_indicator,bilinear_nilpotent,32,32,31,c11f1d4bf281fbd5e7ad86674f5efe8cccce7b3c26270fb7712d4d1111acaa94,0,0,True,oracle-containing memorizer control,True
32,power_of_two_indicator,trace_nilpotent,32,32,31,c11f1d4bf281fbd5e7ad86674f5efe8cccce7b3c26270fb7712d4d1111acaa94,0,0,True,oracle-containing memorizer control,True
32,fibonacci_indicator,bilinear_nilpotent,32,32,31,c82f63eb580f17fb6884c14f40920b0a4b9e8cbf9eacf38d5196b5c111a4f596,0,0,True,oracle-containing memorizer control,True
32,fibonacci_indicator,trace_nilpotent,32,32,31,c82f63eb580f17fb6884c14f40920b0a4b9e8cbf9eacf38d5196b5c111a4f596,0,0,True,oracle-containing memorizer control,True
32,seeded_random_bits,bilinear_nilpotent,32,32,31,72bd1cacb3b27aea97f5ae87db837526c3be9b1c4c14e8cbcff4d2bc1211b4b1,0,0,True,oracle-containing memorizer control,True
32,seeded_random_bits,trace_nilpotent,32,32,31,72bd1cacb3b27aea97f5ae87db837526c3be9b1c4c14e8cbcff4d2bc1211b4b1,0,0,True,oracle-containing memorizer control,True
32,hash_derived_bits,bilinear_nilpotent,32,32,31,6aaed35a95d8fb6e7381a3f8b34b6e520f1e29cfce5f1c293b3ff03a6b721e6c,0,0,True,oracle-containing memorizer control,True
32,hash_derived_bits,trace_nilpotent,32,32,31,6aaed35a95d8fb6e7381a3f8b34b6e520f1e29cfce5f1c293b3ff03a6b721e6c,0,0,True,oracle-containing memorizer control,True
32,signed_rational,bilinear_nilpotent,32,32,31,08477feb9802f718ab57fbb4cea6018827a19850e9f5f510df7a242b46a3c319,0,0,True,oracle-containing memorizer control,True
32,signed_rational,trace_nilpotent,32,32,31,08477feb9802f718ab57fbb4cea6018827a19850e9f5f510df7a242b46a3c319,0,0,True,oracle-containing memorizer control,True
64,prime_indicator,bilinear_nilpotent,64,64,63,a3b63a47f0a927dadbd57dcec43840ff8b04a11bd2e06e49d5d05845cc6f832d,0,0,True,oracle-containing memorizer control,True
64,prime_indicator,trace_nilpotent,64,64,63,a3b63a47f0a927dadbd57dcec43840ff8b04a11bd2e06e49d5d05845cc6f832d,0,0,True,oracle-containing memorizer control,True
64,square_indicator,bilinear_nilpotent,64,64,63,f4e60cd41808ec15f98f83573145dab380ba47263485d14fa51866a486a639e7,0,0,True,oracle-containing memorizer control,True
64,square_indicator,trace_nilpotent,64,64,63,f4e60cd41808ec15f98f83573145dab380ba47263485d14fa51866a486a639e7,0,0,True,oracle-containing memorizer control,True
64,power_of_two_indicator,bilinear_nilpotent,64,64,63,7a3e2fbd7bd3379384b829a919b8767ba09e6d9c285e46c40977c3c64152bf8f,0,0,True,oracle-containing memorizer control,True
64,power_of_two_indicator,trace_nilpotent,64,64,63,7a3e2fbd7bd3379384b829a919b8767ba09e6d9c285e46c40977c3c64152bf8f,0,0,True,oracle-containing memorizer control,True
64,fibonacci_indicator,bilinear_nilpotent,64,64,63,002e6037f2e139f5d2dfadb72c7bbe517b1a16dad4151c659e737d6fd38e297f,0,0,True,oracle-containing memorizer control,True
64,fibonacci_indicator,trace_nilpotent,64,64,63,002e6037f2e139f5d2dfadb72c7bbe517b1a16dad4151c659e737d6fd38e297f,0,0,True,oracle-containing memorizer control,True
64,seeded_random_bits,bilinear_nilpotent,64,64,63,eac7b52cf612844afc688104532050936d566bb2231ef91a4dca085b0bbd732a,0,0,True,oracle-containing memorizer control,True
64,seeded_random_bits,trace_nilpotent,64,64,63,eac7b52cf612844afc688104532050936d566bb2231ef91a4dca085b0bbd732a,0,0,True,oracle-containing memorizer control,True
64,hash_derived_bits,bilinear_nilpotent,64,64,63,4f9bc6f79c55e7dc274c1f5baef5ed7aac53ac16d95a69f33798fac7d6f70bbc,0,0,True,oracle-containing memorizer control,True
64,hash_derived_bits,trace_nilpotent,64,64,63,4f9bc6f79c55e7dc274c1f5baef5ed7aac53ac16d95a69f33798fac7d6f70bbc,0,0,True,oracle-containing memorizer control,True
64,signed_rational,bilinear_nilpotent,64,64,63,b9cee63423e1c33163898b9a3a507ac2857d55541ead483ab0fecf82490c4559,0,0,True,oracle-containing memorizer control,True
64,signed_rational,trace_nilpotent,64,64,63,b9cee63423e1c33163898b9a3a507ac2857d55541ead483ab0fecf82490c4559,0,0,True,oracle-containing memorizer control,True
128,prime_indicator,bilinear_nilpotent,128,128,127,43be37665164ee058a27380441397a9962ea91ecf6e8c886eb8849d8f0f39de7,0,0,True,oracle-containing memorizer control,True
128,prime_indicator,trace_nilpotent,128,128,127,43be37665164ee058a27380441397a9962ea91ecf6e8c886eb8849d8f0f39de7,0,0,True,oracle-containing memorizer control,True
128,square_indicator,bilinear_nilpotent,128,128,127,752b16789de12179b7fb47387c8932ed0a66fcecb9312ee0b07313ed321b2de9,0,0,True,oracle-containing memorizer control,True
128,square_indicator,trace_nilpotent,128,128,127,752b16789de12179b7fb47387c8932ed0a66fcecb9312ee0b07313ed321b2de9,0,0,True,oracle-containing memorizer control,True
128,power_of_two_indicator,bilinear_nilpotent,128,128,127,c284157ce3a98f26c0165dfdd7d76cafb4b955eccda62957c63d73c050d0fb3f,0,0,True,oracle-containing memorizer control,True
128,power_of_two_indicator,trace_nilpotent,128,128,127,c284157ce3a98f26c0165dfdd7d76cafb4b955eccda62957c63d73c050d0fb3f,0,0,True,oracle-containing memorizer control,True
128,fibonacci_indicator,bilinear_nilpotent,128,128,127,ff07345662f2c091b40bdc441060c484ebcb65f2c2a8280110389e2d8d269e3f,0,0,True,oracle-containing memorizer control,True
128,fibonacci_indicator,trace_nilpotent,128,128,127,ff07345662f2c091b40bdc441060c484ebcb65f2c2a8280110389e2d8d269e3f,0,0,True,oracle-containing memorizer control,True
128,seeded_random_bits,bilinear_nilpotent,128,128,127,918f9a1f013d537d800920c9e7388cd47426ea9dbbbe9152da825a0d248e5248,0,0,True,oracle-containing memorizer control,True
128,seeded_random_bits,trace_nilpotent,128,128,127,918f9a1f013d537d800920c9e7388cd47426ea9dbbbe9152da825a0d248e5248,0,0,True,oracle-containing memorizer control,True
128,hash_derived_bits,bilinear_nilpotent,128,128,127,3ce17969804c7138dd9186aab05c3d267a6d0aa7be8fd9d7ef29e0273c34a2dc,0,0,True,oracle-containing memorizer control,True
128,hash_derived_bits,trace_nilpotent,128,128,127,3ce17969804c7138dd9186aab05c3d267a6d0aa7be8fd9d7ef29e0273c34a2dc,0,0,True,oracle-containing memorizer control,True
128,signed_rational,bilinear_nilpotent,128,128,127,a4ef02a7bb6932fac302fbc9b17db120a2b25cd4cd66bd2f0dbe2ae994f9f4a6,0,0,True,oracle-containing memorizer control,True
128,signed_rational,trace_nilpotent,128,128,127,a4ef02a7bb6932fac302fbc9b17db120a2b25cd4cd66bd2f0dbe2ae994f9f4a6,0,0,True,oracle-containing memorizer control,True
256,prime_indicator,bilinear_nilpotent,256,256,255,26b8c6a7631297d21a70864fba441d9021f5921581c17a068dbb6443439fc803,0,0,True,oracle-containing memorizer control,True
256,prime_indicator,trace_nilpotent,256,256,255,26b8c6a7631297d21a70864fba441d9021f5921581c17a068dbb6443439fc803,0,0,True,oracle-containing memorizer control,True
256,square_indicator,bilinear_nilpotent,256,256,255,7b51e866129d8e6f25bb3c4b457949290165979bcbb40a176a8a02fc5c4b441a,0,0,True,oracle-containing memorizer control,True
256,square_indicator,trace_nilpotent,256,256,255,7b51e866129d8e6f25bb3c4b457949290165979bcbb40a176a8a02fc5c4b441a,0,0,True,oracle-containing memorizer control,True
256,power_of_two_indicator,bilinear_nilpotent,256,256,255,21a66462ad622b0c16fe5baf8a6e8db075f900af91ba0f47d2e6253dbb0f18f4,0,0,True,oracle-containing memorizer control,True
256,power_of_two_indicator,trace_nilpotent,256,256,255,21a66462ad622b0c16fe5baf8a6e8db075f900af91ba0f47d2e6253dbb0f18f4,0,0,True,oracle-containing memorizer control,True
256,fibonacci_indicator,bilinear_nilpotent,256,256,255,6ec1dd9c268bd7cdce47221707c27fc1764546923fe9ada913648b7ee304c0c0,0,0,True,oracle-containing memorizer control,True
256,fibonacci_indicator,trace_nilpotent,256,256,255,6ec1dd9c268bd7cdce47221707c27fc1764546923fe9ada913648b7ee304c0c0,0,0,True,oracle-containing memorizer control,True
256,seeded_random_bits,bilinear_nilpotent,256,256,255,05bfb48867329557e486516e90ffcaae1edf84c51dbbe57ef526f8d2b067f264,0,0,True,oracle-containing memorizer control,True
256,seeded_random_bits,trace_nilpotent,256,256,255,05bfb48867329557e486516e90ffcaae1edf84c51dbbe57ef526f8d2b067f264,0,0,True,oracle-containing memorizer control,True
256,hash_derived_bits,bilinear_nilpotent,256,256,255,e6439b87ac8ffe4b7c781d8db18401d7010ddebd2e449bb40464ec7d565147b9,0,0,True,oracle-containing memorizer control,True
256,hash_derived_bits,trace_nilpotent,256,256,255,e6439b87ac8ffe4b7c781d8db18401d7010ddebd2e449bb40464ec7d565147b9,0,0,True,oracle-containing memorizer control,True
256,signed_rational,bilinear_nilpotent,256,256,255,21267739e665547427282aa9b92c75eb016f0715f41f084f70b80af89d3ac42a,0,0,True,oracle-containing memorizer control,True
256,signed_rational,trace_nilpotent,256,256,255,21267739e665547427282aa9b92c75eb016f0715f41f084f70b80af89d3ac42a,0,0,True,oracle-containing memorizer control,True
