family,state_size,relation_mask,tail_mu,period_lambda,terminal_relation_count,accepting_set_count,configuration_count,verified_followup_indices,period_comparisons,periodicity_failures,eventually_periodic
boolean_relation_semigroup,2,0,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,1,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,2,2,1,16,4,64,8,512,0,True
boolean_relation_semigroup,2,3,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,4,2,1,16,4,64,8,512,0,True
boolean_relation_semigroup,2,5,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,6,0,2,16,4,64,8,512,0,True
boolean_relation_semigroup,2,7,2,1,16,4,64,8,512,0,True
boolean_relation_semigroup,2,8,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,9,0,1,16,4,64,4,256,0,True
boolean_relation_semigroup,2,10,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,11,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,12,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,13,1,1,16,4,64,6,384,0,True
boolean_relation_semigroup,2,14,2,1,16,4,64,8,512,0,True
boolean_relation_semigroup,2,15,1,1,16,4,64,6,384,0,True
