fiber,cutoff,fiber_dimension,power,exact_power_trace,closed_walk_dynamic_program,maximum_period
scalar,9,1,1,0,True,32
scalar,9,1,2,1/3,True,32
scalar,9,1,3,1/100,True,32
scalar,9,1,4,614/11025,True,32
scalar,9,1,5,2647/952560,True,32
scalar,9,1,6,2509/270000,True,32
scalar,9,1,7,2453/3780000,True,32
scalar,9,1,8,27270737/17503290000,True,32
scalar,9,1,9,54131893/388962000000,True,32
scalar,9,1,10,29697809677/113421319200000,True,32
scalar,9,1,11,298201387/10501974000000,True,32
scalar,9,1,12,1134779052019/25729836300000000,True,32
scalar,9,1,13,23368408490531/4168233480600000000,True,32
scalar,9,1,14,2216706339163/297730962900000000,True,32
scalar,9,1,15,73033723489051487/67525382385720000000000,True,32
scalar,9,1,16,12863185650840593/10212172027470000000000,True,32
scalar,9,1,17,15081253594464301/73527638597784000000000,True,32
scalar,9,1,18,23551737826011409157/110291457896676000000000000,True,32
scalar,9,1,19,1555325795568021499/40515229431432000000000000,True,32
scalar,9,1,20,114329189351611088421793/3151776934021730716800000000000,True,32
scalar,9,1,21,4940816034050174071847/694836184749058800000000000000,True,32
scalar,9,1,22,135129004276054335916409/21887339819595352200000000000000,True,32
scalar,9,1,23,6175210882551270564274307/4727665401032596075200000000000000,True,32
scalar,9,1,24,508049975227945807497743473/482615843022077516010000000000000000,True,32
scalar,9,1,25,17886059949424292262014553521/75056415906793495289875200000000000000,True,32
scalar,9,1,26,6248048960607205101493281877/34748340697589581152720000000000000000,True,32
scalar,9,1,27,2384401949630708618705297879/55156096345380287544000000000000000000,True,32
scalar,9,1,28,424275131272304778359389977145031/13791616422873304759514568000000000000000000,True,32
scalar,9,1,29,430578647419156358183713930526153/55166465691493219038058272000000000000000000,True,32
scalar,9,1,30,1177772420852553576458816326940808677/223424186050547537104136001600000000000000000000,True,32
scalar,9,1,31,3871337612055662475833232758193283/2758323284574660951902913600000000000000000000,True,32
scalar,9,1,32,55020037342166355004653431979624163/60821028424871273989459244880000000000000000000,True,32
jordan_two,9,2,1,0,True,32
jordan_two,9,2,2,1/18,True,32
jordan_two,9,2,3,1/600,True,32
jordan_two,9,2,4,2459/529200,True,32
jordan_two,9,2,5,883/11430720,True,32
jordan_two,9,2,6,10081/58320000,True,32
jordan_two,9,2,7,9827/1632960000,True,32
jordan_two,9,2,8,3144461/373403520000,True,32
jordan_two,9,2,9,12060689/37340352000000,True,32
jordan_two,9,2,10,119693237/322620641280000,True,32
jordan_two,9,2,11,221529407/12098274048000000,True,32
jordan_two,9,2,12,755676008833/44461157126400000000,True,32
jordan_two,9,2,13,111191832965369/115243319271628800000000,True,32
jordan_two,9,2,14,5628463026239/7317036144230400000000,True,32
jordan_two,9,2,15,13446587590322993/266705967457198080000000000,True,32
jordan_two,9,2,16,50891112368111501/1452065822822522880000000000,True,32
jordan_two,9,2,17,235524953620340693/91480146837818941440000000000,True,32
jordan_two,9,2,18,29208649901219473777/18296029367563788288000000000000,True,32
jordan_two,9,2,19,1070355673182158569/8233213215403704729600000000000,True,32
jordan_two,9,2,20,609681403012807456257377/8365471552495949842376294400000000000,True,32
jordan_two,9,2,21,35909855687550200682323/5532719280751289578291200000000000000,True,32
jordan_two,9,2,22,13934153928049267935930143/4182735776247974921188147200000000000000,True,32
jordan_two,9,2,23,48392026199070602611183129/150578487944927097162773299200000000000000,True,32
jordan_two,9,2,24,9377148392710175594605081043/61486215910845231341465763840000000000000000,True,32
jordan_two,9,2,25,75541103198162645587295651479/4781168149227325189112377796198400000000000000,True,32
jordan_two,9,2,26,2063374072438339253765675987/295133836372057110439035666432000000000000000,True,32
jordan_two,9,2,27,683757165055058433245100057673/885401509116171331317106999296000000000000000000,True,32
jordan_two,9,2,28,2706719733423073437661542358146379/8433980615237001633594234432493977600000000000000000,True,32
jordan_two,9,2,29,70394769451474529544343986024533/1874217914497111474132052096109772800000000000000000,True,32
jordan_two,9,2,30,106635890790075163968820524593182049/7229126241631715685937915227851980800000000000000000000,True,32
jordan_two,9,2,31,276157013536404710374248084561844207/151811651074266029404696219784891596800000000000000000000,True,32
jordan_two,9,2,32,504960904341296274473604092865286129/743877090263903544083011476945968824320000000000000000000,True,32
nilpotent_three,9,3,1,0,True,32
nilpotent_three,9,3,2,0,True,32
nilpotent_three,9,3,3,1/1200,True,32
nilpotent_three,9,3,4,1/162,True,32
nilpotent_three,9,3,5,0,True,32
nilpotent_three,9,3,6,1/4320000,True,32
nilpotent_three,9,3,7,0,True,32
nilpotent_three,9,3,8,1/104976,True,32
nilpotent_three,9,3,9,1/15552000000,True,32
nilpotent_three,9,3,10,0,True,32
nilpotent_three,9,3,11,0,True,32
