support,power,full_trace,pruned_trace,trace_match,determinant_coefficient_match,candidate_used_support
prime,1,6180577842100888020588207773757747392069548141/13756564401909684622656803563109083750619892900,6180577842100888020588207773757747392069548141/13756564401909684622656803563109083750619892900,True,True,False
prime,2,14570366479658236455921346158418153453602546458776721048576674817673774148752565583407013281/189243064143888758994182929986131007893512031614556093037990965095446108384645017207470410000,14570366479658236455921346158418153453602546458776721048576674817673774148752565583407013281/189243064143888758994182929986131007893512031614556093037990965095446108384645017207470410000,True,True,False
prime,3,44439144194929760524845969371360752086892863737198974393782598089087733633546613230540835028337325837400225735554389891254505402966387321/2603334399510131149079596178888144670572067666071720720484229545064421832452839703678446151275675046241416281321148145524126234119089000000,44439144194929760524845969371360752086892863737198974393782598089087733633546613230540835028337325837400225735554389891254505402966387321/2603334399510131149079596178888144670572067666071720720484229545064421832452839703678446151275675046241416281321148145524126234119089000000,True,True,False
prime,4,145450855848635160332290728579536089113505054833171201667827127323725139264831868806912180995321456142457705534240571593702685356738268711391447353160837589861404980246037197450844961/35812937326567995275137446659031877907763199345186478649949567278770321587115365519454443358439225103904623567709402100886779292051461543496476025735247581863767805937911025568100000000,145450855848635160332290728579536089113505054833171201667827127323725139264831868806912180995321456142457705534240571593702685356738268711391447353160837589861404980246037197450844961/35812937326567995275137446659031877907763199345186478649949567278770321587115365519454443358439225103904623567709402100886779292051461543496476025735247581863767805937911025568100000000,True,True,False
prime,5,489511696683228537384178251246368681781879996512166182505412646728713354415136301829737264096569787617539570470075116112018860976821176737912302206920355864347033358046667257816810133208125627248017953579561804923639568227440201/492662978754487873686042761272327674294954803802185879389962640032657983391654859457625094676756747085977630719532066637617065500792307567349877580154948444701554136281600371239984060297990939268810211125103113956383656490000000000,489511696683228537384178251246368681781879996512166182505412646728713354415136301829737264096569787617539570470075116112018860976821176737912302206920355864347033358046667257816810133208125627248017953579561804923639568227440201/492662978754487873686042761272327674294954803802185879389962640032657983391654859457625094676756747085977630719532066637617065500792307567349877580154948444701554136281600371239984060297990939268810211125103113956383656490000000000,True,True,False
prime,6,1667407495624016301539937731248545954429612232189033703825414293180761587963235138819467962608258334796818684007311285862773883147348899523809622963686919062841609740434794626922795431944049900380570186158011552991291948849029935444592937693336097840716336998379240523557041/6777349995672775138060853632318198369768346645528215764479160113871060847146146436399452442315489641643592327207567648606641092851180416767521024207245747699656252443529173630246190584528373470066758926346833600863745742150092910904915917088592171668094175834189921000000000000,1667407495624016301539937731248545954429612232189033703825414293180761587963235138819467962608258334796818684007311285862773883147348899523809622963686919062841609740434794626922795431944049900380570186158011552991291948849029935444592937693336097840716336998379240523557041/6777349995672775138060853632318198369768346645528215764479160113871060847146146436399452442315489641643592327207567648606641092851180416767521024207245747699656252443529173630246190584528373470066758926346833600863745742150092910904915917088592171668094175834189921000000000000,True,True,False
prime,7,5710002005613082607378217706132002387280103936541901410454315992759168927350094781542775804816219621900396979487626908156449353962648569256983204100743332196856896707096761450615589620041121768869560966500172660746352409607957445564405455066924994145430882748749736660782677576656956315922928540750711282539334794139481/93233051689754853582552476962773168297092066152852067785282792044335917473767645893519119854738026998496886178931171372879171644767508316942225751175432747288729449429971686304148752238356840318066278775459381939558199558673967015439008613073118761875629816085298282192243490474945725597274073925849659279460900000000000000,5710002005613082607378217706132002387280103936541901410454315992759168927350094781542775804816219621900396979487626908156449353962648569256983204100743332196856896707096761450615589620041121768869560966500172660746352409607957445564405455066924994145430882748749736660782677576656956315922928540750711282539334794139481/93233051689754853582552476962773168297092066152852067785282792044335917473767645893519119854738026998496886178931171372879171644767508316942225751175432747288729449429971686304148752238356840318066278775459381939558199558673967015439008613073118761875629816085298282192243490474945725597274073925849659279460900000000000000,True,True,False
prime,8,19600214574743863072891043637050210478433375198901916232670890693728418687079000871425421001115985868933069379898356440228469298379262782853278801581377259691124261950917515312491475542920757794729629725238507573165461491087517462571942482063993672967105877596468489455991936811281265673379074065198429631157755326866393988241569802129566462995404079984785459091521/1282566479956687188656245625103731934424423111032866990745296859792260358591627071153570514579743630458504300346514547603001824668658001037230452107950627697254200291315770357448898550003548989070790895757466568569266947658884207459224599191993487428815324675550765154352961994082404161078769828886228981862622181195167664142073092390321923205131927737610000000000000000,19600214574743863072891043637050210478433375198901916232670890693728418687079000871425421001115985868933069379898356440228469298379262782853278801581377259691124261950917515312491475542920757794729629725238507573165461491087517462571942482063993672967105877596468489455991936811281265673379074065198429631157755326866393988241569802129566462995404079984785459091521/1282566479956687188656245625103731934424423111032866990745296859792260358591627071153570514579743630458504300346514547603001824668658001037230452107950627697254200291315770357448898550003548989070790895757466568569266947658884207459224599191993487428815324675550765154352961994082404161078769828886228981862622181195167664142073092390321923205131927737610000000000000000,True,True,False
square,1,40717994801/497871360000,40717994801/497871360000,True,True,False
square,2,1010667599322175009601/247875891108249600000000,1010667599322175009601/247875891108249600000000,True,True,False
square,3,30369616473726972930180451074401/123410307017276135571456000000000000,30369616473726972930180451074401/123410307017276135571456000000000000,True,True,False
square,4,938979572539308868828169426174620242179201/61442457392708813112505175900160000000000000000,938979572539308868828169426174620242179201/61442457392708813112505175900160000000000000000,True,True,False
square,5,29182118191420438551300619428007479000958180840324001/30590439823849990868308784932451883417600000000000000000000,29182118191420438551300619428007479000958180840324001/30590439823849990868308784932451883417600000000000000000000,True,True,False
square,6,907838911236006719951119082401928220919638256897230475237508801/15230103878098355389592475654267327331681959936000000000000000000000000,907838911236006719951119082401928220919638256897230475237508801/15230103878098355389592475654267327331681959936000000000000000000000000,True,True,False
square,7,28247838964196656172513469347550189723948902713196989644650088638025733601/7582632530730102411579735699756964062189668480801832960000000000000000000000000000,28247838964196656172513469347550189723948902713196989644650088638025733601/7582632530730102411579735699756964062189668480801832960000000000000000000000000000,True,True,False
square,8,878978595489645123615115486192345359229702632469057954091658318936754808005396998401/3775175570454837880592482761278551367113494824485942466288025600000000000000000000000000000000,878978595489645123615115486192345359229702632469057954091658318936754808005396998401/3775175570454837880592482761278551367113494824485942466288025600000000000000000000000000000000,True,True,False
power_of_two,1,1365/4096,1365/4096,True,True,False
power_of_two,2,1118481/16777216,1118481/16777216,True,True,False
power_of_two,3,1090785345/68719476736,1090785345/68719476736,True,True,False
power_of_two,4,1103823438081/281474976710656,1103823438081/281474976710656,True,True,False
power_of_two,5,1127000493261825/1152921504606846976,1127000493261825/1152921504606846976,True,True,False
power_of_two,6,1153203048319815681/4722366482869645213696,1153203048319815681/4722366482869645213696,True,True,False
power_of_two,7,1180663682709764194305/19342813113834066795298816,1180663682709764194305/19342813113834066795298816,True,True,False
power_of_two,8,1208944266640182156001281/79228162514264337593543950336,1208944266640182156001281/79228162514264337593543950336,True,True,False
ultimately_periodic,1,42754101909436401823911056017076526912227457644/468105316453871212854294010133572988736371355625,42754101909436401823911056017076526912227457644/468105316453871212854294010133572988736371355625,True,True,False
ultimately_periodic,2,471266794890290312834248635403345000017241769539137745185432910888194906525194252291918002436/219122587292378911238924196998794632500155472562957744687604314812001401539126488385000219140625,471266794890290312834248635403345000017241769539137745185432910888194906525194252291918002436/219122587292378911238924196998794632500155472562957744687604314812001401539126488385000219140625,True,True,False
