sigma,cutoff,control,A_trace_norm,B_trace_norm,successor_lower,successor_upper,return_lower,return_upper,normalized_total_lower,normalized_total_upper,interval_ordered,theorem_class,finite_prefix_is_proof
0.45,32,A_only,1,0,3.47363276988975377392626876799842955299272911493380458409896,3.47363276988975377392626876799842955299272911493380458409925,2.17867183136385095012931627839387642434623069056856673124046,2.17867183136385095012931627839387642434623069056856673124059,3.473632769889753773926268768,3.473632769889753773926268768,True,not_trace_class,False
0.45,32,B_only,0,1,3.47363276988975377392626876799842955299272911493380458409896,3.47363276988975377392626876799842955299272911493380458409925,2.17867183136385095012931627839387642434623069056856673124046,2.17867183136385095012931627839387642434623069056856673124059,2.178671831363850950129316278,2.178671831363850950129316278,True,not_trace_class,False
0.45,32,A_and_B,1,1,3.47363276988975377392626876799842955299272911493380458409896,3.47363276988975377392626876799842955299272911493380458409925,2.17867183136385095012931627839387642434623069056856673124046,2.17867183136385095012931627839387642434623069056856673124059,5.652304601253604724055585046,5.652304601253604724055585046,True,not_trace_class,False
0.45,64,A_only,1,0,4.46861674672551332728161852383501581501808713430155093905042,4.46861674672551332728161852383501581501808713430155093905103,2.86496931356270589623740375915403511448245583961638593109948,2.86496931356270589623740375915403511448245583961638593109978,4.468616746725513327281618524,4.468616746725513327281618524,True,not_trace_class,False
0.45,64,B_only,0,1,4.46861674672551332728161852383501581501808713430155093905042,4.46861674672551332728161852383501581501808713430155093905103,2.86496931356270589623740375915403511448245583961638593109948,2.86496931356270589623740375915403511448245583961638593109978,2.864969313562705896237403759,2.864969313562705896237403759,True,not_trace_class,False
0.45,64,A_and_B,1,1,4.46861674672551332728161852383501581501808713430155093905042,4.46861674672551332728161852383501581501808713430155093905103,2.86496931356270589623740375915403511448245583961638593109948,2.86496931356270589623740375915403511448245583961638593109978,7.333586060288219223519022283,7.333586060288219223519022283,True,not_trace_class,False
0.45,128,A_only,1,0,5.54563355391888184271760604862083512067964292232991465226107,5.54563355391888184271760604862083512067964292232991465226232,3.60426523436127159066655035293679760802733369181496241480189,3.60426523436127159066655035293679760802733369181496241480254,5.545633553918881842717606049,5.545633553918881842717606049,True,not_trace_class,False
0.45,128,B_only,0,1,5.54563355391888184271760604862083512067964292232991465226107,5.54563355391888184271760604862083512067964292232991465226232,3.60426523436127159066655035293679760802733369181496241480189,3.60426523436127159066655035293679760802733369181496241480254,3.604265234361271590666550353,3.604265234361271590666550353,True,not_trace_class,False
0.45,128,A_and_B,1,1,5.54563355391888184271760604862083512067964292232991465226107,5.54563355391888184271760604862083512067964292232991465226232,3.60426523436127159066655035293679760802733369181496241480189,3.60426523436127159066655035293679760802733369181496241480254,9.149898788280153433384156402,9.149898788280153433384156402,True,not_trace_class,False
0.45,256,A_only,1,0,6.70574064693489676791972903979222104851959134324692000313548,6.70574064693489676791972903979222104851959134324692000313801,4.39863117763221088999821999669331837055636501842873599313733,4.39863117763221088999821999669331837055636501842873599313861,6.705740646934896767919729040,6.705740646934896767919729040,True,not_trace_class,False
0.45,256,B_only,0,1,6.70574064693489676791972903979222104851959134324692000313548,6.70574064693489676791972903979222104851959134324692000313801,4.39863117763221088999821999669331837055636501842873599313733,4.39863117763221088999821999669331837055636501842873599313861,4.398631177632210889998219997,4.398631177632210889998219997,True,not_trace_class,False
0.45,256,A_and_B,1,1,6.70574064693489676791972903979222104851959134324692000313548,6.70574064693489676791972903979222104851959134324692000313801,4.39863117763221088999821999669331837055636501842873599313733,4.39863117763221088999821999669331837055636501842873599313861,11.10437182456710765791794904,11.10437182456710765791794904,True,not_trace_class,False
0.45,512,A_only,1,0,7.95224184049184920055189996108497531975194105404939277464751,7.95224184049184920055189996108497531975194105404939277465260,5.25108861026899084584714759195492838113751423889649136039942,5.25108861026899084584714759195492838113751423889649136040198,7.952241840491849200551899961,7.952241840491849200551899961,True,not_trace_class,False
0.45,512,B_only,0,1,7.95224184049184920055189996108497531975194105404939277464751,7.95224184049184920055189996108497531975194105404939277465260,5.25108861026899084584714759195492838113751423889649136039942,5.25108861026899084584714759195492838113751423889649136040198,5.251088610268990845847147592,5.251088610268990845847147592,True,not_trace_class,False
0.45,512,A_and_B,1,1,7.95224184049184920055189996108497531975194105404939277464751,7.95224184049184920055189996108497531975194105404939277465260,5.25108861026899084584714759195492838113751423889649136039942,5.25108861026899084584714759195492838113751423889649136040198,13.20333045076084004639904755,13.20333045076084004639904755,True,not_trace_class,False
0.45,1024,A_only,1,0,9.28989292885494604889704830752374434856350774135358414539721,9.28989292885494604889704830752374434856350774135358414540742,6.16530730604251790077136478151779527427718974672299307539155,6.16530730604251790077136478151779527427718974672299307539667,9.289892928854946048897048308,9.289892928854946048897048308,True,not_trace_class,False
0.45,1024,B_only,0,1,9.28989292885494604889704830752374434856350774135358414539721,9.28989292885494604889704830752374434856350774135358414540742,6.16530730604251790077136478151779527427718974672299307539155,6.16530730604251790077136478151779527427718974672299307539667,6.165307306042517900771364782,6.165307306042517900771364782,True,not_trace_class,False
0.45,1024,A_and_B,1,1,9.28989292885494604889704830752374434856350774135358414539721,9.28989292885494604889704830752374434856350774135358414540742,6.16530730604251790077136478151779527427718974672299307539155,6.16530730604251790077136478151779527427718974672299307539667,15.45520023489746394966841309,15.45520023489746394966841309,True,not_trace_class,False
0.45,2048,A_only,1,0,10.7244563664703700163293365396076268347904828964770737908670,10.7244563664703700163293365396076268347904828964770737909411,7.14545214966849650057560551247094049673109329234003094865318,7.14545214966849650057560551247094049673109329234003094866341,10.72445636647037001632933654,10.72445636647037001632933654,True,not_trace_class,False
0.45,2048,B_only,0,1,10.7244563664703700163293365396076268347904828964770737908670,10.7244563664703700163293365396076268347904828964770737909411,7.14545214966849650057560551247094049673109329234003094865318,7.14545214966849650057560551247094049673109329234003094866341,7.145452149668496500575605512,7.145452149668496500575605512,True,not_trace_class,False
0.45,2048,A_and_B,1,1,10.7244563664703700163293365396076268347904828964770737908670,10.7244563664703700163293365396076268347904828964770737909411,7.14545214966849650057560551247094049673109329234003094865318,7.14545214966849650057560551247094049673109329234003094866341,17.86990851613886651690494205,17.86990851613886651690494205,True,not_trace_class,False
0.45,4096,A_only,1,0,12.2624686261904976553568865221261404019208377877026475940061,12.2624686261904976553568865221261404019208377877026475942850,8.19611125975770390525734545949846997452801536404996232790690,8.19611125975770390525734545949846997452801536404996232792736,12.26246862619049765535688652,12.26246862619049765535688652,True,not_trace_class,False
0.45,4096,B_only,0,1,12.2624686261904976553568865221261404019208377877026475940061,12.2624686261904976553568865221261404019208377877026475942850,8.19611125975770390525734545949846997452801536404996232790690,8.19611125975770390525734545949846997452801536404996232792736,8.196111259757703905257345459,8.196111259757703905257345459,True,not_trace_class,False
0.45,4096,A_and_B,1,1,12.2624686261904976553568865221261404019208377877026475940061,12.2624686261904976553568865221261404019208377877026475942850,8.19611125975770390525734545949846997452801536404996232790690,8.19611125975770390525734545949846997452801536404996232792736,20.45857988594820156061423198,20.45857988594820156061423198,True,not_trace_class,False
0.49,32,A_only,1,0,2.92886093943071175519873412898989910644052328765660872988439,2.92886093943071175519873412898989910644052328765660872988469,1.87164223053905466764684889449889774837092869892572120285247,1.87164223053905466764684889449889774837092869892572120285261,2.928860939430711755198734129,2.928860939430711755198734129,True,not_trace_class,False
