trace,norm,adjoint_trace_q,q_mod_8,geodesic_length,log_q_minus_length,relative_period_error,represented_in_frozen_ledger,multiplicity_within_frozen_block_cutoff
93,8646.999884352954,8647,7,9.064967705586191,1.3374239335958317e-08,1.4753763885981133e-09,True,2
103,10606.999905722634,10607,7,9.269269430617248,8.888221482213595e-09,9.588912632458547e-10,True,8
107,11446.999912640866,11447,7,9.345482958286858,7.631618275306547e-09,8.166103670765729e-10,True,8
117,13686.99992693797,13687,7,9.524201750873207,5.338060221246316e-09,5.604732404755147e-10,True,10
119,14158.999929373542,14159,7,9.558105738296874,4.988096419175521e-09,5.218708134381019e-10,True,8
121,14638.999931689323,14639,7,9.591444474505064,4.666348619232927e-09,4.865115603146404e-10,True,10
127,16126.999937992186,16127,7,9.688250161135548,3.844968893288474e-09,3.968692826684669e-10,True,14
131,17158.999941721544,17159,7,9.750278092889243,3.396378271011794e-09,3.483365538369257e-10,True,10
135,18222.999945124295,18223,7,9.810439808474712,3.0113431801896437e-09,3.069529234218394e-10,True,4
139,19318.999948237484,19319,7,9.868844343913196,2.6793578236811055e-09,2.714966139481382e-10,True,4
145,21022.99995243305,21023,7,9.95337235320251,2.262614785912718e-09,2.273214248505812e-10,True,12
155,24022.999958373224,24023,7,10.086766982022407,1.7327883465617068e-09,1.717882795698933e-10,True,14
161,25918.999961418263,25919,7,10.16273156798651,1.488550310297653e-09,1.4647147768506316e-10,True,12
169,28558.999964984767,28559,7,10.259727400608847,1.226066448060286e-09,1.1950282888032762e-10,True,8
173,29926.99996658536,29927,7,10.306516360827404,1.1165383216566078e-09,1.0833324107254552e-10,True,18
177,31326.999968078657,31327,7,10.352235623474936,1.0189723194921167e-09,9.843017068517811e-11,True,8
183,33486.999970137666,33487,7,10.418912581905255,8.917590311842493e-10,8.55904130203242e-11,True,6
191,36478.99997258697,36479,7,10.504492030780368,7.514743328048192e-10,7.153837906193676e-11,True,12
205,42022.99997620351,42023,7,10.64597236585826,5.662730508824607e-10,5.3191294453138286e-11,True,22
211,44518.99997753768,44519,7,10.70367134281774,5.045557958648574e-10,4.7138573269033975e-11,True,10
217,47086.99997876272,47087,7,10.759752232963564,4.5102223948154037e-10,4.191753022721875e-11,True,4
223,49726.9999798902,49727,7,10.814303323725609,4.0440403638863514e-10,3.7395292536902144e-11,True,20
231,53358.99998125902,53359,7,10.884797939432987,3.5122436538941684e-10,3.2267421713515036e-11,True,6
233,54286.999981579385,54287,7,10.902040066237996,3.393191070274449e-10,3.112436800408621e-11,True,12
237,56166.99998219595,56167,7,10.93608467448995,3.169841481497372e-10,2.898515854398624e-11,True,8
239,57118.99998249269,57119,7,10.95289208955091,3.0650587912397924e-10,2.7984013410285438e-11,True,16
247,61006.99998360844,61007,7,11.018743890401378,2.6868329258416463e-10,2.438420343099795e-11,True,8
253,64006.99998437671,64007,7,11.066747731116713,2.440872280882543e-10,2.205591326497515e-11,True,8
257,66046.99998485927,66047,7,11.098121888553443,2.2924179931720935e-10,2.0655909316414446e-11,True,6
259,67078.9999850922,67079,7,11.113626308030737,2.2224236036799665e-10,1.9997285692695955e-11,True,2
265,70222.99998575964,70223,7,11.159431171478017,2.0278752841754798e-10,1.817185170980401e-11,True,8
267,71286.9999859722,71287,7,11.17446926139106,1.9677926003192977e-10,1.7609718674367573e-11,True,6
273,74526.99998658204,74527,7,11.218916754638137,1.8004154081367248e-10,1.6048032510478356e-11,True,8
279,77838.99998715296,77839,7,11.262397869746954,1.6504619036860073e-10,1.465462260124276e-11,True,4
285,81222.9999876882,81223,7,11.304953737121659,1.5158001564693054e-10,1.340828270240155e-11,True,12
293,85846.99998835137,85847,7,11.360321920908413,1.3569059729322775e-10,1.1944256354379499e-11,True,8
299,89398.99998881419,89399,7,11.400864775291597,1.2512228827626696e-10,1.0974806801152815e-11,True,6
301,90598.99998896234,90599,7,11.414198454320733,1.2182970478919332e-10,1.0673522567130023e-11,True,6
303,91806.99998910759,91807,7,11.427443826306158,1.1864471786409039e-10,1.0382437198224202e-11,True,8
309,95478.99998952649,95479,7,11.466661606890655,1.0969435441406607e-10,9.566372338667264e-12,True,4
313,97966.99998979247,97967,7,11.49238596614678,1.0419344126069418e-10,9.066301946930171e-12,True,16
315,99222.9999899217,99223,7,11.505125121135922,1.0157230136404e-10,8.828439525316075e-12,True,4
323,104326.99999041476,104327,7,11.55528547604441,9.187694834586844e-11,7.951075595285865e-12,True,14
335,112222.99999108916,112223,7,11.628243242070871,7.940287937363236e-11,6.82845015537784e-12,True,22
337,113566.99999119464,113567,7,11.640148250032654,7.753462539120057e-11,6.660965455527305e-12,True,4
341,116278.99999139999,116279,7,11.663747754630672,7.396008876028503e-11,6.341022655471338e-12,True,8
355,126022.99999206494,126023,7,11.74421970889485,6.296516885029082e-11,5.361375247626252e-12,True,12
357,127446.99999215361,127447,7,11.755455870823052,6.156597562870559e-11,5.237225702253658e-12,True,8
359,128878.99999224079,128879,7,11.766629258604745,6.020543307687978e-11,5.116625309881713e-12,True,12
371,137638.99999273464,137639,7,11.832389594502393,5.278578478448363e-11,4.46112633147016e-12,True,10
387,149766.99999332294,149767,7,11.91683603202748,4.4582840901691246e-11,3.741164247095823e-12,True,4
391,152878.99999345889,152879,7,11.937402037772006,4.27862607424831e-11,3.584218794587517e-12,True,8
399,159198.99999371855,159199,7,11.9779102709262,3.945657002788855e-11,3.2941113378959695e-12,True,2
405,164022.9999939033,164023,7,12.007761940838348,3.7169823440098376e-11,3.0954830403131914e-12,True,12
415,172222.99999419358,172223,7,12.05654542764433,3.371457581525457e-11,2.79637115104767e-12,True,12
421,177238.9999943579,177239,7,12.085254383198423,3.1833282103902457e-11,2.6340597470645687e-12,True,16
425,180622.9999944636,180623,7,12.104167265092519,3.065165279511547e-11,2.5323223088163066e-12,True,16
429,184038.99999456637,184039,7,12.122902970623727,2.9524344923777516e-11,2.4354187272841444e-12,True,8
435,189222.9999947152,189223,7,12.150681492665653,2.7928792071110838e-11,2.2985370892904162e-12,True,8
441,194478.99999485805,194479,7,12.17807946703344,2.643958137522375e-11,2.171079721292621e-12,True,8
443,196246.99999490438,196247,7,12.187129348877644,2.596533601170777e-11,2.130553903905491e-12,True,9
447,199806.9999949952,199807,7,12.205107179592865,2.504831993278786e-11,2.052281849242393e-12,True,10
449,201598.99999503966,201599,7,12.214035854824983,2.4604993404589752e-11,2.0144851134377775e-12,True,8
467,218086.9999954147,218087,7,12.29264934470674,2.1025214890170698e-11,1.710389217210387e-12,True,2
469,219958.9999954537,219959,7,12.301196444309605,2.0668860155451525e-11,1.6802316952655429e-12,True,4
481,231358.99999567773,231359,7,12.351725895656188,1.8682164984388168e-11,1.512514537820985e-12,True,12
489,239118.99999581798,239119,7,12.384716614930916,1.74892758770008e-11,1.4121660124133296e-12,False,0
491,241078.99999585198,241079,7,12.392879959570507,1.720605224747091e-11,1.3883820632152176e-12,True,8
495,245022.99999591874,245023,7,12.409107362655007,1.6656597606974e-11,1.3422881372659716e-12,True,10
497,247006.99999595154,247007,7,12.417171955273123,1.6390095269091935e-11,1.3199539579630306e-12,True,8
505,255022.99999607878,255023,7,12.449109016136196,1.5375926678496885e-11,1.2351025811203063e-12,True,16
513,263166.99999620015,263167,7,12.48054409061893,1.4439000804171304e-11,1.1569207800009101e-12,True,4
523,273526.99999634404,273527,7,12.519155616250783,1.3365942717876488e-11,1.067639314309045e-12,True,4
525,275622.99999637186,275623,7,12.52678926890793,1.3163430630150836e-11,1.0508223893259902e-12,True,12
531,281958.9999964534,281959,7,12.54951694926659,1.2578477485888922e-11,1.0023077013025125e-12,True,9
541,292678.9999965833,292679,7,12.586831724279621,1.1673924359517783e-11,9.274712346386823e-13,True,4
545,297022.99999663327,297023,7,12.601564855852537,1.1334956023213295e-11,8.994879725543619e-13,True,12
561,314718.99999682256,314719,7,12.659435456180187,1.0096110024427564e-11,7.975166080167271e-13,True,12
565,319222.9999968674,319223,7,12.673645197089975,9.81322260571307e-12,7.743015093998929e-13,True,16
569,323758.99999691127,323759,7,12.687754690827752,9.54017409521758e-12,7.519198099019995e-13,True,4
573,328326.9999969542,328327,7,12.701765341950697,9.276556693852919e-12,7.303360158298658e-13,True,12
575,330622.9999969754,330623,7,12.708734032417919,9.148162606482868e-12,7.198327215866508e-13,True,4
583,339886.99999705784,339887,7,12.736368488401032,8.656271949979969e-12,6.796499298726574e-13,True,16
587,344566.99999709777,344567,7,12.750043835278241,8.422725297049278e-12,6.606036344548699e-13,True,10
595,354022.9999971753,354023,7,12.777117161748773,7.978790171821878e-12,6.244593417131082e-13,False,0
607,368446.9999972859,368447,7,12.817052153937233,7.36630930503656e-12,5.74727263068013e-13,True,8
609,370878.9999973037,370879,7,12.823631142832713,7.270018456474626e-12,5.669235472773098e-13,False,0
615,378222.9999973561,378223,7,12.843239247734308,6.99043384229582e-12,5.4428899964043e-13,True,8
621,385638.9999974069,385639,7,12.862656977676227,6.724161008284923e-12,5.227660987890387e-13,True,8
637,405766.99999753555,405767,7,12.913534382213351,6.0736051109693116e-12,4.703286436695461e-13,True,12
645,416022.99999759626,416023,7,12.93849582617081,5.777837418265504e-12,4.465617561645799e-13,True,8
653,426406.9999976548,426407,7,12.963149568203841,5.499856381913433e-12,4.242685277196222e-13,True,18
663,439566.999997725,439567,7,12.993545430444808,5.175470511092559e-12,3.983108797206342e-13,True,8
667,444886.99999775225,444887,7,13.005575596312717,5.052433070000812e-12,3.8848208082626443e-13,False,0
671,450238.99999777897,450239,7,13.017533831863092,4.9330302391276186e-12,3.7895274964073016e-13,True,4
677,458326.99999781814,458327,7,13.035338182132648,4.7604621395001806e-12,3.6519667330330867e-13,True,20
713,508366.99999803293,508367,7,13.13895890666679,3.8694148830209605e-12,2.9449935192783467e-13,True,12
715,511222.9999980439,511223,7,13.144561173204792,3.826301877565822e-12,2.9109392296523603e-13,True,8
719,516958.99999806564,516959,7,13.155718846667073,3.741862277253924e-12,2.844285683560985e-13,True,8
727,528526.999998108,528527,7,13.177849170968766,3.579856708272038e-12,2.716571317387368e-13,True,20
733,537286.9999981388,537287,7,13.194287681371422,3.4640753860641095e-12,2.6254356958989256e-13,True,10
743,552046.9999981886,552047,7,13.221388466558864,3.2813147575888593e-12,2.48182312008118e-13,True,8
747,558006.9999982079,558007,7,13.232126786084418,3.211594503125573e-12,2.427118901628324e-13,False,0
751,563998.999998227,563999,7,13.242807757425835,3.1437161929525594e-12,2.373904575628224e-13,True,8
757,573046.9999982549,573047,7,13.258723016762822,3.0452258902526523e-12,2.2967716320809444e-13,True,12
761,579118.9999982733,579119,7,13.269263262204712,2.981702933569955e-12,2.2470749691598702e-13,True,4
763,582166.9999982823,582167,7,13.274512627131518,2.9505625930104024e-12,2.2227276254038503e-13,True,6
775,600622.999998335,600623,7,13.305722728833654,2.772018231316006e-12,2.0833278190206336e-13,True,4
779,606838.9999983521,606839,7,13.316018795977131,2.7155201639662554e-12,2.039288323012942e-13,False,0
