orbit_id,trace,adjoint_trace_q,q_is_prime_control,repeat,repeated_length,selberg_amplitude_direct,ruelle_logderivative_amplitude_at_s_half,selberg_to_ruelle_ratio,identity_residual,q_prime_target_amplitude,selberg_to_q_prime_target,ruelle_to_q_prime_target
MOD-000001,3,7,True,1,1.9248473002384139,0.8608178819280081,0.7352262455376005,1.1708203932499368,2.220446049250313e-16,0.7354849040109983,1.170408634131715,0.9996483157275055
MOD-000001,3,7,True,2,3.8496946004768278,0.2869392939760027,0.2808314363743876,1.0217491947499509,4.440892098500626e-16,0.277987164150759,1.0322033927451006,1.0102316674667975
MOD-000001,3,7,True,3,5.774541900715242,0.10760223524100097,0.10726806358556253,1.0031152949374527,0.0,0.10506927200157118,1.0241075548652503,1.020927065945203
MOD-000001,3,7,True,4,7.6993892009536555,0.04099132771085752,0.040972754382299977,1.000453309249953,2.220446049250313e-16,0.039712452021537004,1.0322033927451004,1.031735697409958
MOD-000001,3,7,True,5,9.624236501192069,0.015651234216872874,0.01565019956133739,1.0000661113317713,2.220446049250313e-16,0.015009896000224454,1.042727692226437,1.0426587606671867
MOD-000002,4,14,False,1,2.633915793849633,0.7603459963009465,0.7057556098935888,1.0773502691896257,2.220446049250313e-16,,,
MOD-000002,4,14,False,2,5.267831587699266,0.19008649907523661,0.1891066457247216,1.0051814855409225,0.0,,,
MOD-000002,4,14,False,3,7.901747381548899,0.05068973308672977,0.05067097300529758,1.0003702332976756,0.0,,,
MOD-000002,4,14,False,4,10.535663175398533,0.013577607076802618,0.013577246296468708,1.000026572423158,0.0,,,
MOD-000002,4,14,False,5,13.169578969248166,0.0036380191210571614,0.0036380121805772428,1.000001907767092,0.0,,,
MOD-000003,4,14,False,1,2.633915793849633,0.7603459963009465,0.7057556098935888,1.0773502691896257,2.220446049250313e-16,,,
MOD-000003,4,14,False,2,5.267831587699266,0.19008649907523661,0.1891066457247216,1.0051814855409225,0.0,,,
MOD-000003,4,14,False,3,7.901747381548899,0.05068973308672977,0.05067097300529758,1.0003702332976756,0.0,,,
MOD-000003,4,14,False,4,10.535663175398533,0.013577607076802618,0.013577246296468708,1.000026572423158,0.0,,,
MOD-000003,4,14,False,5,13.169578969248166,0.0036380191210571614,0.0036380121805772428,1.000001907767092,0.0,,,
MOD-000004,5,23,True,1,3.133598473944822,0.6838072478309645,0.6540200826369289,1.045544725589981,0.0,0.6537957392138137,1.0459034937322158,1.0003431399283589
MOD-000004,5,23,True,2,6.267196947889644,0.1367614495661929,0.13650193923982207,1.0019011475427824,2.220446049250313e-16,0.13632583547518043,1.0031953891167738,1.0012917856987842
MOD-000004,5,23,True,3,9.400795421834466,0.02849196865962352,0.028489613562181434,1.0000826651241492,2.220446049250313e-16,0.028425901704948422,1.0023241814933734,1.0022413310893115
MOD-000004,5,23,True,4,12.534393895779289,0.005946149981138821,0.005946128571085132,1.0000036006711652,2.220446049250313e-16,0.005927210238051323,1.0031953891167735,1.0031917769530694
