sr_block_length,raw_primitive_hyperbolic_words,oriented_cyclic_classes,unoriented_cyclic_classes,binary_necklace_scale,unoriented_scale
1,0,0,0,2.0,1.0
2,2,1,1,2.0,1.0
3,6,2,1,2.6666666666666665,1.3333333333333333
4,12,3,2,4.0,2.0
5,30,6,3,6.4,3.2
6,54,9,6,10.666666666666666,5.333333333333333
7,126,18,9,18.285714285714285,9.142857142857142
8,240,30,18,32.0,16.0
9,504,56,28,56.888888888888886,28.444444444444443
10,990,99,57,102.4,51.2
11,2046,186,93,186.1818181818182,93.0909090909091
12,4020,335,181,341.3333333333333,170.66666666666666
13,8190,630,315,630.1538461538462,315.0769230769231
14,16254,1161,612,1170.2857142857142,585.1428571428571
15,32730,2182,1091,2184.5333333333333,1092.2666666666667
16,65280,4080,2100,4096.0,2048.0
