orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-001114,1112212221222,13,1112111211222,False,-178,-47,-53,-14,192,36860,36862,10.514936488375628,36861.999972871796,2.712820793055015e-05,36861.999972871796,12
MOD-001115,1112212222112,13,1111211222122,False,-151,-104,-45,-31,182,33120,33122,10.407952992237915,33121.99996980859,3.0191413589503092e-05,33121.99996980859,22
MOD-001116,1112212222122,13,1111211222112,False,-161,-57,-48,-17,178,31680,31682,10.36350397425253,31681.999968436336,3.1563663941552455e-05,31681.999968436336,36
MOD-001117,1112212222212,13,1111121122212,False,-124,-67,-37,-20,144,20732,20734,9.93953014155693,20733.99995177004,4.822996056362154e-05,20733.99995177004,8
MOD-001118,1112212222222,13,1111111211222,False,-77,-10,-23,-3,80,6396,6398,8.763740696080134,6397.999843701153,0.0001562988472068349,6397.999843701153,12
MOD-001119,1112221112222,13,1111222111222,False,-142,-33,-43,-10,152,23100,23102,10.047674470974922,23101.999956713706,4.328629563993175e-05,23101.999956713706,20
MOD-001120,1112221121122,13,1112221122122,False,-211,-89,-64,-27,238,56640,56642,10.944506038166965,56641.99998234525,1.765474383516984e-05,56641.99998234525,32
MOD-001121,1112221121212,13,1112221212122,False,-234,-145,-71,-44,278,77280,77282,11.255216348301271,77281.99998706038,1.2939623717908877e-05,77281.99998706038,34
MOD-001122,1112221121222,13,1112122111222,False,-201,-56,-61,-17,218,47520,47522,10.768948040250155,47521.999978957116,2.1042885409763962e-05,47521.999978957116,32
MOD-001123,1112221122112,13,1112221221122,False,-191,-135,-58,-41,232,53820,53822,10.893437584151966,53821.99998142024,1.857976292863899e-05,53821.99998142024,22
MOD-001124,1112221122122,13,1112221121122,False,-214,-79,-65,-24,238,56640,56642,10.944506038166965,56641.99998234525,1.765474383516984e-05,56641.99998234525,32
MOD-001125,1112221122212,13,1112211122212,False,-181,-102,-55,-31,212,44940,44942,10.713128048036776,44941.9999777491,2.2250901172513517e-05,44941.9999777491,12
MOD-001126,1112221122222,13,1111122111222,False,-125,-23,-38,-7,132,17420,17422,9.765489051084227,17421.99994260131,5.7398691498944424e-05,17421.99994260131,12
MOD-001127,1112221211212,13,1112221212212,False,-223,-141,-68,-43,266,70752,70754,11.16696435081004,70753.99998586653,1.4133476555385635e-05,70753.99998586653,16
