schema_version,row_id,action_case,component_id,stabilizer_literal,orbit_count_class,k_index,global_time_sample_class,isotropy_restriction_sample_class,test_algebra_sample_signature,full_sample_signature,reduced_sample_signature,dense_h_scope,named_output_signature_matches_baseline,restriction_coboundary_match,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,AP-0001,SINGLETON_TIME_OWNER,star,R,ONE,-6,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0002,SINGLETON_TIME_OWNER,star,R,ONE,-1,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0003,SINGLETON_TIME_OWNER,star,R,ONE,0,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0004,SINGLETON_TIME_OWNER,star,R,ONE,6,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0005,TRIVIAL_TWO_POINT,all,R,TWO,-6,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0006,TRIVIAL_TWO_POINT,all,R,TWO,-1,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0007,TRIVIAL_TWO_POINT,all,R,TWO,0,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0008,TRIVIAL_TWO_POINT,all,R,TWO,6,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0009,FREE_TRANSLATION,free,{0},ONE,-6,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
paper13-circle-twists-controls/1,AP-0010,FREE_TRANSLATION,free,{0},ONE,-1,TIME_QUADRATIC_GAUGE_CLASS_ZERO_SAMPLE,ISOTROPY_QUADRATIC_RESTRICTION_CLASS_ZERO_SAMPLE,TWISTED_TEST_GAUGE_STAR_TERM_CHECK_PASS,FULL_TRANSPORT_CHARACTER_PHASE_CHECK_PASS,REDUCED_TRANSPORT_INTERTWINER_CHECK_PASS,NOT_DENSE_H_CONTROL,true,true,DIAGNOSTIC,,QUADRATIC_RESTRICTION_SIGNATURE_DIAGNOSTIC,0,PASS
