schema_version,row_id,fixture_id,k_index,character_m,s,u,t,projective_lhs_re,projective_lhs_im,projective_rhs_re,projective_rhs_im,intertwiner_lhs_re,intertwiner_lhs_im,intertwiner_rhs_re,intertwiner_rhs_im,xi_norm_sq,character_times_xi_norm_sq,projective_holds,intertwiner_holds,choice_map_holds,character_isometry_holds,completion_scope,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,CG-0001,V1,-6,0,-1,-1,-3,0,0,0,0,0,1,0,1,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0002,V1,-6,0,-1,-1,-2,-2,0,-2,0,0,0,0,0,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0003,V1,-6,0,-1,-1,-1,1,0,1,0,0,2,0,2,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0004,V1,-6,0,-1,-1,0,0,0,0,0,0,-1,0,-1,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0005,V1,-6,0,-1,-1,1,0,0,0,0,0,0,0,0,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0006,V1,-6,0,-1,-1,2,0,0,0,0,0,0,0,0,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0007,V1,-6,0,-1,-1,3,0,0,0,0,0,0,0,0,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0008,V1,-6,0,-1,0,-3,1,0,1,0,0,1,0,1,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0009,V1,-6,0,-1,0,-2,0,0,0,0,0,0,0,0,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
paper13-circle-twists-controls/1,CG-0010,V1,-6,0,-1,0,-1,2,0,2,0,0,2,0,2,6,6,true,true,true,true,FINITE_MATRIX_ELEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC,,FINITE_REGULAR_INTERTWINER_CHARACTER,0,PASS
