schema_version,row_id,q_case,q_class,q_cardinality,function_id,is_zero,support_components,gauge_id,gauge_nowhere_zero,actual_support_quasicompact,standard_support_compact,lands_in_standard_cc,support_preserved,fixed_prime_conditional,evidence_scope,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,ST-0001,QF1,FINITE,1,ZERO,true,EMPTY,ONE,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0002,QF1,FINITE,1,ZERO,true,EMPTY,ALPHA_K_MINUS6,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0003,QF1,FINITE,1,ZERO,true,EMPTY,ALPHA_K_6,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0004,QF1,FINITE,1,TENT_CENTER,false,"[-1,1]",ONE,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0005,QF1,FINITE,1,TENT_CENTER,false,"[-1,1]",ALPHA_K_MINUS6,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0006,QF1,FINITE,1,TENT_CENTER,false,"[-1,1]",ALPHA_K_6,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0007,QF1,FINITE,1,TENT_SHIFT,false,"[1,3]",ONE,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0008,QF1,FINITE,1,TENT_SHIFT,false,"[1,3]",ALPHA_K_MINUS6,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0009,QF1,FINITE,1,TENT_SHIFT,false,"[1,3]",ALPHA_K_6,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
paper13-circle-twists-controls/1,ST-0010,QF1,FINITE,1,TWO_BUMP,false,"[-3,-1]|[1,2]",ONE,true,true,true,true,true,false,FINITE_COMPONENT_DIAGNOSTIC,POSITIVE,,ZERO_OR_FINITE_Q_SUPPORT_BRANCH,0,PASS
