schema_version,row_id,owner_case,degree,cochain_profile,unit_id,t,u,actual_exp_mod24,time_exp_mod24,normalized,factors_through_time,case_kind,negative_reason,oracle,tolerance,status
paper13-circle-twists-controls/1,NF-0001,SINGLETON,1,A_ZERO,star,-2,,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0002,SINGLETON,1,A_ZERO,star,-1,,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0003,SINGLETON,1,A_ZERO,star,0,,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0004,SINGLETON,1,A_ZERO,star,1,,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0005,SINGLETON,1,A_ZERO,star,2,,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0006,SINGLETON,1,A_LINEAR3,star,-2,,18,18,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0007,SINGLETON,1,A_LINEAR3,star,-1,,21,21,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0008,SINGLETON,1,A_LINEAR3,star,0,,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0009,SINGLETON,1,A_LINEAR3,star,1,,3,3,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0010,SINGLETON,1,A_LINEAR3,star,2,,6,6,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0011,SINGLETON,2,S_ZERO,star,-1,-1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0012,SINGLETON,2,S_ZERO,star,-1,0,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0013,SINGLETON,2,S_ZERO,star,-1,1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0014,SINGLETON,2,S_ZERO,star,0,-1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0015,SINGLETON,2,S_ZERO,star,0,0,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0016,SINGLETON,2,S_ZERO,star,0,1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0017,SINGLETON,2,S_ZERO,star,1,-1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0018,SINGLETON,2,S_ZERO,star,1,0,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0019,SINGLETON,2,S_ZERO,star,1,1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0020,SINGLETON,2,S_QUADRATIC1,star,-1,-1,2,2,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0021,SINGLETON,2,S_QUADRATIC1,star,-1,0,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0022,SINGLETON,2,S_QUADRATIC1,star,-1,1,22,22,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0023,SINGLETON,2,S_QUADRATIC1,star,0,-1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0024,SINGLETON,2,S_QUADRATIC1,star,0,0,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0025,SINGLETON,2,S_QUADRATIC1,star,0,1,0,0,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
paper13-circle-twists-controls/1,NF-0026,SINGLETON,2,S_QUADRATIC1,star,1,-1,22,22,true,true,DIAGNOSTIC,,TIME_PHASE_EQUALITY_AND_NORMALIZATION,0,PASS
