profile,length,support_left,support_right,return_term_count,positive_term_count,negative_term_count,f_zero,regular_length_L_f0,trivial_length_L_sum_r,positive_length_L_sum_r_ge_1,regular_probability_f0,trivial_probability_sum_r,regular_common_scale_residual,trivial_common_scale_residual,regular_owner,trivial_owner
zero_only_compact_bump,1,-0.45000000000000001,0.45000000000000001,1,0,0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0,0.36787944117144233,0.36787944117144233,0,0,dual-Haar/identity-time,theta=0 character fibre
positive_only_compact_bump,1,0.30000000000000004,2.7000000000000002,2,2,0,0,0,0.59634444377565987,0.59634444377565987,0,0.59634444377565987,0,0,dual-Haar/identity-time,theta=0 character fibre
two_sided_compact_bump,1,-2.0499999999999998,2.75,5,2,2,0.35997183380544201,0.35997183380544201,1.0815510839558449,0.49000556060379252,0.35997183380544201,1.0815510839558449,0,0,dual-Haar/identity-time,theta=0 character fibre
nonunit_length_two_sided,1.6094379124341003,-2.0499999999999998,2.75,3,1,1,0.35997183380544201,0.5793523167349055,1.0644441184357416,0.40488708931203116,0.35997183380544201,0.66137631667063523,0,0,dual-Haar/identity-time,theta=0 character fibre
