measure_model,weights_exact,total_probability_exact,time_only_value,time_only_residual_from_unit_mass,transverse_observable,full_observable_expectation_exact,full_observable_expectation,full_trace_selected_canonically,packet_measure_theorem_claimed
singleton,1,1,1.0291112079568734,0,0,0,0,false,false
three_atom_left,1/2;1/3;1/6,1,1.0291112079568734,0,0;1;2,2/3,0.66666666666666663,false,false
three_atom_uniform,1/3;1/3;1/3,1,1.0291112079568734,0,0;1;2,1,1,false,false
three_atom_right,1/6;1/3;1/2,1,1.0291112079568734,0,0;1;2,4/3,1.3333333333333333,false,false
