representative,linfinity_class,point_value_at_theta_zero,haar_integral,essential_supremum,differs_from_zero_only_on_null_set,point_evaluation_well_defined_on_class
zero_everywhere,zero,0,0,0,false,false
singleton_spike_at_theta_zero,zero,1,0,0,true,false
