grid_size,repetition,exact_average,survives_exactly,numeric_real,numeric_imag,numeric_residual,exact_rule,phase_sign
7,5,0,false,6.7406397923670213e-17,7.9301644616082612e-17,1.0407868811557742e-16,1 iff grid_size divides repetition; otherwise 0,+
7,6,0,false,2.1014935823261891e-16,1.1102230246251565e-16,2.376735248395578e-16,1 iff grid_size divides repetition; otherwise 0,+
7,7,1,true,1,-7.3478807948841188e-16,7.3478807948841188e-16,1 iff grid_size divides repetition; otherwise 0,+
7,8,0,false,-2.9738116731030977e-16,1.4274296030894871e-16,3.2986529279177666e-16,1 iff grid_size divides repetition; otherwise 0,+
7,9,0,false,-1.2688263138573217e-16,1.7446361815538174e-16,2.1572379610797328e-16,1 iff grid_size divides repetition; otherwise 0,+
7,10,0,false,-3.9650822308041306e-17,1.7446361815538174e-16,1.7891266520168636e-16,1 iff grid_size divides repetition; otherwise 0,+
7,11,0,false,5.1546069000453698e-17,1.8239378261699e-16,1.8953756663715332e-16,1 iff grid_size divides repetition; otherwise 0,+
7,12,0,false,1.6256837146296934e-16,2.2204460492503131e-16,2.7519498901040188e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-12,0,false,-7.9481875626573708e-16,-1.8671932686877633e-16,8.164563444166149e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-11,1,true,1,1.2246467991473533e-15,1.2246467991473533e-15,1 iff grid_size divides repetition; otherwise 0,+
11,-10,0,false,2.2456783907190669e-16,-6.8631968795009675e-16,7.2212563201519445e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-9,0,false,-8.2005109773449066e-16,-7.9734199041261241e-16,1.143782344928741e-15,1 iff grid_size divides repetition; otherwise 0,+
11,-8,0,false,1.0597583416876495e-16,-2.0690520004377916e-16,2.324664260337863e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-7,0,false,7.5697024406260668e-17,-3.5325278056254979e-16,3.6127215015710107e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-6,0,false,1.4130111222501992e-16,2.4727694639378484e-16,2.8480149671984244e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-5,0,false,3.2802043909379627e-17,7.5697024406260668e-17,8.2498567191163343e-17,1 iff grid_size divides repetition; otherwise 0,+
