domain_id,test_class,support,component_count,return_term_count,ledger_value,zero_time_included,negative_time_included,finite_prime_support,locally_finite,global_operator_asserted,cstar_trace_asserted,scope
local_one_orbit_two_sided,C_c^infinity(R) on one time kernel,"(-2.05,2.75)",1,5,1.0815510839558449,true,true,not_applicable,true,false,false,one-orbit scalar control
finite_prime_support_positive,"algebraic direct sum over p=2,3,5","(0.25,4.75)",3,12,3.020965666804166,false,false,true,true,false,false,finite algebraic assembly only
all_prime_positive_time_distribution,"C_c^infinity((0,infinity)) scalar test","(0.25,4.75)",30,40,17.76841329485039,false,false,false,true,false,false,scalar distribution; support-implied p<=115
