clock_system,labels,lengths,component_count,expected_copy_factor,positive_return_ledger,single_beta_reference,copy_additivity_residual,analytic_mechanism_compiles,arithmetic_provenance,fitting_used
prime_label_reference,p=2;p=3;p=5,0.69314718055994529;1.0986122886681098;1.6094379124341003,3,1,3.020965666804166,,0,true,input labels only; no new source proof,false
arbitrary_positive_clocks,alpha;beta;gamma,0.69999999999999996;1.1000000000000001;2.2999999999999998,3,1,2.8399878566063674,,0,true,analytic mechanism only; arithmetic provenance not applicable,false
copied_clock_threefold,beta-copy-1;beta-copy-2;beta-copy-3,1.1000000000000001;1.1000000000000001;1.1000000000000001,3,3,2.9892236555944027,0.99640788519813417,0,true,copy additivity control; no canonical packet mass,false
composite_augmented_clocks,p=2;p=3;n=4;n=6,0.69314718055994529;1.0986122886681098;1.3862943611198906;1.791759469228055,4,1,4.1047921478824119,,0,true,analytic mechanism survives; rational-prime provenance fails,false
