period_multiple,s_real,s_imag,zeta_real,zeta_imag,absolute_difference_from_base
-3,1.5,-26.824160850963164,3.294676290050695,-2.5134668915488096,8.9921211504935647e-15
-2,1.5,-17.759440567308776,3.2946762900506976,-2.5134668915488083,6.0402662910232525e-15
-1,1.5,-8.6947202836543891,3.2946762900507087,-2.5134668915488061,5.3475422218306682e-15
0,1.5,0.37,3.2946762900507034,-2.5134668915488065,0
1,1.5,9.4347202836543875,3.2946762900507052,-2.5134668915488088,2.8435583831733384e-15
2,1.5,18.499440567308778,3.2946762900506896,-2.5134668915488114,1.4607767620765455e-14
3,1.5,27.564160850963166,3.2946762900506745,-2.5134668915488145,2.9952162934629542e-14
