profile,length_count,sigma,orbit_log_product,direct_encoded_log_product,absolute_difference,route_a_interpretation
integer_log_lengths,6,0.75,1.8080638982087005,1.8080638982086998,6.6613381477509392e-16,PROVES_TOO_MUCH_WITHOUT_A0
integer_log_lengths,6,1.25,0.68616374983207429,0.68616374983207407,2.2204460492503131e-16,PROVES_TOO_MUCH_WITHOUT_A0
integer_log_lengths,6,2.0,0.18232155679395462,0.18232155679395459,2.7755575615628914e-17,PROVES_TOO_MUCH_WITHOUT_A0
composites_only_log_lengths,9,0.75,1.975482169993116,1.9754821699931158,2.2204460492503131e-16,PROVES_TOO_MUCH_WITHOUT_A0
composites_only_log_lengths,9,1.25,0.65817998879823314,0.65817998879823292,2.2204460492503131e-16,PROVES_TOO_MUCH_WITHOUT_A0
composites_only_log_lengths,9,2.0,0.15138263057784562,0.15138263057784551,1.1102230246251565e-16,PROVES_TOO_MUCH_WITHOUT_A0
quadratic_irrational_lengths,6,0.75,1.5243374083981323,1.5243374083981323,0,PROVES_TOO_MUCH_WITHOUT_A0
quadratic_irrational_lengths,6,1.25,0.54301118265888015,0.54301118265888004,1.1102230246251565e-16,PROVES_TOO_MUCH_WITHOUT_A0
quadratic_irrational_lengths,6,2.0,0.135229076327084,0.13522907632708461,6.106226635438361e-16,PROVES_TOO_MUCH_WITHOUT_A0
