sigma,degree_cutoff,partial_log_euler_product,continued_positive_log_reference,partial_minus_reference,theorem_domain_label
0.75,1,2.7086694608693005,,,divergent_boundary_or_left
0.75,2,3.1449341291074311,,,divergent_boundary_or_left
0.75,4,4.0175404059366722,,,divergent_boundary_or_left
0.75,6,4.8877402307712705,,,divergent_boundary_or_left
0.75,8,5.8395210461397999,,,divergent_boundary_or_left
0.75,10,6.9106502102228822,,,divergent_boundary_or_left
0.75,12,8.1775563168720034,,,divergent_boundary_or_left
1.0,1,2.0794415416798357,,,divergent_boundary_or_left
1.0,2,2.3671236141316165,,,divergent_boundary_or_left
1.0,4,2.8278019627933753,,,divergent_boundary_or_left
1.0,6,3.1600293653941094,,,divergent_boundary_or_left
1.0,8,3.4186235393266653,,,divergent_boundary_or_left
1.0,10,3.6248324152664879,,,divergent_boundary_or_left
1.0,12,3.7974720026929996,,,divergent_boundary_or_left
1.25,1,1.6365007378624092,2.383700058442932,-0.74719932058052274,absolute_convergence
1.25,2,1.8310285228330976,2.383700058442932,-0.5526715356098344,absolute_convergence
1.25,4,2.0807397342893372,2.383700058442932,-0.30296032415359475,absolute_convergence
1.25,6,2.2099525378582823,2.383700058442932,-0.17374752058464971,absolute_convergence
1.25,8,2.2811204184125891,2.383700058442932,-0.10257964003034292,absolute_convergence
1.25,10,2.3212105925500617,2.383700058442932,-0.0624894658928703,absolute_convergence
1.25,12,2.3449351474289371,2.383700058442932,-0.038764911013994929,absolute_convergence
2.0,1,0.8630462173553427,0.98082925301172619,-0.11778303565638348,absolute_convergence
2.0,2,0.9275847384929139,0.98082925301172619,-0.053244514518812291,absolute_convergence
2.0,4,0.97082315039260114,0.98082925301172619,-0.010006102619125046,absolute_convergence
2.0,6,0.97888292216912609,0.98082925301172619,-0.0019463308426000969,absolute_convergence
2.0,8,0.98043935567497331,0.98082925301172619,-0.00038989733675287574,absolute_convergence
2.0,10,0.98074739293164714,0.98082925301172619,-8.1860080079043662e-05,absolute_convergence
2.0,12,0.98081170634924131,0.98082925301172619,-1.7546662484879683e-05,absolute_convergence
