degree,affine_irreducible_count_enumerated,affine_irreducible_count_moebius,projective_closed_point_count,fixed_points_P1_F2n,fixed_points_recovered_from_cycles,count_match,fixed_point_match,primitive_period_log2_units,primitive_period
1,2,2,3,3,3,True,True,1,1*log(2)
2,1,1,1,5,5,True,True,2,2*log(2)
3,2,2,2,9,9,True,True,3,3*log(2)
4,3,3,3,17,17,True,True,4,4*log(2)
5,6,6,6,33,33,True,True,5,5*log(2)
6,9,9,9,65,65,True,True,6,6*log(2)
7,18,18,18,129,129,True,True,7,7*log(2)
8,30,30,30,257,257,True,True,8,8*log(2)
9,56,56,56,513,513,True,True,9,9*log(2)
10,99,99,99,1025,1025,True,True,10,10*log(2)
11,186,186,186,2049,2049,True,True,11,11*log(2)
12,335,335,335,4097,4097,True,True,12,12*log(2)
