r,theta,cycle_length,origin_exponent_sum,one_cycle_weight,trace_lower_bound,strictly_positive
1,1/2,4,8,1/65536,1/16384,true
2,1/2,5,12,1/16777216,5/16777216,true
3,1/2,6,17,1/17179869184,3/8589934592,true
4,1/2,7,23,1/70368744177664,7/70368744177664,true
5,1/2,8,30,1/1152921504606846976,1/144115188075855872,true
