r,relation_word,left_length,right_length,cycle_length,unit_step_marker_descends,primitive,cyclically_nonbacktracking
1,vuVU,2,2,4,true,true,true
2,vuVUU,2,3,5,false,true,true
3,vuVUUU,2,4,6,false,true,true
4,vuVUUUU,2,5,7,false,true,true
5,vuVUUUUU,2,6,8,false,true,true
