r,length,affine_identity_words,free_identity_words,relation_excess,normalized_trace,analytic_log_determinant_coefficient
2,0,1,1,0,1,0
2,1,0,0,0,0,0
2,2,4,4,0,1/4,-1/8
2,3,0,0,0,0,0
2,4,28,28,0,7/64,-7/256
2,5,10,0,10,5/512,-1/512
2,6,232,232,0,29/512,-29/3072
2,7,210,0,210,105/8192,-15/8192
2,8,2156,2092,64,539/16384,-539/131072
2,9,3276,0,3276,819/65536,-91/65536
2,10,21994,19864,2130,10997/524288,-10997/5242880
2,11,46222,0,46222,23111/2097152,-2101/2097152
2,12,242176,195352,46824,473/32768,-473/393216
3,0,1,1,0,1,0
3,1,0,0,0,0,0
3,2,4,4,0,1/4,-1/8
3,3,0,0,0,0,0
3,4,28,28,0,7/64,-7/256
3,5,0,0,0,0,0
3,6,244,232,12,61/1024,-61/6144
3,7,0,0,0,0,0
3,8,2396,2092,304,599/16384,-599/131072
3,9,0,0,0,0,0
3,10,25364,19864,5500,6341/262144,-6341/2621440
3,11,0,0,0,0,0
3,12,282868,195352,87516,70717/4194304,-70717/50331648
4,0,1,1,0,1,0
4,1,0,0,0,0,0
4,2,4,4,0,1/4,-1/8
4,3,0,0,0,0,0
4,4,28,28,0,7/64,-7/256
4,5,0,0,0,0,0
4,6,232,232,0,29/512,-29/3072
4,7,14,0,14,7/8192,-1/8192
4,8,2108,2092,16,527/16384,-527/131072
4,9,378,0,378,189/131072,-21/131072
4,10,20384,19864,520,637/32768,-637/327680
4,11,6996,0,6996,1749/1048576,-159/1048576
4,12,206512,195352,11160,12907/1048576,-12907/12582912
5,0,1,1,0,1,0
5,1,0,0,0,0,0
5,2,4,4,0,1/4,-1/8
5,3,0,0,0,0,0
5,4,28,28,0,7/64,-7/256
5,5,0,0,0,0,0
5,6,232,232,0,29/512,-29/3072
5,7,0,0,0,0,0
5,8,2124,2092,32,531/16384,-531/131072
5,9,0,0,0,0,0
5,10,20864,19864,1000,163/8192,-163/81920
5,11,0,0,0,0,0
5,12,215992,195352,20640,26999/2097152,-26999/25165824
