prime,level,u_exact,v_exact,required_q_limit_u_over_v,q_exact,correct_time_u_over_q,correct_time_error,wrong_time_u_times_q,wrong_time_error,active_action,wrong_action,scope
2,1,137/1,100/1,137/100,359137/262144,35913728/359137,7.7964676432670538e-05,49201769/262144,87.689853668212891,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
2,2,137/1,100/1,137/100,183878393/134217728,18387828736/183878393,5.7451013290071554e-05,25191339841/134217728,87.690107829868793,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
2,3,137/1,100/1,137/100,12050647152623/8796093022208,1205064744042496/12050647152623,2.3882697448108062e-06,1650938659909351/8796093022208,87.689995517456623,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
2,4,137/1,100/1,137/100,50544078930099547517/36893488147419103232,5054407876196417142784/50544078930099547517,3.3265098434513869e-07,6924538813423638009829/36893488147419103232,87.690000624352635,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
2,5,137/1,100/1,137/100,434170330426496482205706117439/316912650057057350374175801344,43417033057816857001262084784128/434170330426496482205706117439,3.4933775336035379e-08,59481335268430018062181738089143/316912650057057350374175801344,87.689999934432791,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
3,1,11/1,7/1,11/7,92791/59049,649539/92791,2.1553814486318717e-05,1020701/59049,10.285661061152602,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
3,2,11/1,7/1,11/7,67644851/43046721,473513931/67644851,3.8436037060677391e-07,744093361/43046721,10.28571523484913,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
3,3,11/1,7/1,11/7,443817839011/282429536481,3106724901291/443817839011,6.3571126529911105e-08,4881996229121/282429536481,10.285714128732526,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
3,4,11/1,7/1,11/7,19104902900774400931/12157665459056928801,133734320049626216811/19104902900774400931,1.3388950000663525e-08,210153931908518410241/12157665459056928801,10.285714318776796,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
3,5,11/1,7/1,11/7,22204892426194548724836625777/14130386091738734504764811067,155434247009126079552412921737/22204892426194548724836625777,1.1602955773910043e-09,244253816688140035973202883547/14130386091738734504764811067,10.285714282849066,"(P,u)q=(F_qP,q^-1u)","(P,u)q=(F_qP,qu)",orientation regression; persistence of density is not a theorem failure
