n_atoms,u,v,w,ordered_pair_orbit_size,stabilizer_size,new_at_this_inventory
1,0,1,0,1,1,True
2,0,1,0,2,1,False
2,0,1,1,2,1,True
2,0,2,0,1,2,True
2,1,0,1,2,1,True
2,1,1,0,2,1,True
3,0,1,0,3,2,False
3,0,1,1,6,1,False
3,0,1,2,3,2,True
3,0,2,0,3,2,False
3,0,2,1,3,2,True
3,0,3,0,1,6,True
3,1,0,1,6,1,False
3,1,0,2,3,2,True
3,1,1,0,6,1,False
3,1,1,1,6,1,True
3,1,2,0,3,2,True
3,2,0,1,3,2,True
3,2,1,0,3,2,True
4,0,1,0,4,6,False
4,0,1,1,12,2,False
4,0,1,2,12,2,False
4,0,1,3,4,6,True
4,0,2,0,6,4,False
4,0,2,1,12,2,False
4,0,2,2,6,4,True
4,0,3,0,4,6,False
4,0,3,1,4,6,True
4,0,4,0,1,24,True
4,1,0,1,12,2,False
4,1,0,2,12,2,False
4,1,0,3,4,6,True
4,1,1,0,12,2,False
4,1,1,1,24,1,False
4,1,1,2,12,2,True
4,1,2,0,12,2,False
4,1,2,1,12,2,True
4,1,3,0,4,6,True
4,2,0,1,12,2,False
4,2,0,2,6,4,True
4,2,1,0,12,2,False
4,2,1,1,12,2,True
4,2,2,0,6,4,True
4,3,0,1,4,6,True
4,3,1,0,4,6,True
