block,absolute_subset_series,proved_threshold,evidence_status,boundary_or_below_claimed
trivial_rank_one_arrival,prod_p(1+p^(-sigma))-1,1,PROVED,False
nontrivial_symmetric_incidence,prod_p(1+p^(-sigma/2))-1,2,PROVED,False
