inventory,rows,mechanism_passes,mechanism_pass_rate,difference_from_prime_pass_rate,proves_too_much
composite_squarefree,5,5,1,0,True
free_commutative,5,5,1,0,True
matched_random_integer,5,5,1,0,True
prime,5,5,1,0,True
shuffled_prime,5,5,1,0,True
strictly_increasing_random_rational,5,5,1,0,True
