tower_type,owner_id,fixed_prefix_degree_N,first_certified_escape_level,certified_order_lower_bound_at_level,factor_equals_one_mod_x_to_N_plus_1,frozen_prefix_status,asymptotic_status
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,1,2,2,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,2,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,4,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,8,4,24,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,16,4,24,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,32,5,120,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,64,5,120,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,128,6,720,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-A,256,6,720,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,1,2,2,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,2,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,4,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,8,4,24,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,16,4,24,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,32,5,120,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,64,5,120,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
