trial,state_count,s2_identity,r3_identity,s_cycle_count,r_cycle_count,overlap_state_count,universal_recurrence_nonzero
0,3,1,1,2,1,3,1
1,4,1,1,2,2,4,1
2,6,1,1,3,2,6,1
3,8,1,1,4,4,8,1
4,12,1,1,6,4,12,1
5,14,1,1,7,6,14,1
6,18,1,1,9,6,18,1
7,20,1,1,10,8,20,1
8,24,1,1,12,8,24,1
9,30,1,1,15,10,30,1
10,32,1,1,16,12,32,1
11,36,1,1,18,12,36,1
12,38,1,1,19,14,38,1
13,42,1,1,21,14,42,1
14,44,1,1,22,16,44,1
15,48,1,1,24,16,48,1
16,54,1,1,27,18,54,1
17,56,1,1,28,20,56,1
18,60,1,1,30,20,60,1
19,62,1,1,31,22,62,1
20,68,1,1,34,24,68,1
21,72,1,1,36,24,72,1
22,74,1,1,37,26,74,1
23,80,1,1,40,28,80,1
24,84,1,1,42,28,84,1
25,90,1,1,45,30,90,1
26,96,1,1,48,32,96,1
27,98,1,1,49,34,98,1
28,102,1,1,51,34,102,1
29,104,1,1,52,36,104,1
30,108,1,1,54,36,108,1
31,110,1,1,55,38,110,1
32,112,1,1,56,38,112,1
33,114,1,1,57,38,114,1
34,120,1,1,60,40,120,1
35,126,1,1,63,42,126,1
36,128,1,1,64,44,128,1
37,132,1,1,66,44,132,1
38,138,1,1,69,46,138,1
39,140,1,1,70,48,140,1
40,144,1,1,72,48,144,1
41,150,1,1,75,50,150,1
42,152,1,1,76,52,152,1
43,158,1,1,79,54,158,1
44,160,1,1,80,54,160,1
45,162,1,1,81,54,162,1
46,164,1,1,82,56,164,1
47,168,1,1,84,56,168,1
