modulus,evaluator_class,state_count,s_cycle_count,r_cycle_count,overlap_state_count,recurrent_support_nonzero
2,prime,3,2,1,3,1
3,prime,4,2,2,4,1
4,prime_power,6,3,2,6,1
5,prime,6,4,2,6,1
6,mixed_composite,12,6,4,12,1
7,prime,8,4,4,8,1
8,prime_power,12,6,4,12,1
9,prime_power,12,6,4,12,1
10,mixed_composite,18,10,6,18,1
11,prime,12,6,4,12,1
12,mixed_composite,24,12,8,24,1
13,prime,14,8,6,14,1
14,mixed_composite,24,12,8,24,1
15,mixed_composite,24,12,8,24,1
16,prime_power,24,12,8,24,1
17,prime,18,10,6,18,1
18,mixed_composite,36,18,12,36,1
19,prime,20,10,8,20,1
20,mixed_composite,36,18,12,36,1
21,mixed_composite,32,16,12,32,1
22,mixed_composite,36,18,12,36,1
23,prime,24,12,8,24,1
24,mixed_composite,48,24,16,48,1
25,prime_power,30,16,10,30,1
26,mixed_composite,42,22,14,42,1
27,prime_power,36,18,12,36,1
28,mixed_composite,48,24,16,48,1
29,prime,30,16,10,30,1
30,mixed_composite,72,36,24,72,1
31,prime,32,16,12,32,1
32,prime_power,48,24,16,48,1
33,mixed_composite,48,24,16,48,1
34,mixed_composite,54,28,18,54,1
35,mixed_composite,48,24,16,48,1
36,mixed_composite,72,36,24,72,1
37,prime,38,20,14,38,1
38,mixed_composite,60,30,20,60,1
39,mixed_composite,56,28,20,56,1
40,mixed_composite,72,36,24,72,1
41,prime,42,22,14,42,1
42,mixed_composite,96,48,32,96,1
43,prime,44,22,16,44,1
44,mixed_composite,72,36,24,72,1
45,mixed_composite,72,36,24,72,1
46,mixed_composite,72,36,24,72,1
47,prime,48,24,16,48,1
48,mixed_composite,96,48,32,96,1
49,prime_power,56,28,20,56,1
50,mixed_composite,90,46,30,90,1
51,mixed_composite,72,36,24,72,1
52,mixed_composite,84,42,28,84,1
53,prime,54,28,18,54,1
54,mixed_composite,108,54,36,108,1
55,mixed_composite,72,36,24,72,1
56,mixed_composite,96,48,32,96,1
57,mixed_composite,80,40,28,80,1
58,mixed_composite,90,46,30,90,1
59,prime,60,30,20,60,1
60,mixed_composite,144,72,48,144,1
61,prime,62,32,22,62,1
62,mixed_composite,96,48,32,96,1
63,mixed_composite,96,48,32,96,1
64,prime_power,96,48,32,96,1
65,mixed_composite,84,44,28,84,1
66,mixed_composite,144,72,48,144,1
67,prime,68,34,24,68,1
68,mixed_composite,108,54,36,108,1
69,mixed_composite,96,48,32,96,1
70,mixed_composite,144,72,48,144,1
71,prime,72,36,24,72,1
72,mixed_composite,144,72,48,144,1
73,prime,74,38,26,74,1
74,mixed_composite,114,58,38,114,1
75,mixed_composite,120,60,40,120,1
76,mixed_composite,120,60,40,120,1
77,mixed_composite,96,48,32,96,1
78,mixed_composite,168,84,56,168,1
79,prime,80,40,28,80,1
80,mixed_composite,144,72,48,144,1
81,prime_power,108,54,36,108,1
82,mixed_composite,126,64,42,126,1
83,prime,84,42,28,84,1
84,mixed_composite,192,96,64,192,1
85,mixed_composite,108,56,36,108,1
86,mixed_composite,132,66,44,132,1
87,mixed_composite,120,60,40,120,1
88,mixed_composite,144,72,48,144,1
89,prime,90,46,30,90,1
90,mixed_composite,216,108,72,216,1
91,mixed_composite,112,56,40,112,1
92,mixed_composite,144,72,48,144,1
93,mixed_composite,128,64,44,128,1
94,mixed_composite,144,72,48,144,1
95,mixed_composite,120,60,40,120,1
96,mixed_composite,192,96,64,192,1
97,prime,98,50,34,98,1
98,mixed_composite,168,84,56,168,1
99,mixed_composite,144,72,48,144,1
100,mixed_composite,180,90,60,180,1
101,prime,102,52,34,102,1
102,mixed_composite,216,108,72,216,1
103,prime,104,52,36,104,1
104,mixed_composite,168,84,56,168,1
105,mixed_composite,192,96,64,192,1
106,mixed_composite,162,82,54,162,1
107,prime,108,54,36,108,1
108,mixed_composite,216,108,72,216,1
109,prime,110,56,38,110,1
110,mixed_composite,216,108,72,216,1
111,mixed_composite,152,76,52,152,1
