modulus,state_count,n_plus_one,evaluator_class,evaluator_prime,count_equals_n_plus_one,selector_equivalent_to_prime,selector_used_by_candidate,terminal_selector_forbidden
2,3,3,prime,1,1,1,0,1
3,4,4,prime,1,1,1,0,1
4,6,5,prime_power,0,0,1,0,1
5,6,6,prime,1,1,1,0,1
6,12,7,mixed_composite,0,0,1,0,1
7,8,8,prime,1,1,1,0,1
8,12,9,prime_power,0,0,1,0,1
9,12,10,prime_power,0,0,1,0,1
10,18,11,mixed_composite,0,0,1,0,1
11,12,12,prime,1,1,1,0,1
12,24,13,mixed_composite,0,0,1,0,1
13,14,14,prime,1,1,1,0,1
14,24,15,mixed_composite,0,0,1,0,1
15,24,16,mixed_composite,0,0,1,0,1
16,24,17,prime_power,0,0,1,0,1
17,18,18,prime,1,1,1,0,1
18,36,19,mixed_composite,0,0,1,0,1
19,20,20,prime,1,1,1,0,1
20,36,21,mixed_composite,0,0,1,0,1
21,32,22,mixed_composite,0,0,1,0,1
22,36,23,mixed_composite,0,0,1,0,1
23,24,24,prime,1,1,1,0,1
24,48,25,mixed_composite,0,0,1,0,1
25,30,26,prime_power,0,0,1,0,1
26,42,27,mixed_composite,0,0,1,0,1
27,36,28,prime_power,0,0,1,0,1
28,48,29,mixed_composite,0,0,1,0,1
29,30,30,prime,1,1,1,0,1
30,72,31,mixed_composite,0,0,1,0,1
31,32,32,prime,1,1,1,0,1
32,48,33,prime_power,0,0,1,0,1
33,48,34,mixed_composite,0,0,1,0,1
34,54,35,mixed_composite,0,0,1,0,1
35,48,36,mixed_composite,0,0,1,0,1
36,72,37,mixed_composite,0,0,1,0,1
37,38,38,prime,1,1,1,0,1
38,60,39,mixed_composite,0,0,1,0,1
39,56,40,mixed_composite,0,0,1,0,1
40,72,41,mixed_composite,0,0,1,0,1
41,42,42,prime,1,1,1,0,1
42,96,43,mixed_composite,0,0,1,0,1
43,44,44,prime,1,1,1,0,1
44,72,45,mixed_composite,0,0,1,0,1
45,72,46,mixed_composite,0,0,1,0,1
46,72,47,mixed_composite,0,0,1,0,1
47,48,48,prime,1,1,1,0,1
48,96,49,mixed_composite,0,0,1,0,1
49,56,50,prime_power,0,0,1,0,1
50,90,51,mixed_composite,0,0,1,0,1
51,72,52,mixed_composite,0,0,1,0,1
52,84,53,mixed_composite,0,0,1,0,1
53,54,54,prime,1,1,1,0,1
54,108,55,mixed_composite,0,0,1,0,1
55,72,56,mixed_composite,0,0,1,0,1
56,96,57,mixed_composite,0,0,1,0,1
57,80,58,mixed_composite,0,0,1,0,1
58,90,59,mixed_composite,0,0,1,0,1
59,60,60,prime,1,1,1,0,1
60,144,61,mixed_composite,0,0,1,0,1
61,62,62,prime,1,1,1,0,1
62,96,63,mixed_composite,0,0,1,0,1
63,96,64,mixed_composite,0,0,1,0,1
64,96,65,prime_power,0,0,1,0,1
65,84,66,mixed_composite,0,0,1,0,1
66,144,67,mixed_composite,0,0,1,0,1
67,68,68,prime,1,1,1,0,1
68,108,69,mixed_composite,0,0,1,0,1
69,96,70,mixed_composite,0,0,1,0,1
70,144,71,mixed_composite,0,0,1,0,1
71,72,72,prime,1,1,1,0,1
72,144,73,mixed_composite,0,0,1,0,1
73,74,74,prime,1,1,1,0,1
74,114,75,mixed_composite,0,0,1,0,1
75,120,76,mixed_composite,0,0,1,0,1
76,120,77,mixed_composite,0,0,1,0,1
77,96,78,mixed_composite,0,0,1,0,1
78,168,79,mixed_composite,0,0,1,0,1
79,80,80,prime,1,1,1,0,1
80,144,81,mixed_composite,0,0,1,0,1
81,108,82,prime_power,0,0,1,0,1
82,126,83,mixed_composite,0,0,1,0,1
83,84,84,prime,1,1,1,0,1
84,192,85,mixed_composite,0,0,1,0,1
85,108,86,mixed_composite,0,0,1,0,1
86,132,87,mixed_composite,0,0,1,0,1
87,120,88,mixed_composite,0,0,1,0,1
88,144,89,mixed_composite,0,0,1,0,1
89,90,90,prime,1,1,1,0,1
90,216,91,mixed_composite,0,0,1,0,1
91,112,92,mixed_composite,0,0,1,0,1
92,144,93,mixed_composite,0,0,1,0,1
93,128,94,mixed_composite,0,0,1,0,1
94,144,95,mixed_composite,0,0,1,0,1
95,120,96,mixed_composite,0,0,1,0,1
96,192,97,mixed_composite,0,0,1,0,1
97,98,98,prime,1,1,1,0,1
98,168,99,mixed_composite,0,0,1,0,1
99,144,100,mixed_composite,0,0,1,0,1
