modulus,state_count,projective_defect,s_cycle_count,s_fixed_count,s_two_cycle_count,r_cycle_count,r_fixed_count,r_three_cycle_count,forward_component_size,overlap_state_count,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,evaluator_class,evaluator_prime,static_defect_selects_prime,recurrent_support_nonzero
59,60,0,30,0,30,20,0,20,60,60,0,62,63,66,325,143,952,930,prime,1,1,1
60,144,83,72,0,72,48,0,48,144,144,0,148,150,156,750,346,2128,2132,mixed_composite,0,1,1
61,62,0,32,2,30,22,2,20,62,62,4,66,73,86,349,225,1040,1190,prime,1,1,1
62,96,33,48,0,48,32,0,32,96,96,0,98,99,106,495,233,1414,1410,mixed_composite,0,1,1
63,96,32,48,0,48,32,0,32,96,96,0,102,105,114,525,261,1512,1554,mixed_composite,0,1,1
64,96,31,48,0,48,32,0,32,96,96,0,112,120,144,600,376,1792,2080,prime_power,0,1,1
65,84,18,44,4,40,28,0,28,84,84,4,86,91,106,439,263,1264,1386,mixed_composite,0,1,1
66,144,77,72,0,72,48,0,48,144,144,0,146,147,154,735,335,2100,2074,mixed_composite,0,1,1
67,68,0,34,0,34,24,2,22,68,68,2,72,77,84,367,201,1052,1124,prime,1,1,1
68,108,39,54,0,54,36,0,36,108,108,0,112,114,120,570,262,1624,1616,mixed_composite,0,1,1
69,96,26,48,0,48,32,0,32,96,96,0,98,99,102,495,221,1414,1390,mixed_composite,0,1,1
70,144,73,72,0,72,48,0,48,144,144,0,146,147,154,735,329,2086,2034,mixed_composite,0,1,1
71,72,0,36,0,36,24,0,24,72,72,0,74,75,78,385,167,1120,1086,prime,1,1,1
72,144,71,72,0,72,48,0,48,144,144,0,156,162,192,810,480,2394,2664,mixed_composite,0,1,1
73,74,0,38,2,36,26,2,24,74,74,4,78,85,98,399,249,1166,1314,prime,1,1,1
74,114,39,58,2,56,38,0,38,114,114,2,116,119,132,587,305,1696,1756,mixed_composite,0,1,1
75,120,44,60,0,60,40,0,40,120,120,0,130,135,150,675,385,1960,2190,mixed_composite,0,1,1
76,120,43,60,0,60,40,0,40,120,120,0,124,126,132,630,286,1792,1772,mixed_composite,0,1,1
77,96,18,48,0,48,32,0,32,96,96,0,98,99,102,495,215,1400,1350,mixed_composite,0,1,1
78,168,89,84,0,84,56,0,56,168,168,0,170,171,178,855,383,2436,2386,mixed_composite,0,1,1
79,80,0,40,0,40,28,2,26,80,80,2,84,89,96,437,225,1262,1312,prime,1,1,1
80,144,63,72,0,72,48,0,48,144,144,0,152,156,168,780,380,2240,2288,mixed_composite,0,1,1
81,108,26,54,0,54,36,0,36,108,108,0,126,135,162,675,423,2016,2322,prime_power,0,1,1
82,126,43,64,2,62,42,0,42,126,126,2,128,131,144,647,329,1850,1896,mixed_composite,0,1,1
83,84,0,42,0,42,28,0,28,84,84,0,86,87,90,435,191,1246,1210,prime,1,1,1
84,192,107,96,0,96,64,0,64,192,192,0,196,198,204,990,442,2800,2756,mixed_composite,0,1,1
85,108,22,56,4,52,36,0,36,108,108,4,110,115,130,559,311,1600,1698,mixed_composite,0,1,1
86,132,45,66,0,66,44,0,44,132,132,0,134,135,142,675,305,1918,1878,mixed_composite,0,1,1
87,120,32,60,0,60,40,0,40,120,120,0,122,123,126,615,269,1736,1686,mixed_composite,0,1,1
88,144,55,72,0,72,48,0,48,144,144,0,148,150,160,750,352,2142,2136,mixed_composite,0,1,1
89,90,0,46,2,44,30,0,30,90,90,2,92,95,104,477,239,1374,1400,prime,1,1,1
90,216,125,108,0,108,72,0,72,216,216,0,222,225,246,1125,555,3234,3294,mixed_composite,0,1,1
91,112,20,56,0,56,40,4,36,112,112,4,118,127,138,599,331,1712,1834,mixed_composite,0,1,1
92,144,51,72,0,72,48,0,48,144,144,0,148,150,156,750,334,2128,2084,mixed_composite,0,1,1
93,128,34,64,0,64,44,2,42,128,128,2,132,137,144,667,327,1892,1928,mixed_composite,0,1,1
94,144,49,72,0,72,48,0,48,144,144,0,146,147,154,735,329,2100,2050,mixed_composite,0,1,1
95,120,24,60,0,60,40,0,40,120,120,0,122,123,126,625,263,1778,1694,mixed_composite,0,1,1
96,192,95,96,0,96,64,0,64,192,192,0,200,204,224,1020,536,2940,3120,mixed_composite,0,1,1
97,98,0,50,2,48,34,2,32,98,98,4,102,109,122,519,297,1502,1626,prime,1,1,1
98,168,69,84,0,84,56,0,56,168,168,0,182,189,238,945,623,2842,3318,mixed_composite,0,1,1
99,144,44,72,0,72,48,0,48,144,144,0,150,153,162,765,357,2184,2178,mixed_composite,0,1,1
100,180,79,90,0,90,60,0,60,180,180,0,200,210,240,1050,590,3080,3400,mixed_composite,0,1,1
101,102,0,52,2,50,34,0,34,102,102,2,104,107,116,537,263,1542,1556,prime,1,1,1
102,216,113,108,0,108,72,0,72,216,216,0,218,219,226,1095,479,3094,2994,mixed_composite,0,1,1
103,104,0,52,0,52,36,2,34,104,104,2,108,113,120,547,273,1556,1592,prime,1,1,1
104,168,63,84,0,84,56,0,56,168,168,0,172,174,184,870,400,2478,2448,mixed_composite,0,1,1
105,192,86,96,0,96,64,0,64,192,192,0,194,195,198,975,413,2744,2622,mixed_composite,0,1,1
106,162,55,82,2,80,54,0,54,162,162,2,164,167,180,827,401,2354,2364,mixed_composite,0,1,1
107,108,0,54,0,54,36,0,36,108,108,0,110,111,114,555,239,1582,1522,prime,1,1,1
108,216,107,108,0,108,72,0,72,216,216,0,228,234,252,1170,594,3360,3540,mixed_composite,0,1,1
109,110,0,56,2,54,38,2,36,110,110,4,114,121,134,589,321,1712,1814,prime,1,1,1
110,216,105,108,0,108,72,0,72,216,216,0,218,219,226,1095,473,3094,2970,mixed_composite,0,1,1
111,152,40,76,0,76,52,2,50,152,152,2,156,161,168,787,375,2242,2256,mixed_composite,0,1,1
112,192,79,96,0,96,64,0,64,192,192,0,200,204,216,1020,476,2912,2912,mixed_composite,0,1,1
113,114,0,58,2,56,38,0,38,114,114,2,116,119,128,587,287,1668,1680,prime,1,1,1
114,240,125,120,0,120,80,0,80,240,240,0,242,243,250,1215,527,3430,3306,mixed_composite,0,1,1
115,144,28,72,0,72,48,0,48,144,144,0,146,147,150,735,311,2072,1974,mixed_composite,0,1,1
116,180,63,90,0,90,60,0,60,180,180,0,184,186,192,930,406,2632,2552,mixed_composite,0,1,1
117,168,50,84,0,84,56,0,56,168,168,0,174,177,186,885,405,2520,2490,mixed_composite,0,1,1
118,180,61,90,0,90,60,0,60,180,180,0,182,183,190,915,401,2604,2518,mixed_composite,0,1,1
119,144,24,72,0,72,48,0,48,144,144,0,146,147,150,735,311,2072,1974,mixed_composite,0,1,1
120,288,167,144,0,144,96,0,96,288,288,0,292,294,304,1470,652,4158,4056,mixed_composite,0,1,1
121,132,10,66,0,66,44,0,44,132,132,0,154,165,198,835,517,2520,2886,prime_power,0,1,1
122,186,63,94,2,92,62,0,62,186,186,2,188,191,204,947,449,2704,2692,mixed_composite,0,1,1
123,168,44,84,0,84,56,0,56,168,168,0,170,171,174,855,365,2408,2310,mixed_composite,0,1,1
124,192,67,96,0,96,64,0,64,192,192,0,196,198,204,990,430,2800,2708,mixed_composite,0,1,1
125,150,24,76,2,74,50,0,50,150,150,2,160,167,188,827,451,2396,2556,prime_power,0,1,1
126,288,161,144,0,144,96,0,96,288,288,0,294,297,318,1485,699,4242,4230,mixed_composite,0,1,1
127,128,0,64,0,64,44,2,42,128,128,2,132,137,144,667,321,1892,1904,prime,1,1,1
128,192,63,96,0,96,64,0,64,192,192,0,208,216,256,1080,640,3192,3552,prime_power,0,1,1
129,176,46,88,0,88,60,2,58,176,176,2,180,185,192,907,423,2564,2552,mixed_composite,0,1,1
130,252,121,128,4,124,84,0,84,252,252,4,254,259,278,1279,617,3630,3630,mixed_composite,0,1,1
131,132,0,66,0,66,44,0,44,132,132,0,134,135,138,685,287,1960,1866,prime,1,1,1
132,288,155,144,0,144,96,0,96,288,288,0,292,294,300,1470,634,4144,4004,mixed_composite,0,1,1
133,160,26,80,0,80,56,4,52,160,160,4,166,175,186,839,427,2384,2458,mixed_composite,0,1,1
134,204,69,102,0,102,68,0,68,204,204,0,206,207,214,1035,449,2926,2814,mixed_composite,0,1,1
135,216,80,108,0,108,72,0,72,216,216,0,222,225,234,1125,513,3192,3162,mixed_composite,0,1,1
136,216,79,108,0,108,72,0,72,216,216,0,220,222,232,1110,496,3150,3072,mixed_composite,0,1,1
137,138,0,70,2,68,46,0,46,138,138,2,140,143,152,707,335,2004,1992,prime,1,1,1
138,288,149,144,0,144,96,0,96,288,288,0,290,291,298,1455,623,4116,3946,mixed_composite,0,1,1
139,140,0,70,0,70,48,2,46,140,140,2,144,149,156,737,345,2102,2092,prime,1,1,1
140,288,147,144,0,144,96,0,96,288,288,0,292,294,300,1470,622,4144,3956,mixed_composite,0,1,1
141,192,50,96,0,96,64,0,64,192,192,0,194,195,198,975,413,2758,2638,mixed_composite,0,1,1
142,216,73,108,0,108,72,0,72,216,216,0,218,219,226,1095,473,3108,2986,mixed_composite,0,1,1
143,168,24,84,0,84,56,0,56,168,168,0,170,171,174,855,359,2436,2318,mixed_composite,0,1,1
144,288,143,144,0,144,96,0,96,288,288,0,312,324,360,1620,852,4704,4992,mixed_composite,0,1,1
145,180,34,92,4,88,60,0,60,180,180,4,182,187,202,929,455,2650,2666,mixed_composite,0,1,1
146,222,75,112,2,110,74,0,74,222,222,2,224,227,240,1127,521,3208,3160,mixed_composite,0,1,1
147,224,76,112,0,112,76,2,74,224,224,2,240,251,276,1237,693,3572,3932,mixed_composite,0,1,1
148,228,79,114,0,114,76,0,76,228,228,0,232,234,240,1170,502,3304,3176,mixed_composite,0,1,1
149,150,0,76,2,74,50,0,50,150,150,2,152,155,164,777,359,2214,2180,prime,1,1,1
150,360,209,180,0,180,120,0,120,360,360,0,370,375,410,1875,955,5390,5610,mixed_composite,0,1,1
151,152,0,76,0,76,52,2,50,152,152,2,156,161,168,797,369,2270,2248,prime,1,1,1
152,240,87,120,0,120,80,0,80,240,240,0,244,246,256,1230,544,3486,3384,mixed_composite,0,1,1
153,216,62,108,0,108,72,0,72,216,216,0,222,225,234,1125,501,3192,3114,mixed_composite,0,1,1
154,288,133,144,0,144,96,0,96,288,288,0,290,291,298,1455,617,4102,3906,mixed_composite,0,1,1
155,192,36,96,0,96,64,0,64,192,192,0,194,195,198,985,407,2786,2630,mixed_composite,0,1,1
156,336,179,168,0,168,112,0,112,336,336,0,340,342,348,1710,730,4816,4628,mixed_composite,0,1,1
157,158,0,80,2,78,54,2,52,158,158,4,162,169,182,819,417,2342,2406,prime,1,1,1
158,240,81,120,0,120,80,0,80,240,240,0,242,243,250,1215,521,3430,3282,mixed_composite,0,1,1
159,216,56,108,0,108,72,0,72,216,216,0,218,219,222,1095,461,3080,2934,mixed_composite,0,1,1
160,288,127,144,0,144,96,0,96,288,288,0,296,300,320,1500,704,4284,4272,mixed_composite,0,1,1
161,192,30,96,0,96,64,0,64,192,192,0,194,195,198,975,407,2744,2598,mixed_composite,0,1,1
162,324,161,162,0,162,108,0,108,324,324,0,342,351,414,1755,1017,5166,5670,mixed_composite,0,1,1
163,164,0,82,0,82,56,2,54,164,164,2,168,173,180,847,393,2396,2372,prime,1,1,1
164,252,87,126,0,126,84,0,84,252,252,0,256,258,264,1290,550,3640,3488,mixed_composite,0,1,1
165,288,122,144,0,144,96,0,96,288,288,0,290,291,294,1455,605,4088,3870,mixed_composite,0,1,1
166,252,85,126,0,126,84,0,84,252,252,0,254,255,262,1275,545,3612,3454,mixed_composite,0,1,1
167,168,0,84,0,84,56,0,56,168,168,0,170,171,174,855,359,2422,2302,prime,1,1,1
168,384,215,192,0,192,128,0,128,384,384,0,388,390,400,1950,844,5502,5304,mixed_composite,0,1,1
169,182,12,92,2,90,62,2,60,182,182,4,210,229,278,1119,741,3350,3942,prime_power,0,1,1
170,324,153,164,4,160,108,0,108,324,324,4,326,331,350,1639,761,4638,4566,mixed_composite,0,1,1
171,240,68,120,0,120,80,0,80,240,240,0,246,249,258,1245,549,3528,3426,mixed_composite,0,1,1
172,264,91,132,0,132,88,0,88,264,264,0,268,270,276,1350,574,3808,3644,mixed_composite,0,1,1
173,174,0,88,2,86,58,0,58,174,174,2,176,179,188,887,407,2508,2460,prime,1,1,1
174,360,185,180,0,180,120,0,120,360,360,0,362,363,370,1815,767,5110,4866,mixed_composite,0,1,1
175,240,64,120,0,120,80,0,80,240,240,0,250,255,270,1275,595,3640,3630,mixed_composite,0,1,1
176,288,111,144,0,144,96,0,96,288,288,0,296,300,312,1500,668,4256,4160,mixed_composite,0,1,1
177,240,62,120,0,120,80,0,80,240,240,0,242,243,246,1215,509,3430,3262,mixed_composite,0,1,1
178,270,91,136,2,134,90,0,90,270,270,2,272,275,288,1367,617,3866,3768,mixed_composite,0,1,1
179,180,0,90,0,90,60,0,60,180,180,0,182,183,186,925,383,2632,2490,prime,1,1,1
180,432,251,216,0,216,144,0,144,432,432,0,444,450,468,2250,1002,6384,6252,mixed_composite,0,1,1
181,182,0,92,2,90,62,2,60,182,182,4,186,193,206,949,465,2720,2750,prime,1,1,1
182,336,153,168,0,168,112,0,112,336,336,0,338,339,346,1695,713,4774,4530,mixed_composite,0,1,1
183,248,64,124,0,124,84,2,82,248,248,2,252,257,264,1267,567,3586,3504,mixed_composite,0,1,1
184,288,103,144,0,144,96,0,96,288,288,0,292,294,304,1470,640,4158,4008,mixed_composite,0,1,1
185,228,42,116,4,112,76,0,76,228,228,4,230,235,250,1159,551,3280,3258,mixed_composite,0,1,1
186,384,197,192,0,192,128,0,128,384,384,0,386,387,394,1935,815,5446,5178,mixed_composite,0,1,1
187,216,28,108,0,108,72,0,72,216,216,0,218,219,222,1095,455,3080,2910,mixed_composite,0,1,1
188,288,99,144,0,144,96,0,96,288,288,0,292,294,300,1470,622,4144,3956,mixed_composite,0,1,1
189,288,98,144,0,144,96,0,96,288,288,0,294,297,306,1485,657,4200,4098,mixed_composite,0,1,1
190,360,169,180,0,180,120,0,120,360,360,0,362,363,370,1815,761,5110,4842,mixed_composite,0,1,1
191,192,0,96,0,96,64,0,64,192,192,0,194,195,198,985,407,2800,2646,prime,1,1,1
192,384,191,192,0,192,128,0,128,384,384,0,400,408,432,2040,1000,5824,6016,mixed_composite,0,1,1
