modulus,element_relabel_sha256,clone_add_table_sha256,clone_mul_table_sha256,source_row_sha256,matched_clone_row_sha256,transport_certificate_sha256,semiring_transport_exact,graph_transport_exact,exact_equal
2,c13aa0c15c014736387065390b9af0db2b5238bb6054997c0346a08b8b410339,90ffc560fcd726416ed19fc391a6b41126a1614662f7a7fb49e691bad3f4f920,a7f517c1393dad5c65f051f087352837ccd344c6cf1af5ceafffca5e5742a524,30e3c062102751984336144faf78db732dbd22d9c5a77ffddb80962872576242,30e3c062102751984336144faf78db732dbd22d9c5a77ffddb80962872576242,8657210f8a7c909b086e85a362dea556b329f66e57e254c5c63012910a748559,1,1,1
3,352c6fc9d57fafcfcda2185ca1d5bb2ef227e2a769d66391077cafeb920bb7e3,0afaf389ec334681b12538afe771f6412c776208ee1b4ed21865b74a399276b7,6986bc1e9618913c66055e1d01f556f8892bce4d733500385d5fbc996215458d,96ea7a4b352a866647b983d8089b928d2ee2ff1e4800da5ae301e94107f4f953,96ea7a4b352a866647b983d8089b928d2ee2ff1e4800da5ae301e94107f4f953,dc8ff45aacb550670f1314259f5e4cb1cfa7f4f69e38e864421e7cf4a60ad433,1,1,1
4,1d9f83d9df19b8172575469c438e351f1df05df1e8b50c4ef7f1e74339c3c51e,e569eeeb65697a1428bbf0947017a471db10d2570cf338f151a69081b94649af,17e0f0dbabac7ef394a779422d7dc4832ae823dfa5e9595bba10f290759426ab,29a404497fef45dcb0c5f54e4dcd2f57b004afd2af3c087ecd7304deec43b733,29a404497fef45dcb0c5f54e4dcd2f57b004afd2af3c087ecd7304deec43b733,ae93a9a00a1af5aa9d8969a59a6a9c679d036b413b37e65b8bfa829760a39023,1,1,1
5,ab623dcc730f371f50a961ad527ccc2df67af01e0b629debb9bb04226b457e31,3b44ec48c2fe168b0749021b9c25c7bca972a258cbc423c3853fcd35017bff50,f8cf83330c4aacd6c1a46612381da74a513aa060137bc823ca96b6b6cf512125,3c32cfd9e217a9a3751d28598f58f28595f103f7b1cc38f890c00985c5169ad0,3c32cfd9e217a9a3751d28598f58f28595f103f7b1cc38f890c00985c5169ad0,e1aa6e71f272584765bd223dea773e6ad062854c47c9832c4b274ee35ad54645,1,1,1
6,6b9f5133e4725ba9a176495344697e89336f6c0d3ed344d821af320b29c32b36,b8bc705c3a08da0d2fd3bb06c78a37ebc125ffad38b907f4434b09b3ae03b303,84c5821d371d1696262ffebafb4366c240752359dfeb6e5ac6554b604da99fd0,53113fb1efc4bde812fa5ffbd1f685b97def6db81b6953dfc8fe4dd92a679d57,53113fb1efc4bde812fa5ffbd1f685b97def6db81b6953dfc8fe4dd92a679d57,11fc533b1ce8afe8deaebf11f7cac8a255c91c3b6dbb18e4ec865971a2f2003b,1,1,1
7,d640a6735162de37c5ae172edc9917bef02027ceb3ba7f8c5c3432b70568b46f,32c9d2a9f867cb6999ff13a11e4c69289ffc77d730f29a9bc5b27c91a8b46492,6bb63b3c00e7a2862a511e436096dedbfb88f906fd8bd6759c2af2a72870ac6d,6a82350c7f158e4d6f5e37d174940ba58fd20c6056c955d0c3217b8e6d93ce34,6a82350c7f158e4d6f5e37d174940ba58fd20c6056c955d0c3217b8e6d93ce34,11299b27b6bb41db023014c1920c3eaf0411a85f803b55d2bb4a582d0593f772,1,1,1
8,50d025bc23811b6f7b7af5e3543bf2851beaab3087cae0d410e218fc68f66c0c,40500906c6f55ebf10e104beac51a30410df6a560d82b9f4a96f0f3c80694d24,c3f8d7ccf5ce7fa6821f857a133199e894b8d9e9a5284f5c5142fea756b61d42,078425d6c8ca8463e414e9a994fbaf41785e5e5f4072f591d1b16af8d8310c60,078425d6c8ca8463e414e9a994fbaf41785e5e5f4072f591d1b16af8d8310c60,955453fca882ee25d972372d6833284b46c5b277e9a866607eaee03457e06ecc,1,1,1
9,4be11411a4453bcd24bbe302fc10fefc2f8c1828dcf3eabfb9351855d5c1a914,fbeab98be630be8d9f29e88eff37f39a67f6a8a540f4fc16ec6e3ff85c623b78,5085070e207e51086816d244c0ec487fb382422c8bf421e8779733b6a2046767,de353edfe45528f6882608c35ca0cf75fe0d1267adddf640a5776b27bbca8494,de353edfe45528f6882608c35ca0cf75fe0d1267adddf640a5776b27bbca8494,9f4da8182e1b8405ed789f6eeea254d554308ad3521fc1f7d9c5875ddbbc6698,1,1,1
10,1c714aa2253066a41e324342c07b6eacde4af9e69a7f7b414fb2143e89b041e4,abc22d8fbb770f17ea14ff83a1229e56e3532bdf17d6d9184d0f624b86782d4f,fafc9bc07d23ead320437838f209ee52a0d116434a16d826e03abc01c76179a0,4533a060bee70d64c167b57c5c9771c469424d16bde1c760976d3dad94b9ea6b,4533a060bee70d64c167b57c5c9771c469424d16bde1c760976d3dad94b9ea6b,9cdac9642fda956c5c9d035a4dec2c8cfeabf1af9a8ec9a306d7a666bb2c00fd,1,1,1
11,87b99c6d3597fc60e8e37336b3b22d4f094be574611d0fb48534ce6614ef49f9,ecf40db5292bec933c07fb9c081d730f5b31d06975f1863ee6447acbddef75fb,7911fbb71689340dcf43c323e766dc9ad28f835c6f06dace5d0f4fee5cffe5e0,0eed9ce501f7f6cd4851af3b1c02f922286c3decbf83685bfc85973d0a906319,0eed9ce501f7f6cd4851af3b1c02f922286c3decbf83685bfc85973d0a906319,b4f8dcd59ce89749deca67f819a167a050efdd677677c37e4e2ca7bd48248c93,1,1,1
12,7c91cb2bd87d780260daf15969f77ecb736525d05a2fe9cb9b535d003eb5c622,cd210de3b72384c14c74899e1ca8096fc3dd0df586ed6f0bec3e2a97a673d338,9efc7ec6c64132ad54a7f3ac06137f3202fb7d16f9210651052839c068fff564,fd7e263f679647b4810914e76b133d2adc0e5b450f9a8b1e6ea4546624ab26f2,fd7e263f679647b4810914e76b133d2adc0e5b450f9a8b1e6ea4546624ab26f2,fbf0289acc9053f0f36b3c381ff0d45595463b74df5e9f690fdf99a40edf9675,1,1,1
13,19a5597ce0ca34b5c920309e664bd5b368a26557a7ddc26ffe1c204b7a3159a5,2d3c8b3e9d100a9e4d97390981130f2080271b8b0350f2398d208a598f5ca295,67ac667bf3fff3ebd1fca7decbbc606c7ee4a95f8087bc6117ad0f75120709e4,dc4d0f99b8ed69befe979a623065638c9aa46e9bbdedf042dba722cfb4b2c8ed,dc4d0f99b8ed69befe979a623065638c9aa46e9bbdedf042dba722cfb4b2c8ed,f115171a65519a00dddb750a2585a66e5f1242cbcecec7f4aad545f1f5cd343f,1,1,1
14,7590f457f876af2fb16a4a69a8d547455f641bbabcf6935a06ad76b18de2ed42,964144f3d6fe206483d311a5510d3e7b61003c02e9b4ad4e13751086253d6865,3e1710a10c976ab32e6c03d4b896114fbb276d2965f8997454f8032174bad099,2a41348613d9f011270cad3e7bca4590479cd71d39f4ac87c0f7b84268f3dec2,2a41348613d9f011270cad3e7bca4590479cd71d39f4ac87c0f7b84268f3dec2,641ae3cb053ce94d6735449041ff520645f9eb0a8621eeaceee640bea47bbf49,1,1,1
15,c2a49e987387c642dc784eb2b7b17f4b79f91ef305c2230bda2fdd4e22f4f50f,8fed322a2b864309766e482efda939ff6035f882fc7edd981e6825f79214b20a,cbe5a5c6727b69edc80866a6f7d8d3713d5eec4764ab10aa49ae29ab662a0395,5a0735cd09abaf782e50785be186b3e0155b47f0316941756a6ea7e46d9a5f25,5a0735cd09abaf782e50785be186b3e0155b47f0316941756a6ea7e46d9a5f25,3a7f49e95418461095cf0ee45ff35f1261a3d94ffe1652151fd0741ed1412bd1,1,1,1
16,66f474cee403a1112c96c802a423ca01a2a8ff753f0fae5ffc53e21c46a34da6,06a5cf7a642d4034e95592577dcb2f7cc4c69d2383458c3e618b38590b7b3d77,38cc78914dc9da342e447acb8e2316483e47c4564ffe04f219108d39fdda0a9b,34398098d226db5d51ba0809c401938b9bbb8491f9525da4761124ebec0ab625,34398098d226db5d51ba0809c401938b9bbb8491f9525da4761124ebec0ab625,6d7248e7d483b02809b9e54f056d653e5d48a0574975b1add7aa627cb9ed2ad6,1,1,1
17,21d25a3f909058f9d21c0c75ece722b6fe5d9b7957d2fa568c993bb8a61bf003,1cd7c823599119e72834775278933dbc2a2c7adabb2ba80612997e771a001d54,d1b0f2e4344c70ebef7daa5bb1ebf59408a5fd02aad8d89db308e05ce02ae6a9,410b58352983486011bf58f406a394f54ae84ddb3771e54b2409f843119c1c83,410b58352983486011bf58f406a394f54ae84ddb3771e54b2409f843119c1c83,523175398439babb5c69915752d5527bb1941d9601d4bdd3bb9f819eba158722,1,1,1
