prime,extension_degree,affine_count,node_splits,normalization_count,frobenius_power_sum
5,1,3,0,9,-3
5,2,31,1,39,-13
5,3,141,0,147,-21
11,1,11,1,19,-7
11,2,159,1,167,-45
11,3,1163,1,1171,161
13,1,10,0,16,-2
13,2,234,1,242,-72
13,3,2125,0,2131,67
