prime_cutoff,prime_count,sigma,mass_model,finite_log_product,absolute_first_return_mass
100,25,0.75,unit,3.6137337969606862,3.0089660437351458
100,25,0.75,decay_half,1.5261925537601164,1.17500844843065
100,25,0.75,growth_linear,63.025651564885877,59.672091743280028
100,25,0.75,reciprocal,0.81687794099296385,0.59677585685867729
100,25,0.75,mod4_sign,-0.58172326871063407,2.4143624862337862
100,25,1.0,unit,2.1176229383581799,1.8028172010488706
100,25,1.0,decay_half,1.0141926268747634,0.81767225241614505
100,25,1.0,growth_linear,26.120890094614904,25
100,25,1.0,reciprocal,0.57823476679926877,0.45042878826375243
100,25,1.0,mod4_sign,-0.38042186032291941,1.302817201048871
100,25,1.25,unit,1.3563722375846454,1.17500844843065
100,25,1.25,decay_half,0.71446286644279466,0.59677585685867729
100,25,1.25,growth_linear,11.761876165361194,11.252243238087848
100,25,1.25,reciprocal,0.42633480463079432,0.34808262994046285
100,25,1.25,mod4_sign,-0.26175256398672581,0.75456024080379325
100,25,1.5,unit,0.92836439844066787,0.81767225241614505
100,25,1.5,decay_half,0.52393012726829924,0.45042878826375254
100,25,1.5,growth_linear,5.8122881484156581,5.5364818525985156
100,25,1.5,reciprocal,0.32314084019042755,0.27355143719441138
100,25,1.5,mod4_sign,-0.1863662331147268,0.46411886182287132
100,25,2.25,unit,0.37810460554192415,0.34808262994046285
100,25,2.25,decay_half,0.23824491821846075,0.21763496837230453
100,25,2.25,growth_linear,1.2405237317204398,1.17500844843065
100,25,2.25,reciprocal,0.15555740999256323,0.1413214010574908
100,25,2.25,mod4_sign,-0.075395239944347589,0.13785852612703411
1000,168,0.75,unit,5.2796890466679551,4.6624798868141388
1000,168,0.75,decay_half,1.6242598354219755,1.2722178731266072
1000,168,0.75,growth_linear,731.52109368555091,724.576155585778
1000,168,0.75,reciprocal,0.82331469587944295,0.60314836742052147
1000,168,0.75,mod4_sign,-0.64217860748891609,4.0678763293127851
1000,168,1.0,unit,2.513735061884804,2.1980801271750878
1000,168,1.0,decay_half,1.0388282004315379,0.8422442834767343
1000,168,1.0,growth_linear,169.31908797155995,168
1000,168,1.0,reciprocal,0.57993147035163262,0.45212043024930415
1000,168,1.0,mod4_sign,-0.39513787152457441,1.6980801271750863
1000,168,1.25,unit,1.4536450052691516,1.2722178731266072
1000,168,1.25,decay_half,0.72084042146579574,0.60314836742052147
1000,168,1.25,growth_linear,43.265386932455449,42.743456149887152
1000,168,1.25,reciprocal,0.42679369184387195,0.34854109661799504
1000,168,1.25,mod4_sign,-0.26544788439781586,0.85176966549975008
1000,168,1.5,unit,0.95294146893035303,0.8422442834767343
1000,168,1.5,decay_half,0.5256221893421188,0.45212043024930426
1000,168,1.5,growth_linear,12.930224229522548,12.653571832637796
1000,168,1.5,reciprocal,0.32326739830848972,0.27367795910737269
1000,168,1.5,mod4_sign,-0.18731507752051776,0.48869089288345963
1000,168,2.25,unit,0.37856307541587358,0.34854109661799504
1000,168,2.25,decay_half,0.23828038341436145,0.21767043328058958
1000,168,2.25,growth_linear,1.3377335763181213,1.2722178731266074
1000,168,2.25,reciprocal,0.15556030466674409,0.14132429570541913
1000,168,2.25,mod4_sign,-0.075412487579478715,0.13831699280456647
10000,1229,0.75,unit,7.4204957338319018,6.8005324912718503
10000,1229,0.75,decay_half,1.6633688602476744,1.3112681695538424
10000,1229,0.75,growth_linear,9556.7418342087531,9541.5387893520819
10000,1229,0.75,reciprocal,0.82410939386507298,0.60394170602883257
10000,1229,0.75,mod4_sign,-0.64753594656858837,6.2059289337704966
10000,1229,1.0,unit,2.7987734912662909,2.4830599472335644
10000,1229,1.0,decay_half,1.0443259118315942,0.8477406384949564
10000,1229,1.0,growth_linear,1230.4616169563267,1229
10000,1229,1.0,reciprocal,0.58004867785690939,0.45223760433995064
10000,1229,1.0,mod4_sign,-0.39561176836067419,1.9830599472335564
10000,1229,1.25,unit,1.4926966575970806,1.3112681695538424
10000,1229,1.25,decay_half,0.72163379347593892,0.60394170602883257
10000,1229,1.25,growth_linear,173.89471557613831,173.37003647512842
10000,1229,1.25,reciprocal,0.42681135802899112,0.34855876194160029
10000,1229,1.25,mod4_sign,-0.26546151428381365,0.89081996192698409
10000,1229,1.5,unit,0.95843785734829767,0.8477406384949564
10000,1229,1.5,decay_half,0.52573936429422008,0.45223760433995075
10000,1229,1.5,growth_linear,29.420404043221442,29.143693058716984
