source,target,source_q_sign,source_previous_q_sign,target_previous_q_sign,shift_consistency,source_fibre_disk_center,target_fibre_disk_center,fibre_disk_radius,image_in_target_disk
--,--,-1,-1,-1,True,0.19166666666666668,0.19166666666666668,0.09811341095299699,True
--,+-,-1,-1,-1,True,0.19166666666666668,0.19166666666666668,0.09811341095299699,True
-+,--,-1,1,-1,True,-0.19166666666666668,0.19166666666666668,0.09811341095299699,True
+-,-+,1,-1,1,True,0.19166666666666668,-0.19166666666666668,0.09811341095299699,True
+-,++,1,-1,1,True,0.19166666666666668,-0.19166666666666668,0.09811341095299699,True
++,-+,1,1,1,True,-0.19166666666666668,-0.19166666666666668,0.09811341095299699,True
