memory,central_sign_block_length,cylinder_count,q_diameter_bound_formula,q_diameter_bound,map_family_sup_bound,derivative_family_sup_bound,log_derivative_distortion_bound,strict_decrease_from_previous
1,3,6,(7/24)*(4/17)^0*(2/sqrt(17)),0.14147911460452758,0.1425642481833707,0.08262455780873232,0.983947891479871,True
2,5,15,7/102,0.06862745098039216,0.06915381808197742,0.04007879754298303,0.4772848337265049,True
3,7,40,(7/24)*(4/17)^1*(2/sqrt(17)),0.03328920343635943,0.033544528984322516,0.019441072425584075,0.23151715093644024,True
4,9,104,14/867,0.016147635524798153,0.016271486607524095,0.009430305304231302,0.11230231381800113,True
5,11,273,(7/24)*(4/17)^2*(2/sqrt(17)),0.00783275374973163,0.007892830349252356,0.00457436998249037,0.05447462374975064,True
6,13,714,56/14739,0.003799443652893683,0.0038285850841233166,0.0022188953657014824,0.026424073839529678,True
7,15,1870,(7/24)*(4/17)^3*(2/sqrt(17)),0.0018430008822897953,0.0018571365527652603,0.0010763223488212635,0.012817558529353092,True
8,17,4895,224/250563,0.0008939867418573372,0.0009008435492054863,0.0005220930272238783,0.006217429138712866,True
