a,angular_momentum_range_scaled,centered,completed_natural_time,completed_steps,dt,energy,ftle_natural,ftle_natural_t160,ftle_natural_t20,ftle_natural_t40,ftle_natural_t80,ftle_physical,initial_energy,initial_p0,initial_p1,initial_potential_fraction,initial_q0,initial_q1,max_relative_energy_drift,n,natural_time_scale,p_scale,poincare_crossings,poincare_occupancy_24,q_scale,radial_fraction,renormalizations_per_natural_time,sali,sali_t160,sali_t20,sali_t40,sali_t80,seed_index,sobol_0,sobol_1,sobol_2,status,steps_per_natural_time,total_natural_time,u_radius_fraction
0.0,8.154530746614862e-14,True,160.0,655360,1.738356378637285e-05,1000.0,-7.898753278451352e-06,-7.898753278451354e-06,0.003795031576320035,0.02589323828722536,-3.339938363168642e-05,-0.00011093275152438014,1000.0,-43.70942802438156,5.35286111226205e-15,0.044742950890704,9.68060172991822e-17,0.790481119671258,1.8318796310268227e-07,1,0.0712030772689832,44.721359549995796,69,0.036458333333333336,1.2703512729988213,0.88,8,1.326859706849031,1.326859706849031,1.2302087935943369,0.7045005130367525,1.3960180061834395,0,0.5,0.5,0.5,ok,4096,160.0,0.6222539674441618
0.0,1.1756532058003022e-13,True,160.0,655360,1.738356378637285e-05,1000.0,0.03663848656096431,0.036638486560964315,0.18437964991371641,0.08876623455619495,0.0546579250349243,0.5145632459472986,1000.0,2.5697193283358277e-15,41.966701421584844,0.11939798589577433,0.9681376972492541,-5.928133660350942e-17,3.63208569069684e-08,1,0.0712030772689832,44.721359549995796,68,0.013888888888888888,1.2703512729988213,0.88,8,0.2673951360141639,0.2673951360141639,0.2754067316887356,0.7127006523281901,0.43150358947457107,1,0.75,0.25,0.25,ok,4096,160.0,0.762102355330306
0.0,4.139800118296809e-14,True,160.0,655360,1.738356378637285e-05,1000.0,0.0392782350205941,0.0392782350205941,0.18474248752199848,0.10892730823219428,0.0637078065084259,0.551636762442346,1000.0000000000001,-8.14601786720571e-15,-44.34485585491417,0.01676687960344229,-0.5589545601194813,1.0267828693787093e-16,4.4677860717001747e-07,1,0.0712030772689832,44.721359549995796,73,0.041666666666666664,1.2703512729988213,0.88,8,0.5826400679817044,0.5826400679817044,1.2960048174091752,1.3927515276907534,1.331294310009163,2,0.25,0.75,0.75,ok,4096,160.0,0.44
0.0,4.4899946902373244e-14,True,160.0,655360,1.738356378637285e-05,1000.0,0.034284447417997216,0.03428444741799722,0.17107145526970133,0.0996744777795038,0.05905335082930402,0.48150232732893244,1000.0,-31.186699519122353,-31.186699519122346,0.02738977310397376,0.48406884862462707,0.484068848624627,8.352126857289477e-07,1,0.0712030772689832,44.721359549995796,87,0.003472222222222222,1.2703512729988213,0.88,8,0.9539617055680718,0.9539617055680718,1.024355583091578,1.054111343927224,0.9716857485030261,3,0.375,0.375,0.625,ok,4096,160.0,0.5388877434122992
1.02,1.3720148548269469,True,160.0,1310720,8.691781893186426e-06,1000.0,0.7170184003499579,0.7170184003499579,0.7355929657252342,0.753261985359149,0.719375707679643,10.070047922806541,1000.0,-43.70942802438156,5.35286111226205e-15,0.044742950890704,9.68060172991822e-17,0.7904811196712579,1.408235223379961e-06,1,0.0712030772689832,44.721359549995796,56,0.07291666666666667,3.1448131028256157,0.88,8,1.2043669762623373e-14,1.2043669762623373e-14,1.0655850796307302e-05,7.868116757272328e-13,3.249781623518109e-15,0,0.5,0.5,0.5,ok,8192,160.0,0.6222539674441618
1.02,1.361951652969155,True,160.0,1310720,8.691781893186426e-06,1000.0,0.7807963984602658,0.7807963984602659,0.960603796407262,0.768591106970345,0.7926541020512714,10.965767610164637,1000.0,2.5697193283358277e-15,41.966701421584844,0.11939798589577433,0.9681376972492541,-1.7717254176047539,1.063444165765759e-06,1,0.0712030772689832,44.721359549995796,57,0.07118055555555555,3.1448131028256157,0.88,8,0.0,0.0,2.769814956904529e-06,5.466778547596264e-11,3.645825866992492e-15,1,0.75,0.25,0.25,ok,8192,160.0,0.762102355330306
1.02,1.3680650534350474,True,160.0,1310720,8.691781893186426e-06,1000.0,0.7903334597459403,0.7903334597459403,0.7642446828735527,0.788050746581815,0.7999867016407467,11.099709311162282,1000.0000000000001,-8.14601786720571e-15,-44.34485585491417,0.01676687960344229,-0.5589545601194813,0.15225946218521152,1.2036526289875836e-06,1,0.0712030772689832,44.721359549995796,57,0.06770833333333333,3.1448131028256157,0.88,8,7.043575467574348e-16,7.043575467574348e-16,0.0006292832413569434,1.8905901786982896e-11,1.059623400146582e-14,2,0.25,0.75,0.75,ok,8192,160.0,0.44
1.02,1.3770943861840592,True,160.0,1310720,8.691781893186426e-06,1000.0,0.7134611605089339,0.713461160508934,0.7492650986114633,0.690697880245467,0.7003599056372876,10.02008884831899,1000.0,-31.186699519122353,-31.186699519122346,0.02738977310397376,0.48406884862462707,-0.16278475696480238,1.3989986805427179e-06,1,0.0712030772689832,44.721359549995796,56,0.07118055555555555,3.1448131028256157,0.88,8,0.0,0.0,2.666881305947397e-05,3.019553557979048e-11,6.244734661812209e-15,3,0.375,0.375,0.625,ok,8192,160.0,0.5388877434122992
1.02,1.157413589707063,True,160.0,2621440,4.345890946593213e-06,1000.0,1.0918682471672165,1.0918682471672168,1.397882248993572,1.083136041774799,1.0351014909032368,15.334565429559682,999.9999999999999,-43.70942802438156,5.35286111226205e-15,0.04474295089070397,0.7904811196712579,-1.3033648920489944,2.498419725270651e-06,2,0.0712030772689832,44.721359549995796,52,0.04861111111111111,7.9036826785770815,0.88,8,1.3608726004012153e-15,1.3608726004012153e-15,2.7976970547526495e-11,8.578084154085743e-14,4.027386864194826e-15,0,0.5,0.5,0.5,ok,16384,160.0,0.6222539674441618
1.02,1.1455837109098024,True,160.0,2621440,4.345890946593213e-06,1000.0,1.1315902261093127,1.131590226109313,0.7358624185465774,0.9323948628277142,1.0620374189499489,15.892434281098764,1000.0000000000001,2.569719328335828e-15,41.96670142158485,0.11939798589577416,-1.7717254176047539,-2.6771898257508946,2.5718841069419795e-06,2,0.0712030772689832,44.721359549995796,50,0.041666666666666664,7.9036826785770815,0.88,8,7.317954371399161e-15,7.317954371399161e-15,0.000464778787082895,2.652712912021259e-14,4.267143314468672e-15,1,0.75,0.25,0.25,ok,16384,160.0,0.762102355330306
