form,index,window,target,predicted,residual,percent_error
Q,1,train,14.1347,14.1347,0.0,0.0
Q,2,train,21.022,16.781678394412417,-4.240321605587582,20.170876251486927
Q,3,train,25.0108,25.090853338162415,0.08005333816241489,0.3200750802150067
Q,4,train,30.4248,29.60502024354637,-0.8197797564536309,2.694445835153003
Q,5,train,32.935,35.36597948902029,2.430979489020288,7.381143127433696
Q,6,train,37.5861,36.719527649291315,-0.8665723507086867,2.305566022302624
Q,7,train,40.9187,40.97551432782104,0.056814327821037125,0.13884685442361835
Q,8,train,43.327,42.193058456214565,-1.1339415437854328,2.617170687528407
Q,9,train,48.0051,43.175016869675474,-4.830083130324525,10.061604142735927
Q,10,train,49.7738,46.92272187762231,-2.851078122377693,5.7280700335873345
Q,11,train,52.9703,54.145446655485664,1.175146655485662,2.2185010382906305
Q,12,train,56.4462,54.38795486591146,-2.058245134088537,3.6463838736505507
Q,13,train,59.347,58.68777541933823,-0.6592245806617711,1.1107968063453437
Q,14,train,60.8317,61.361682013096164,0.5299820130961663,0.8712267010393698
Q,15,train,65.1125,61.82889111184989,-3.2836088881501055,5.042977751046428
Q,16,train,67.0798,65.98093252326052,-1.0988674767394855,1.6381496020254762
Q,17,train,69.5464,66.93859425915586,-2.6078057408441424,3.749735055796047
Q,18,train,72.0671,69.00155853948078,-3.0655414605192135,4.253732230822683
Q,19,train,75.7046,71.08554744350383,-4.619052556496172,6.101415972736362
Q,20,train,77.1448,78.13559065996539,0.9907906599653842,1.2843259169320345
Q,21,train,79.3373,80.79529869282231,1.457998692822315,1.8377215922678425
Q,22,train,82.9103,84.79914214474044,1.8888421447404369,2.278175503816096
Q,23,train,84.7354,87.05573364704686,2.3203336470468656,2.7383285463299467
Q,24,train,87.4252,89.58734357981231,2.1621435798123088,2.47313541154302
Q,25,train,88.8091,92.36353982579135,3.5544398257913485,4.002337402125851
Q,26,train,92.4918,99.32363043840432,6.8318304384043245,7.386417432036488
