exponent,parameter_class,direct_factor_cancels,shortest_mixed_word,mixed_word_length,first_supertrace,closed_formula_value,formula_required
1,balanced_control,true,UUVuvvuV,8,-8,0,false
2,exponent_mutation,true,UUvUvuVV,8,-64,-64,true
3,exponent_mutation,true,UUUvUUvuVV,10,-648,-648,true
4,composite_baseline,true,UUUUvUUUvuVV,12,-3072,-3072,true
5,exponent_mutation,true,UUUUUvUUUUvuVV,14,-10000,-10000,true
6,exponent_mutation,true,UUUUUUvUUUUUvuVV,16,-25920,-25920,true
7,exponent_mutation,true,UUUUUUUvUUUUUUvuVV,18,-57624,-57624,true
8,exponent_mutation,true,UUUUUUUUvUUUUUUUvuVV,20,-114688,-114688,true
