cutoff_k,observable,grid_id,sigma,tau,seed_count,seeds,abs_value_mean,abs_value_std_population,successive_drift_mean,successive_drift_std_population,successive_drift_min,successive_drift_max
22,mobius,C160_3,1.6,3.0,1,none,1.3517756057597334,0.0,0.012795496752379246,0.0,0.012795496752379246,0.012795496752379246
22,mobius,C160_9,1.6,9.0,1,none,1.1348063464525264,0.0,0.028930261632875032,0.0,0.028930261632875032,0.028930261632875032
22,mobius,C175_5,1.75,5.0,1,none,1.1268570279635883,0.0,0.007809107073058271,0.0,0.007809107073058271,0.007809107073058271
22,mobius,C190_11,1.9,11.0,1,none,0.7982312173813323,0.0,0.005050346400775306,0.0,0.005050346400775306,0.005050346400775306
22,mobius,C225_1,2.25,1.0,1,none,0.9716877019877097,0.0,0.0017996952093467813,0.0,0.0017996952093467813,0.0017996952093467813
22,mobius,C225_7,2.25,7.0,1,none,0.9154676016744969,0.0,0.0011484136758625647,0.0,0.0011484136758625647,0.0011484136758625647
22,mobius,C275_3,2.75,3.0,1,none,1.1510141747275688,0.0,0.0003181922565712488,0.0,0.0003181922565712488,0.0003181922565712488
22,mobius,C325_11,3.25,11.0,1,none,0.9328864701015809,0.0,6.0848336552411e-05,0.0,6.0848336552411e-05,6.0848336552411e-05
22,mobius,R160,1.6,0.0,1,none,1.3853657633157548,0.0,0.08216687342527251,0.0,0.08216687342527251,0.08216687342527251
22,mobius,R175,1.75,0.0,1,none,0.6318330661570605,0.0,0.03457884114157783,0.0,0.03457884114157783,0.03457884114157783
22,mobius,R190,1.9,0.0,1,none,0.18088498568333297,0.0,0.015400906952221821,0.0,0.015400906952221821,0.015400906952221821
22,mobius,R200,2.0,0.0,1,none,0.024484511305600143,0.0,0.009236242671643913,0.0,0.009236242671643913,0.009236242671643913
22,mobius,R2125,2.125,0.0,1,none,0.2147124346270564,0.0,0.005006305349553347,0.0,0.005006305349553347,0.005006305349553347
22,mobius,R250,2.5,0.0,1,none,0.5460783449217049,0.0,0.0009052138668833587,0.0,0.0009052138668833587,0.0009052138668833587
