edge_id,r,origin_b,origin_k,token_forward,target_b,target_k,token_reverse,length,closed,primitive,immediate_backtrack,hashimoto_allowed
0,4,0,0,U+,1,0,U-,2,True,True,True,False
1,4,0,0,V+,0,1,V-,2,True,True,True,False
2,4,0,1,U+,4,1,U-,2,True,True,True,False
3,4,0,1,V+,0,2,V-,2,True,True,True,False
4,4,0,2,U+,16,2,U-,2,True,True,True,False
5,4,0,2,V+,0,3,V-,2,True,True,True,False
6,4,0,3,U+,64,3,U-,2,True,True,True,False
7,4,0,3,V+,0,4,V-,2,True,True,True,False
8,4,0,4,U+,256,4,U-,2,True,True,True,False
9,4,0,4,V+,0,5,V-,2,True,True,True,False
10,4,1,0,U+,2,0,U-,2,True,True,True,False
11,4,1,0,V+,1,1,V-,2,True,True,True,False
12,4,1,1,U+,5,1,U-,2,True,True,True,False
13,4,1,1,V+,1,2,V-,2,True,True,True,False
14,4,1,2,U+,17,2,U-,2,True,True,True,False
15,4,1,2,V+,1,3,V-,2,True,True,True,False
16,4,1,3,U+,65,3,U-,2,True,True,True,False
17,4,1,3,V+,1,4,V-,2,True,True,True,False
18,4,1,4,U+,257,4,U-,2,True,True,True,False
19,4,1,4,V+,1,5,V-,2,True,True,True,False
20,4,2,0,U+,3,0,U-,2,True,True,True,False
21,4,2,0,V+,2,1,V-,2,True,True,True,False
22,4,2,1,U+,6,1,U-,2,True,True,True,False
23,4,2,1,V+,2,2,V-,2,True,True,True,False
24,4,2,2,U+,18,2,U-,2,True,True,True,False
25,4,2,2,V+,2,3,V-,2,True,True,True,False
26,4,2,3,U+,66,3,U-,2,True,True,True,False
27,4,2,3,V+,2,4,V-,2,True,True,True,False
28,4,2,4,U+,258,4,U-,2,True,True,True,False
29,4,2,4,V+,2,5,V-,2,True,True,True,False
30,4,3,0,U+,4,0,U-,2,True,True,True,False
31,4,3,0,V+,3,1,V-,2,True,True,True,False
32,4,3,1,U+,7,1,U-,2,True,True,True,False
33,4,3,1,V+,3,2,V-,2,True,True,True,False
34,4,3,2,U+,19,2,U-,2,True,True,True,False
35,4,3,2,V+,3,3,V-,2,True,True,True,False
36,4,3,3,U+,67,3,U-,2,True,True,True,False
37,4,3,3,V+,3,4,V-,2,True,True,True,False
38,4,3,4,U+,259,4,U-,2,True,True,True,False
39,4,3,4,V+,3,5,V-,2,True,True,True,False
40,4,4,0,U+,5,0,U-,2,True,True,True,False
41,4,4,0,V+,4,1,V-,2,True,True,True,False
42,4,4,1,U+,8,1,U-,2,True,True,True,False
43,4,4,1,V+,4,2,V-,2,True,True,True,False
44,4,4,2,U+,20,2,U-,2,True,True,True,False
45,4,4,2,V+,4,3,V-,2,True,True,True,False
46,4,4,3,U+,68,3,U-,2,True,True,True,False
47,4,4,3,V+,4,4,V-,2,True,True,True,False
48,4,4,4,U+,260,4,U-,2,True,True,True,False
49,4,4,4,V+,4,5,V-,2,True,True,True,False
50,4,5,0,U+,6,0,U-,2,True,True,True,False
51,4,5,0,V+,5,1,V-,2,True,True,True,False
52,4,5,1,U+,9,1,U-,2,True,True,True,False
53,4,5,1,V+,5,2,V-,2,True,True,True,False
54,4,5,2,U+,21,2,U-,2,True,True,True,False
55,4,5,2,V+,5,3,V-,2,True,True,True,False
56,4,5,3,U+,69,3,U-,2,True,True,True,False
57,4,5,3,V+,5,4,V-,2,True,True,True,False
58,4,5,4,U+,261,4,U-,2,True,True,True,False
59,4,5,4,V+,5,5,V-,2,True,True,True,False
60,4,6,0,U+,7,0,U-,2,True,True,True,False
61,4,6,0,V+,6,1,V-,2,True,True,True,False
62,4,6,1,U+,10,1,U-,2,True,True,True,False
63,4,6,1,V+,6,2,V-,2,True,True,True,False
64,4,6,2,U+,22,2,U-,2,True,True,True,False
65,4,6,2,V+,6,3,V-,2,True,True,True,False
66,4,6,3,U+,70,3,U-,2,True,True,True,False
67,4,6,3,V+,6,4,V-,2,True,True,True,False
68,4,6,4,U+,262,4,U-,2,True,True,True,False
69,4,6,4,V+,6,5,V-,2,True,True,True,False
70,4,7,0,U+,8,0,U-,2,True,True,True,False
71,4,7,0,V+,7,1,V-,2,True,True,True,False
72,4,7,1,U+,11,1,U-,2,True,True,True,False
73,4,7,1,V+,7,2,V-,2,True,True,True,False
74,4,7,2,U+,23,2,U-,2,True,True,True,False
75,4,7,2,V+,7,3,V-,2,True,True,True,False
76,4,7,3,U+,71,3,U-,2,True,True,True,False
77,4,7,3,V+,7,4,V-,2,True,True,True,False
78,4,7,4,U+,263,4,U-,2,True,True,True,False
79,4,7,4,V+,7,5,V-,2,True,True,True,False
80,4,8,0,U+,9,0,U-,2,True,True,True,False
81,4,8,0,V+,8,1,V-,2,True,True,True,False
82,4,8,1,U+,12,1,U-,2,True,True,True,False
