r,q,multiplier_count,state_count,relation_left_endpoint,relation_right_endpoint,relation_preserved,relation_word_length,relation_cyclically_nonbacktracking,relation_label_primitive,relation_polygon_vertex_simple,u_q_closed,u_q_length,u_q_primitive_or_loop,small_modulus,required_2_2_degeneracy
4,1,1,1,0:0,0:0,True,7,True,True,False,True,1,True,True,False
4,2,2,4,0:0,0:0,True,7,True,True,False,True,2,True,True,False
4,3,1,3,1:1,1:1,True,7,True,True,False,True,3,True,True,False
4,4,2,8,0:0,0:0,True,7,True,True,False,True,4,True,True,False
4,5,2,10,4:4,4:4,True,7,True,True,True,True,5,True,False,False
4,6,2,12,4:4,4:4,True,7,True,True,True,True,6,True,False,False
4,7,3,21,4:4,4:4,True,7,True,True,True,True,7,True,False,False
4,8,3,24,4:4,4:4,True,7,True,True,True,True,8,True,False,False
4,9,3,27,4:4,4:4,True,7,True,True,True,True,9,True,False,False
4,10,3,30,4:4,4:4,True,7,True,True,True,True,10,True,False,False
4,11,5,55,4:4,4:4,True,7,True,True,True,True,11,True,False,False
4,12,2,24,4:4,4:4,True,7,True,True,True,True,12,True,False,False
2,1,1,1,0:0,0:0,True,5,True,True,False,True,1,True,True,False
2,2,2,4,0:0,0:0,True,5,True,True,False,True,2,True,True,True
2,3,2,6,2:2,2:2,True,5,True,True,True,True,3,True,False,False
2,4,3,12,2:2,2:2,True,5,True,True,True,True,4,True,False,False
2,5,4,20,2:2,2:2,True,5,True,True,True,True,5,True,False,False
2,6,3,18,2:2,2:2,True,5,True,True,True,True,6,True,False,False
2,7,3,21,2:2,2:2,True,5,True,True,True,True,7,True,False,False
2,8,4,32,2:2,2:2,True,5,True,True,True,True,8,True,False,False
2,9,6,54,2:2,2:2,True,5,True,True,True,True,9,True,False,False
2,10,5,50,2:2,2:2,True,5,True,True,True,True,10,True,False,False
2,11,10,110,2:2,2:2,True,5,True,True,True,True,11,True,False,False
2,12,4,48,2:2,2:2,True,5,True,True,True,True,12,True,False,False
3,1,1,1,0:0,0:0,True,6,True,True,False,True,1,True,True,False
3,2,1,2,1:1,1:1,True,6,True,True,False,True,2,True,True,False
3,3,2,6,0:0,0:0,True,6,True,True,False,True,3,True,True,False
3,4,2,8,3:3,3:3,True,6,True,True,True,True,4,True,False,False
3,5,4,20,3:3,3:3,True,6,True,True,True,True,5,True,False,False
3,6,2,12,3:3,3:3,True,6,True,True,True,True,6,True,False,False
3,7,6,42,3:3,3:3,True,6,True,True,True,True,7,True,False,False
3,8,2,16,3:3,3:3,True,6,True,True,True,True,8,True,False,False
3,9,3,27,3:3,3:3,True,6,True,True,True,True,9,True,False,False
3,10,4,40,3:3,3:3,True,6,True,True,True,True,10,True,False,False
3,11,5,55,3:3,3:3,True,6,True,True,True,True,11,True,False,False
3,12,3,36,3:3,3:3,True,6,True,True,True,True,12,True,False,False
5,1,1,1,0:0,0:0,True,8,True,True,False,True,1,True,True,False
5,2,1,2,1:1,1:1,True,8,True,True,False,True,2,True,True,False
5,3,2,6,2:2,2:2,True,8,True,True,False,True,3,True,True,False
5,4,1,4,1:1,1:1,True,8,True,True,False,True,4,True,True,False
5,5,2,10,0:0,0:0,True,8,True,True,False,True,5,True,True,False
5,6,2,12,5:5,5:5,True,8,True,True,True,True,6,True,False,False
5,7,6,42,5:5,5:5,True,8,True,True,True,True,7,True,False,False
5,8,2,16,5:5,5:5,True,8,True,True,True,True,8,True,False,False
5,9,6,54,5:5,5:5,True,8,True,True,True,True,9,True,False,False
5,10,2,20,5:5,5:5,True,8,True,True,True,True,10,True,False,False
5,11,5,55,5:5,5:5,True,8,True,True,True,True,11,True,False,False
5,12,2,24,5:5,5:5,True,8,True,True,True,True,12,True,False,False
