control_id,expected,observed_metric,threshold,passed
G1_TWO_COORDINATE_GLUE,PASS,9.398019690374772e-15,5e-11,True
G2_SCALAR_AVERAGE,FAIL,1.4113026505519657,1e-06,True
O1_REVERSED_MONODROMY,FAIL,5631.071095938547,1e-06,True
