case_id,length,cyclic_signs,minimal_symbolic_period,iterations,fixed_point_increment,cyclic_residual,open_cyclic_value_error,matching_determinant_real,matching_determinant_imag,det_i_minus_m_real,det_i_minus_m_imag,open_theta_real,open_theta_imag,determinant_identity_error,cyclic_jacobian_determinant_real,cyclic_jacobian_determinant_imag,hill_identity_error,float64_hill_identity_error,projective_fixed_slope_error,projective_multiplier_relative_error,orientation_prediction,orientation_observed,orientation_ok
C1:-,1,-,1,23,4.2521541843143495e-14,8.504308368628699e-14,1.1657341758564144e-14,0.7257081148225661,0.0,-5.291502622128988,0.0,7.291502622129128,-0.0,7.143671195514219e-102,5.291502622128988,0.0,0.0,0.0,5.273559366969494e-16,0.0,-1,-1,True
C2:--,2,--,1,23,4.2521541843143495e-14,8.504308368628699e-14,1.3322676295501878e-15,0.9424912894065272,0.0,-49.166010488513905,0.0,52.16601048851367,-0.0,1.4287342391028437e-101,49.166010488513905,0.0,0.0,0.0,2.220446049250313e-16,0.0,-1,-1,True
C3:---,3,---,1,23,4.2521541843143495e-14,8.504308368628699e-14,1.1102230246251565e-14,0.9750949532118897,0.0,-363.78559701874974,0.0,373.0770996408987,0.0,5.714936956411375e-101,363.78559701874946,0.0,2.194535791261968e-98,2.8421709430404007e-13,3.0531133177191805e-16,0.0,-1,-1,True
C3:--+,3,--+,3,22,9.325873406851315e-14,1.2778667013435552e-13,1.8984813721090177e-14,1.0507846662461857,-0.0,133.9148550549969,0.0,-127.44271909999446,0.0,0.0,-133.9148550549969,0.0,1.82877982605164e-99,0.0,4.163336342344337e-16,0.0,1,1,True
C3:-+-,3,-+-,3,22,9.325873406851315e-14,1.2778667013435552e-13,2.8199664825478976e-14,0.967683841361381,-0.0,133.9148550549968,0.0,-138.38699100998244,0.0,1.4287342391028437e-101,-133.9148550549969,0.0,3.65755965210328e-99,1.1368683772161603e-13,2.220446049250313e-16,0.0,1,1,True
C3:+--,3,+--,3,22,9.325873406851315e-14,1.2778667013435552e-13,1.8984813721090177e-14,1.0507846662461857,-0.0,133.91485505499702,0.0,-127.44271909999448,0.0,8.572405434617062e-101,-133.9148550549969,0.0,1.097267895630984e-98,1.1368683772161603e-13,8.326672684688674e-17,0.0,1,1,True
C4:----,4,----,1,23,4.2521541843143495e-14,8.504308368628699e-14,5.773159728050814e-15,0.979698860736015,0.0,-2613.960629310721,0.0,2668.126639799305,0.0,4.286202717308531e-101,2613.960629310715,0.0,1.1704190886730496e-97,5.9117155615240335e-12,3.0531133177191805e-16,0.0,-1,-1,True
C4:---+,4,---+,4,3,0.0,2.220446049250313e-16,7.93809462606987e-15,1.0329200979567825,-0.0,1046.3020306143699,0.0,-1012.9554383577946,0.0,4.286202717308531e-101,-1046.30203061437,0.0,4.389071582523936e-98,2.2737367544323206e-13,1.3877787807814457e-16,2.177280875353165e-16,1,1,True
C4:--+-,4,--+-,4,3,0.0,2.220446049250313e-16,7.993605777301127e-15,0.9709120472189874,-0.0,1046.3020306143735,0.0,-1077.6486228709853,0.0,1.2858608151925594e-100,-1046.3020306143699,0.0,1.463023860841312e-97,3.637978807091713e-12,3.885780586188048e-16,2.1772808753531655e-16,1,1,True
C4:--++,4,--++,4,2,0.0,1.1102230246251565e-16,5.551115123125783e-15,1.0415913200723326,-0.0,-576.0000000000018,0.0,553.0000000000002,0.0,5.714936956411375e-101,575.9999999999998,0.0,3.65755965210328e-98,2.0463630789890885e-12,1.6653345369377348e-16,1.9669061940799993e-16,-1,-1,True
