cutoff,s_integer,t,z,entry_error,determinant_error,unitary_similarity_match
12,1,0,0.1,0,0,True
12,1,0.5,0.1,2.797157557069881e-17,1.3552527156068805e-20,True
12,1,1,0.1,3.1031676915590914e-17,2.7105054312137611e-20,True
12,1,1.4142135623730951,0.1,5.0515910130503314e-17,5.4210108624275222e-20,True
20,1,0,0.1,0,0,True
20,1,0.5,0.1,2.797157557069881e-17,1.3552527156068805e-20,True
20,1,1,0.1,3.1031676915590914e-17,2.7105054312137611e-20,True
20,1,1.4142135623730951,0.1,5.0515910130503314e-17,5.4210108624275222e-20,True
30,1,0,0.1,0,0,True
30,1,0.5,0.1,2.797157557069881e-17,1.3552527156068805e-20,True
30,1,1,0.1,3.1031676915590914e-17,2.7105054312137611e-20,True
30,1,1.4142135623730951,0.1,5.0515910130503314e-17,5.4210108624275222e-20,True
