power,rooted_word,primitive_root,primitive_period,repetition,rotation_index,holonomy,mass,cofactor_word,rotation_repetition_match
6,10-11-6-7-8-9,6-7-8-9-10-11,6,1,4,2,332640,1-2-1-1-1-1,True
6,11-6-7-8-9-10,6-7-8-9-10-11,6,1,5,2,332640,2-1-1-1-1-1,True
7,2-3-2-3-4-5-3,2-3-2-3-4-5-3,7,1,0,8,2160,1-2-1-1-1-2-2,True
7,2-3-4-5-3-2-3,2-3-2-3-4-5-3,7,1,2,8,2160,1-1-1-2-2-1-2,True
7,2-3-4-5-3-4-5,2-3-4-5-3-4-5,7,1,0,6,7200,1-1-1-2-1-1-3,True
7,3-2-3-2-3-4-5,2-3-2-3-4-5-3,7,1,6,8,2160,2-1-2-1-1-1-2,True
7,3-2-3-4-5-3-2,2-3-2-3-4-5-3,7,1,1,8,2160,2-1-1-1-2-2-1,True
7,3-4-5-2-3-4-5,2-3-4-5-3-4-5,7,1,4,6,7200,1-1-3-1-1-1-2,True
7,3-4-5-3-2-3-2,2-3-2-3-4-5-3,7,1,3,8,2160,1-1-2-2-1-2-1,True
7,3-4-5-3-4-5-2,2-3-4-5-3-4-5,7,1,1,6,7200,1-1-2-1-1-3-1,True
7,3-4-5-6-7-4-5,3-4-5-6-7-4-5,7,1,0,4,50400,1-1-1-1-2-1-2,True
7,4-5-2-3-4-5-3,2-3-4-5-3-4-5,7,1,5,6,7200,1-3-1-1-1-2-1,True
7,4-5-3-2-3-2-3,2-3-2-3-4-5-3,7,1,4,8,2160,1-2-2-1-2-1-1,True
7,4-5-3-4-5-2-3,2-3-4-5-3-4-5,7,1,2,6,7200,1-2-1-1-3-1-1,True
7,4-5-3-4-5-6-7,3-4-5-6-7-4-5,7,1,5,4,50400,1-2-1-1-1-1-2,True
7,4-5-6-7-4-5-3,3-4-5-6-7-4-5,7,1,1,4,50400,1-1-1-2-1-2-1,True
7,5-2-3-4-5-3-4,2-3-4-5-3-4-5,7,1,6,6,7200,3-1-1-1-2-1-1,True
7,5-3-2-3-2-3-4,2-3-2-3-4-5-3,7,1,5,8,2160,2-2-1-2-1-1-1,True
7,5-3-4-5-2-3-4,2-3-4-5-3-4-5,7,1,3,6,7200,2-1-1-3-1-1-1,True
7,5-3-4-5-6-7-4,3-4-5-6-7-4-5,7,1,6,4,50400,2-1-1-1-1-2-1,True
7,5-6-7-4-5-3-4,3-4-5-6-7-4-5,7,1,2,4,50400,1-1-2-1-2-1-1,True
7,6-7-4-5-3-4-5,3-4-5-6-7-4-5,7,1,3,4,50400,1-2-1-2-1-1-1,True
7,7-4-5-3-4-5-6,3-4-5-6-7-4-5,7,1,4,4,50400,2-1-2-1-1-1-1,True
7,7-8-9-10-11-12-13,7-8-9-10-11-12-13,7,1,0,2,8648640,1-1-1-1-1-1-2,True
7,8-9-10-11-12-13-7,7-8-9-10-11-12-13,7,1,1,2,8648640,1-1-1-1-1-2-1,True
7,9-10-11-12-13-7-8,7-8-9-10-11-12-13,7,1,2,2,8648640,1-1-1-1-2-1-1,True
7,10-11-12-13-7-8-9,7-8-9-10-11-12-13,7,1,3,2,8648640,1-1-1-2-1-1-1,True
7,11-12-13-7-8-9-10,7-8-9-10-11-12-13,7,1,4,2,8648640,1-1-2-1-1-1-1,True
7,12-13-7-8-9-10-11,7-8-9-10-11-12-13,7,1,5,2,8648640,1-2-1-1-1-1-1,True
7,13-7-8-9-10-11-12,7-8-9-10-11-12-13,7,1,6,2,8648640,2-1-1-1-1-1-1,True
8,2-3-2-3-2-3-2-3,2-3,2,4,0,16,1296,1-2-1-2-1-2-1-2,True
8,2-3-2-3-2-3-4-5,2-3-2-3-2-3-4-5,8,1,0,12,4320,1-2-1-2-1-1-1-3,True
8,2-3-2-3-4-5-2-3,2-3-2-3-2-3-4-5,8,1,2,12,4320,1-2-1-1-1-3-1-2,True
8,2-3-2-3-4-5-6-7,2-3-2-3-4-5-6-7,8,1,0,8,30240,1-2-1-1-1-1-1-4,True
8,2-3-4-5-2-3-2-3,2-3-2-3-2-3-4-5,8,1,4,12,4320,1-1-1-3-1-2-1-2,True
8,2-3-4-5-2-3-4-5,2-3-4-5,4,2,0,9,14400,1-1-1-3-1-1-1-3,True
8,2-3-4-5-3-4-5-3,2-3-4-5-3-4-5-3,8,1,0,8,21600,1-1-1-2-1-1-2-2,True
8,2-3-4-5-6-7-2-3,2-3-2-3-4-5-6-7,8,1,2,8,30240,1-1-1-1-1-4-1-2,True
8,2-3-4-5-6-7-4-5,2-3-4-5-6-7-4-5,8,1,0,6,100800,1-1-1-1-1-2-1-3,True
8,2-3-4-5-6-7-8-3,2-3-4-5-6-7-8-3,8,1,0,6,120960,1-1-1-1-1-1-3-2,True
8,2-3-4-5-6-7-8-9,2-3-4-5-6-7-8-9,8,1,0,5,362880,1-1-1-1-1-1-1-5,True
8,3-2-3-2-3-2-3-2,2-3,2,4,1,16,1296,2-1-2-1-2-1-2-1,True
8,3-2-3-2-3-4-5-2,2-3-2-3-2-3-4-5,8,1,1,12,4320,2-1-2-1-1-1-3-1,True
8,3-2-3-4-5-2-3-2,2-3-2-3-2-3-4-5,8,1,3,12,4320,2-1-1-1-3-1-2-1,True
8,3-2-3-4-5-3-4-5,2-3-4-5-3-4-5-3,8,1,7,8,21600,2-1-1-1-2-1-1-2,True
8,3-2-3-4-5-6-7-2,2-3-2-3-4-5-6-7,8,1,1,8,30240,2-1-1-1-1-1-4-1,True
8,3-2-3-4-5-6-7-8,2-3-4-5-6-7-8-3,8,1,7,6,120960,2-1-1-1-1-1-1-3,True
8,3-4-5-2-3-2-3-2,2-3-2-3-2-3-4-5,8,1,5,12,4320,1-1-3-1-2-1-2-1,True
8,3-4-5-2-3-4-5-2,2-3-4-5,4,2,1,9,14400,1-1-3-1-1-1-3-1,True
8,3-4-5-3-2-3-4-5,2-3-4-5-3-4-5-3,8,1,4,8,21600,1-1-2-2-1-1-1-2,True
8,3-4-5-3-4-5-3-2,2-3-4-5-3-4-5-3,8,1,1,8,21600,1-1-2-1-1-2-2-1,True
8,3-4-5-6-7-2-3-2,2-3-2-3-4-5-6-7,8,1,3,8,30240,1-1-1-1-4-1-2-1,True
8,3-4-5-6-7-4-5-2,2-3-4-5-6-7-4-5,8,1,1,6,100800,1-1-1-1-2-1-3-1,True
8,3-4-5-6-7-8-3-2,2-3-4-5-6-7-8-3,8,1,1,6,120960,1-1-1-1-1-3-2-1,True
8,3-4-5-6-7-8-9-2,2-3-4-5-6-7-8-9,8,1,1,5,362880,1-1-1-1-1-1-5-1,True
8,3-4-5-6-7-8-9-5,3-4-5-6-7-8-9-5,8,1,0,4,907200,1-1-1-1-1-1-2-2,True
8,4-5-2-3-2-3-2-3,2-3-2-3-2-3-4-5,8,1,6,12,4320,1-3-1-2-1-2-1-1,True
8,4-5-2-3-4-5-2-3,2-3-4-5,4,2,2,9,14400,1-3-1-1-1-3-1-1,True
8,4-5-2-3-4-5-6-7,2-3-4-5-6-7-4-5,8,1,6,6,100800,1-3-1-1-1-1-1-2,True
8,4-5-3-2-3-4-5-3,2-3-4-5-3-4-5-3,8,1,5,8,21600,1-2-2-1-1-1-2-1,True
8,4-5-3-4-5-3-2-3,2-3-4-5-3-4-5-3,8,1,2,8,21600,1-2-1-1-2-2-1-1,True
8,4-5-6-7-2-3-2-3,2-3-2-3-4-5-6-7,8,1,4,8,30240,1-1-1-4-1-2-1-1,True
8,4-5-6-7-4-5-2-3,2-3-4-5-6-7-4-5,8,1,2,6,100800,1-1-1-2-1-3-1-1,True
8,4-5-6-7-4-5-6-7,4-5-6-7,4,2,0,4,705600,1-1-1-2-1-1-1-2,True
8,4-5-6-7-8-3-2-3,2-3-4-5-6-7-8-3,8,1,2,6,120960,1-1-1-1-3-2-1-1,True
8,4-5-6-7-8-9-2-3,2-3-4-5-6-7-8-9,8,1,2,5,362880,1-1-1-1-1-5-1-1,True
8,4-5-6-7-8-9-5-3,3-4-5-6-7-8-9-5,8,1,1,4,907200,1-1-1-1-1-2-2-1,True
8,4-5-6-7-8-9-10-11,4-5-6-7-8-9-10-11,8,1,0,3,6652800,1-1-1-1-1-1-1-3,True
8,5-2-3-2-3-2-3-4,2-3-2-3-2-3-4-5,8,1,7,12,4320,3-1-2-1-2-1-1-1,True
8,5-2-3-4-5-2-3-4,2-3-4-5,4,2,3,9,14400,3-1-1-1-3-1-1-1,True
8,5-2-3-4-5-6-7-4,2-3-4-5-6-7-4-5,8,1,7,6,100800,3-1-1-1-1-1-2-1,True
8,5-3-2-3-4-5-3-4,2-3-4-5-3-4-5-3,8,1,6,8,21600,2-2-1-1-1-2-1-1,True
8,5-3-4-5-3-2-3-4,2-3-4-5-3-4-5-3,8,1,3,8,21600,2-1-1-2-2-1-1-1,True
8,5-3-4-5-6-7-8-9,3-4-5-6-7-8-9-5,8,1,7,4,907200,2-1-1-1-1-1-1-2,True
8,5-6-7-2-3-2-3-4,2-3-2-3-4-5-6-7,8,1,5,8,30240,1-1-4-1-2-1-1-1,True
8,5-6-7-4-5-2-3-4,2-3-4-5-6-7-4-5,8,1,3,6,100800,1-1-2-1-3-1-1-1,True
8,5-6-7-4-5-6-7-4,4-5-6-7,4,2,1,4,705600,1-1-2-1-1-1-2-1,True
8,5-6-7-8-3-2-3-4,2-3-4-5-6-7-8-3,8,1,3,6,120960,1-1-1-3-2-1-1-1,True
8,5-6-7-8-9-2-3-4,2-3-4-5-6-7-8-9,8,1,3,5,362880,1-1-1-1-5-1-1-1,True
8,5-6-7-8-9-5-3-4,3-4-5-6-7-8-9-5,8,1,2,4,907200,1-1-1-1-2-2-1-1,True
8,5-6-7-8-9-10-11-4,4-5-6-7-8-9-10-11,8,1,1,3,6652800,1-1-1-1-1-1-3-1,True
8,6-7-2-3-2-3-4-5,2-3-2-3-4-5-6-7,8,1,6,8,30240,1-4-1-2-1-1-1-1,True
8,6-7-4-5-2-3-4-5,2-3-4-5-6-7-4-5,8,1,4,6,100800,1-2-1-3-1-1-1-1,True
8,6-7-4-5-6-7-4-5,4-5-6-7,4,2,2,4,705600,1-2-1-1-1-2-1-1,True
8,6-7-8-3-2-3-4-5,2-3-4-5-6-7-8-3,8,1,4,6,120960,1-1-3-2-1-1-1-1,True
8,6-7-8-9-2-3-4-5,2-3-4-5-6-7-8-9,8,1,4,5,362880,1-1-1-5-1-1-1-1,True
8,6-7-8-9-5-3-4-5,3-4-5-6-7-8-9-5,8,1,3,4,907200,1-1-1-2-2-1-1-1,True
8,6-7-8-9-10-11-4-5,4-5-6-7-8-9-10-11,8,1,2,3,6652800,1-1-1-1-1-3-1-1,True
8,7-2-3-2-3-4-5-6,2-3-2-3-4-5-6-7,8,1,7,8,30240,4-1-2-1-1-1-1-1,True
8,7-4-5-2-3-4-5-6,2-3-4-5-6-7-4-5,8,1,5,6,100800,2-1-3-1-1-1-1-1,True
8,7-4-5-6-7-4-5-6,4-5-6-7,4,2,3,4,705600,2-1-1-1-2-1-1-1,True
8,7-8-3-2-3-4-5-6,2-3-4-5-6-7-8-3,8,1,5,6,120960,1-3-2-1-1-1-1-1,True
8,7-8-9-2-3-4-5-6,2-3-4-5-6-7-8-9,8,1,5,5,362880,1-1-5-1-1-1-1-1,True
8,7-8-9-5-3-4-5-6,3-4-5-6-7-8-9-5,8,1,4,4,907200,1-1-2-2-1-1-1-1,True
8,7-8-9-10-11-4-5-6,4-5-6-7-8-9-10-11,8,1,3,3,6652800,1-1-1-1-3-1-1-1,True
8,8-3-2-3-4-5-6-7,2-3-4-5-6-7-8-3,8,1,6,6,120960,3-2-1-1-1-1-1-1,True
8,8-9-2-3-4-5-6-7,2-3-4-5-6-7-8-9,8,1,6,5,362880,1-5-1-1-1-1-1-1,True
8,8-9-5-3-4-5-6-7,3-4-5-6-7-8-9-5,8,1,5,4,907200,1-2-2-1-1-1-1-1,True
8,8-9-10-11-4-5-6-7,4-5-6-7-8-9-10-11,8,1,4,3,6652800,1-1-1-3-1-1-1-1,True
8,8-9-10-11-12-13-14-15,8-9-10-11-12-13-14-15,8,1,0,2,259459200,1-1-1-1-1-1-1-2,True
8,9-2-3-4-5-6-7-8,2-3-4-5-6-7-8-9,8,1,7,5,362880,5-1-1-1-1-1-1-1,True
8,9-5-3-4-5-6-7-8,3-4-5-6-7-8-9-5,8,1,6,4,907200,2-2-1-1-1-1-1-1,True
8,9-10-11-4-5-6-7-8,4-5-6-7-8-9-10-11,8,1,5,3,6652800,1-1-3-1-1-1-1-1,True
8,9-10-11-12-13-14-15-8,8-9-10-11-12-13-14-15,8,1,1,2,259459200,1-1-1-1-1-1-2-1,True
8,10-11-4-5-6-7-8-9,4-5-6-7-8-9-10-11,8,1,6,3,6652800,1-3-1-1-1-1-1-1,True
8,10-11-12-13-14-15-8-9,8-9-10-11-12-13-14-15,8,1,2,2,259459200,1-1-1-1-1-2-1-1,True
8,11-4-5-6-7-8-9-10,4-5-6-7-8-9-10-11,8,1,7,3,6652800,3-1-1-1-1-1-1-1,True
8,11-12-13-14-15-8-9-10,8-9-10-11-12-13-14-15,8,1,3,2,259459200,1-1-1-1-2-1-1-1,True
8,12-13-14-15-8-9-10-11,8-9-10-11-12-13-14-15,8,1,4,2,259459200,1-1-1-2-1-1-1-1,True
8,13-14-15-8-9-10-11-12,8-9-10-11-12-13-14-15,8,1,5,2,259459200,1-1-2-1-1-1-1-1,True
8,14-15-8-9-10-11-12-13,8-9-10-11-12-13-14-15,8,1,6,2,259459200,1-2-1-1-1-1-1-1,True
8,15-8-9-10-11-12-13-14,8-9-10-11-12-13-14-15,8,1,7,2,259459200,2-1-1-1-1-1-1-1,True
