power,rooted_word,primitive_root,primitive_period,repetition,rotation_index,holonomy,mass,cofactor_word,rotation_repetition_match
2,2-3,2-3,2,1,0,2,6,1-2,True
2,3-2,2-3,2,1,1,2,6,2-1,True
3,3-4-5,3-4-5,3,1,0,2,60,1-1-2,True
3,4-5-3,3-4-5,3,1,1,2,60,1-2-1,True
3,5-3-4,3-4-5,3,1,2,2,60,2-1-1,True
4,2-3-2-3,2-3,2,2,0,4,36,1-2-1-2,True
4,2-3-4-5,2-3-4-5,4,1,0,3,120,1-1-1-3,True
4,3-2-3-2,2-3,2,2,1,4,36,2-1-2-1,True
4,3-4-5-2,2-3-4-5,4,1,1,3,120,1-1-3-1,True
4,4-5-2-3,2-3-4-5,4,1,2,3,120,1-3-1-1,True
4,4-5-6-7,4-5-6-7,4,1,0,2,840,1-1-1-2,True
4,5-2-3-4,2-3-4-5,4,1,3,3,120,3-1-1-1,True
4,5-6-7-4,4-5-6-7,4,1,1,2,840,1-1-2-1,True
4,6-7-4-5,4-5-6-7,4,1,2,2,840,1-2-1-1,True
4,7-4-5-6,4-5-6-7,4,1,3,2,840,2-1-1-1,True
5,2-3-4-5-3,2-3-4-5-3,5,1,0,4,360,1-1-1-2-2,True
5,3-2-3-4-5,2-3-4-5-3,5,1,4,4,360,2-1-1-1-2,True
5,3-4-5-3-2,2-3-4-5-3,5,1,1,4,360,1-1-2-2-1,True
5,4-5-3-2-3,2-3-4-5-3,5,1,2,4,360,1-2-2-1-1,True
5,5-3-2-3-4,2-3-4-5-3,5,1,3,4,360,2-2-1-1-1,True
5,5-6-7-8-9,5-6-7-8-9,5,1,0,2,15120,1-1-1-1-2,True
5,6-7-8-9-5,5-6-7-8-9,5,1,1,2,15120,1-1-1-2-1,True
5,7-8-9-5-6,5-6-7-8-9,5,1,2,2,15120,1-1-2-1-1,True
5,8-9-5-6-7,5-6-7-8-9,5,1,3,2,15120,1-2-1-1-1,True
5,9-5-6-7-8,5-6-7-8-9,5,1,4,2,15120,2-1-1-1-1,True
6,2-3-2-3-2-3,2-3,2,3,0,8,216,1-2-1-2-1-2,True
6,2-3-2-3-4-5,2-3-2-3-4-5,6,1,0,6,720,1-2-1-1-1-3,True
6,2-3-4-5-2-3,2-3-2-3-4-5,6,1,2,6,720,1-1-1-3-1-2,True
6,2-3-4-5-6-7,2-3-4-5-6-7,6,1,0,4,5040,1-1-1-1-1-4,True
6,3-2-3-2-3-2,2-3,2,3,1,8,216,2-1-2-1-2-1,True
6,3-2-3-4-5-2,2-3-2-3-4-5,6,1,1,6,720,2-1-1-1-3-1,True
6,3-4-5-2-3-2,2-3-2-3-4-5,6,1,3,6,720,1-1-3-1-2-1,True
6,3-4-5-3-4-5,3-4-5,3,2,0,4,3600,1-1-2-1-1-2,True
6,3-4-5-6-7-2,2-3-4-5-6-7,6,1,1,4,5040,1-1-1-1-4-1,True
6,3-4-5-6-7-8,3-4-5-6-7-8,6,1,0,3,20160,1-1-1-1-1-3,True
6,4-5-2-3-2-3,2-3-2-3-4-5,6,1,4,6,720,1-3-1-2-1-1,True
6,4-5-3-4-5-3,3-4-5,3,2,1,4,3600,1-2-1-1-2-1,True
6,4-5-6-7-2-3,2-3-4-5-6-7,6,1,2,4,5040,1-1-1-4-1-1,True
6,4-5-6-7-8-3,3-4-5-6-7-8,6,1,1,3,20160,1-1-1-1-3-1,True
6,5-2-3-2-3-4,2-3-2-3-4-5,6,1,5,6,720,3-1-2-1-1-1,True
6,5-3-4-5-3-4,3-4-5,3,2,2,4,3600,2-1-1-2-1-1,True
6,5-6-7-2-3-4,2-3-4-5-6-7,6,1,3,4,5040,1-1-4-1-1-1,True
6,5-6-7-8-3-4,3-4-5-6-7-8,6,1,2,3,20160,1-1-1-3-1-1,True
6,6-7-2-3-4-5,2-3-4-5-6-7,6,1,4,4,5040,1-4-1-1-1-1,True
6,6-7-8-3-4-5,3-4-5-6-7-8,6,1,3,3,20160,1-1-3-1-1-1,True
6,6-7-8-9-10-11,6-7-8-9-10-11,6,1,0,2,332640,1-1-1-1-1-2,True
6,7-2-3-4-5-6,2-3-4-5-6-7,6,1,5,4,5040,4-1-1-1-1-1,True
6,7-8-3-4-5-6,3-4-5-6-7-8,6,1,4,3,20160,1-3-1-1-1-1,True
6,7-8-9-10-11-6,6-7-8-9-10-11,6,1,1,2,332640,1-1-1-1-2-1,True
6,8-3-4-5-6-7,3-4-5-6-7-8,6,1,5,3,20160,3-1-1-1-1-1,True
6,8-9-10-11-6-7,6-7-8-9-10-11,6,1,2,2,332640,1-1-1-2-1-1,True
6,9-10-11-6-7-8,6-7-8-9-10-11,6,1,3,2,332640,1-1-2-1-1-1,True
