k,sigma,log_mass,log_weight,weight,strictly_decreasing
2,0.6,1.7917594692280554,-2.1501113630736666,0.1164711864619298,True
3,0.6,4.0943445622221013,-4.913213474666521,0.0073488350518476691,True
4,0.6,6.7334018918373593,-8.0800822702048301,0.00030964555976707031,True
5,0.6,9.623773649733522,-11.548528379680226,9.6502341401453832e-06,True
6,0.6,12.71481610309184,-15.257779323710206,2.3639083440697413e-07,True
7,0.6,15.972912641113318,-19.167495169335982,4.7387371094898114e-09,True
8,0.6,19.374110022775476,-23.248932027330572,8.0004996469950564e-11,True
9,0.6,22.900470547391642,-27.480564656869969,1.1623646935482743e-12,True
10,0.6,26.538056707118027,-31.845668048541633,1.4777538312974423e-14,True
11,0.6,30.275726325401394,-36.330871590481671,1.6661072166780864e-16,True
12,0.6,34.10436772189049,-40.925241266268586,1.6841995520205133e-18,True
13,0.6,38.016390727318637,-45.619668872782363,1.5403859271854384e-20,True
14,0.6,42.00537477388292,-50.406449728659503,1.2845677972389063e-22,True
15,0.6,46.065817784429314,-55.278981341315173,9.8320355060927263e-25,True
16,0.6,50.192952169474417,-60.231542603369299,6.9466178960478648e-27,True
17,0.6,54.382606911500844,-65.259128293801012,4.5532415279112771e-29,True
18,0.6,58.631102153550202,-70.357322584260245,2.7810131355376182e-31,True
19,0.6,62.935167246754375,-75.522200696105244,1.5890039488982211e-33,True
20,0.6,67.291876073443973,-80.750251288132759,8.5233721914511454e-36,True
21,0.6,71.698595320708208,-86.038314384849841,4.3056114009571029e-38,True
22,0.6,76.152942616961724,-91.383531140354066,2.0541714502246611e-40,True
23,0.6,80.652752287292003,-96.783302744750401,9.2799508829037995e-43,True
24,0.6,85.196047069561985,-102.23525648347437,3.9791677972234574e-45,True
25,0.6,89.781014548232577,-107.73721745787908,1.6230091282785435e-47,True
26,0.6,94.405987361516793,-113.28718483382015,6.3095844328509916e-50,True
27,0.6,99.0694264556289,-118.88331174675467,2.3422525368608306e-52,True
28,0.6,103.76990682142132,-124.52388818570557,8.3169194592305718e-55,True
29,0.6,108.50610526981585,-130.207326323779,2.829284850966196e-57,True
30,0.6,113.27678989428148,-135.93214787313778,9.2346037610052612e-60,True
31,0.6,118.08081093901473,-141.69697312681765,2.895919388904937e-62,True
32,0.6,122.91709284596621,-147.50051141515945,8.7365871702314331e-65,True
33,0.6,127.78462729642182,-153.34155275570618,2.5386906979867612e-67,True
34,0.6,132.68246709637268,-159.21896051564721,7.1135114301723508e-70,True
35,0.6,137.60972078152992,-165.13166493783589,1.9241066031195515e-72,True
36,0.6,142.56554783913117,-171.0786574069574,5.0290171509619964e-75,True
37,0.6,147.54915446083956,-177.05898535300747,1.2713340821793078e-77,True
38,0.6,152.55978975493574,-183.07174770592289,3.1113593900540582e-80,True
39,0.6,157.5967423573494,-189.11609082881927,7.3777734288767946e-83,True
40,0.6,162.65933739037635,-195.19120486845162,1.6964333811104381e-85,True
41,0.6,167.74693372560876,-201.29632047073051,3.7854611389540971e-88,True
42,0.6,172.8589215139653,-207.43070581675835,8.2033092973143913e-91,True
43,0.6,177.99471995101553,-213.59366394121864,1.7276285835913043e-93,True
44,0.6,183.15377525023001,-219.784530300276,3.538272547642753e-96,True
45,0.6,188.33555880052216,-226.0026705606266,7.0515936842688347e-99,True
46,0.6,193.53956548759905,-232.24747858511884,1.3683639200896954e-101,True
47,0.6,198.76531216131215,-238.51837459357458,2.5869383644303511e-104,True
48,0.6,204.01233623347261,-244.81480348016711,4.7674018463060698e-107,True
49,0.6,209.280194392536,-251.13623327104318,8.5687936490953703e-110,True
50,0.6,214.5684614232305,-257.48215370787659,1.5028701414287749e-112,True
51,0.6,219.87672912063169,-263.85207494475804,2.5733556550088965e-115,True
52,0.6,225.20460528942129,-270.24552634730554,4.303870034643982e-118,True
53,0.6,230.55171282013876,-276.66205538416648,7.0338968405433583e-121,True
54,0.6,235.91768883516059,-283.1012266021927,1.1238270124073166e-123,True
55,0.6,241.3021838979497,-289.56262067753966,1.7561098315716853e-126,True
56,0.6,246.70486127982198,-296.04583353578636,2.6848999385859718e-129,True
57,0.6,252.12539627909428,-302.55047553491312,4.0178894016851991e-132,True
58,0.6,257.56347558801747,-309.07617070562094,5.8874139797358885e-135,True
59,0.6,263.01879670337519,-315.62255604405021,8.4501719403129147e-138,True
60,0.6,268.4910673770467,-322.18928085245602,1.1884288809713951e-140,True
61,0.6,273.98000510320333,-328.77600612384396,1.6383050057685781e-143,True
62,0.6,279.48533663913565,-335.38240396696278,2.2144844227895899e-146,True
63,0.6,285.00679755699798,-342.00815706839757,2.9359227165804578e-149,True
64,0.6,290.54413182401652,-348.65295818881981,3.8189516442494141e-152,True
