cutoff,cycle,length,cofactor_word,holonomy,telescoped,integer_ge_two,q2_canonical
12,2-3,2,1-2,2,2,True,True
12,3-4-5,3,1-1-2,2,2,True,True
12,2-3-4-5,4,1-1-1-3,3,3,True,True
12,4-5-6-7,4,1-1-1-2,2,2,True,True
12,5-6-7-8-9,5,1-1-1-1-2,2,2,True,True
12,2-3-4-5-6-7,6,1-1-1-1-1-4,4,4,True,True
12,3-4-5-6-7-8,6,1-1-1-1-1-3,3,3,True,True
12,6-7-8-9-10-11,6,1-1-1-1-1-2,2,2,True,True
12,2-3-4-5-6-7-8-9,8,1-1-1-1-1-1-1-5,5,5,True,True
12,4-5-6-7-8-9-10-11,8,1-1-1-1-1-1-1-3,3,3,True,True
12,3-4-5-6-7-8-9-10-11,9,1-1-1-1-1-1-1-1-4,4,4,True,True
12,2-3-4-5-6-7-8-9-10-11,10,1-1-1-1-1-1-1-1-1-6,6,6,True,True
20,2-3,2,1-2,2,2,True,True
20,3-4-5,3,1-1-2,2,2,True,True
20,2-3-4-5,4,1-1-1-3,3,3,True,True
20,4-5-6-7,4,1-1-1-2,2,2,True,True
20,5-6-7-8-9,5,1-1-1-1-2,2,2,True,True
20,2-3-4-5-6-7,6,1-1-1-1-1-4,4,4,True,True
20,3-4-5-6-7-8,6,1-1-1-1-1-3,3,3,True,True
20,6-7-8-9-10-11,6,1-1-1-1-1-2,2,2,True,True
20,7-8-9-10-11-12-13,7,1-1-1-1-1-1-2,2,2,True,True
20,2-3-4-5-6-7-8-9,8,1-1-1-1-1-1-1-5,5,5,True,True
20,4-5-6-7-8-9-10-11,8,1-1-1-1-1-1-1-3,3,3,True,True
20,8-9-10-11-12-13-14-15,8,1-1-1-1-1-1-1-2,2,2,True,True
20,3-4-5-6-7-8-9-10-11,9,1-1-1-1-1-1-1-1-4,4,4,True,True
20,9-10-11-12-13-14-15-16-17,9,1-1-1-1-1-1-1-1-2,2,2,True,True
20,2-3-4-5-6-7-8-9-10-11,10,1-1-1-1-1-1-1-1-1-6,6,6,True,True
20,5-6-7-8-9-10-11-12-13-14,10,1-1-1-1-1-1-1-1-1-3,3,3,True,True
20,10-11-12-13-14-15-16-17-18-19,10,1-1-1-1-1-1-1-1-1-2,2,2,True,True
20,2-3-4-5-6-7-8-9-10-11-12-13,12,1-1-1-1-1-1-1-1-1-1-1-7,7,7,True,True
20,3-4-5-6-7-8-9-10-11-12-13-14,12,1-1-1-1-1-1-1-1-1-1-1-5,5,5,True,True
20,4-5-6-7-8-9-10-11-12-13-14-15,12,1-1-1-1-1-1-1-1-1-1-1-4,4,4,True,True
20,6-7-8-9-10-11-12-13-14-15-16-17,12,1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
20,2-3-4-5-6-7-8-9-10-11-12-13-14-15,14,1-1-1-1-1-1-1-1-1-1-1-1-1-8,8,8,True,True
20,7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,1-1-1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
20,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-6,6,6,True,True
20,5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-4,4,4,True,True
20,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,16,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-9,9,9,True,True
20,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,16,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-5,5,5,True,True
20,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,18,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10,10,10,True,True
20,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,18,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-7,7,7,True,True
30,2-3,2,1-2,2,2,True,True
30,3-4-5,3,1-1-2,2,2,True,True
30,2-3-4-5,4,1-1-1-3,3,3,True,True
30,4-5-6-7,4,1-1-1-2,2,2,True,True
30,5-6-7-8-9,5,1-1-1-1-2,2,2,True,True
30,2-3-4-5-6-7,6,1-1-1-1-1-4,4,4,True,True
30,3-4-5-6-7-8,6,1-1-1-1-1-3,3,3,True,True
30,6-7-8-9-10-11,6,1-1-1-1-1-2,2,2,True,True
30,7-8-9-10-11-12-13,7,1-1-1-1-1-1-2,2,2,True,True
30,2-3-4-5-6-7-8-9,8,1-1-1-1-1-1-1-5,5,5,True,True
30,4-5-6-7-8-9-10-11,8,1-1-1-1-1-1-1-3,3,3,True,True
30,8-9-10-11-12-13-14-15,8,1-1-1-1-1-1-1-2,2,2,True,True
30,3-4-5-6-7-8-9-10-11,9,1-1-1-1-1-1-1-1-4,4,4,True,True
30,9-10-11-12-13-14-15-16-17,9,1-1-1-1-1-1-1-1-2,2,2,True,True
30,2-3-4-5-6-7-8-9-10-11,10,1-1-1-1-1-1-1-1-1-6,6,6,True,True
30,5-6-7-8-9-10-11-12-13-14,10,1-1-1-1-1-1-1-1-1-3,3,3,True,True
30,10-11-12-13-14-15-16-17-18-19,10,1-1-1-1-1-1-1-1-1-2,2,2,True,True
