z,u_integer,max_k,partial,infinite_closed_form,convergent,at_z1_nondecaying_term
1/2,1,8,127/512,1/4,True,False
1/2,1,16,32767/131072,1/4,True,False
1/2,1,32,2147483647/8589934592,1/4,True,False
3/4,1,8,127773/131072,9/8,True,False
3/4,1,16,9534536253/8589934592,9/8,True,False
3/4,1,32,41499615105279935613/36893488147419103232,9/8,True,False
1,1,8,7/2,diverges,False,True
1,1,16,15/2,diverges,False,True
1,1,32,31/2,diverges,False,True
