power,s_integer,holonomy,coefficient,numerator,denominator,neutral
1,1,0,0,0,1,False
2,1,2,1/18,1,18,False
3,1,2,1/1200,1,1200,False
4,1,2,1/176400,1,176400,False
4,1,3,1/3600,1,3600,False
4,1,4,1/648,1,648,False
5,1,2,1/45722880,1,45722880,False
5,1,4,1/25920,1,25920,False
6,1,2,1/18441561600,1,18441561600,False
6,1,3,1/67737600,1,67737600,False
6,1,4,11/23520000,11,23520000,False
6,1,6,1/86400,1,86400,False
6,1,8,1/23328,1,23328,False
7,1,2,1/10685567692800,1,10685567692800,False
7,1,4,1/362880000,1,362880000,False
7,1,6,7/51840000,7,51840000,False
7,1,8,7/4665600,7,4665600,False
8,1,2,1/8414884558080000,1,8414884558080000,False
8,1,3,1/5532468480000,1,5532468480000,False
8,1,4,179/10081895040000,179,10081895040000,False
8,1,5,1/16460236800,1,16460236800,False
8,1,6,61/45722880000,61,45722880000,False
8,1,8,37/1428840000,37,1428840000,False
8,1,9,1/51840000,1,51840000,False
8,1,12,1/2332800,1,2332800,False
8,1,16,1/839808,1,839808,False
9,1,2,1/8646761377013760000,1,8646761377013760000,False
9,1,4,17/216872764416000,17,216872764416000,False
9,1,6,13/1463132160000,13,1463132160000,False
9,1,8,199/762048000000,199,762048000000,False
9,1,12,1/103680000,1,103680000,False
9,1,16,1/18662400,1,18662400,False
10,1,2,1/11237331085567082496000,1,11237331085567082496000,False
10,1,3,1/1319453898706944000,1,1319453898706944000,False
10,1,4,283/1264801962074112000,283,1264801962074112000,False
10,1,6,257/6245935615180800,257,6245935615180800,False
10,1,8,7219/3629482214400000,7219,3629482214400000,False
10,1,9,1/585252864000,1,585252864000,False
10,1,10,1/474054819840,1,474054819840,False
10,1,12,4189/32920473600000,4189,32920473600000,False
10,1,16,197/164602368000,197,164602368000,False
10,1,18,1/746496000,1,746496000,False
10,1,24,1/67184640,1,67184640,False
10,1,32,1/30233088,1,30233088,False
1,2,0,0,0,1,False
2,2,2,1/648,1,648,False
3,2,2,1/4320000,1,4320000,False
4,2,2,1/124467840000,1,124467840000,False
4,2,3,1/51840000,1,51840000,False
4,2,4,1/839808,1,839808,False
5,2,2,1/10452908777472000,1,10452908777472000,False
5,2,4,1/3359232000,1,3359232000,False
6,2,2,1/2040547165479567360000,1,2040547165479567360000,False
6,2,3,1/27530294722560000,1,27530294722560000,False
6,2,4,1217/44808422400000000,1217,44808422400000000,False
6,2,6,1/44789760000,1,44789760000,False
6,2,8,1/1088391168,1,1088391168,False
7,2,2,1/799269498421877806202880000,1,799269498421877806202880000,False
7,2,4,1/921773260800000000,1,921773260800000000,False
7,2,6,7/2687385600000000,7,2687385600000000,False
7,2,8,7/21767823360000,7,21767823360000,False
8,2,2,1/566482257006505895146291200000000,1,566482257006505895146291200000000,False
8,2,3,1/244865659857548083200000000,1,244865659857548083200000000,False
8,2,4,11363/406578430390306406400000000,11363,406578430390306406400000000,False
8,2,5,1/2167515164096593920000,1,2167515164096593920000,False
8,2,6,1921/16724654043955200000000,1921,16724654043955200000000,False
8,2,8,1513/32665339929600000000,1513,32665339929600000000,False
8,2,9,1/10749542400000000,1,10749542400000000,False
8,2,12,1/43535646720000,1,43535646720000,False
8,2,16,1/1410554953728,1,1410554953728,False
9,2,2,1/672898340799152055018857064038400000000,1,672898340799152055018857064038400000000,False
9,2,4,8521/21165208175447026119475200000000,8521,21165208175447026119475200000000,False
9,2,6,97/19266801458636390400000000,97,19266801458636390400000000,False
9,2,8,6151/1742151462912000000000000,6151,1742151462912000000000000,False
9,2,12,1/193491763200000000,1,193491763200000000,False
9,2,16,1/3134566563840000,1,3134566563840000,False
10,2,2,1/1262776099266522647454419588772695900160000000,1,1262776099266522647454419588772695900160000000,False
10,2,3,1/17409585908129544374351938191360000000,1,17409585908129544374351938191360000000,False
10,2,4,27763/7998620016332617250104902942720000000,27763,7998620016332617250104902942720000000,False
10,2,6,1224337/9752927927245989635854172160000000,1224337,9752927927245989635854172160000000,False
10,2,8,21354211/131731411446459275673600000000000,21354211,131731411446459275673600000000000,False
10,2,9,1/3425209148202024960000000,1,3425209148202024960000000,False
10,2,10,1/2247279722135348576256000,1,2247279722135348576256000,False
10,2,12,5122321/10837575820482969600000000000,5122321,10837575820482969600000000000,False
10,2,16,8453/135469697756037120000000,8453,135469697756037120000000,False
10,2,18,1/5572562780160000000,1,5572562780160000000,False
10,2,24,1/45137758519296000,1,45137758519296000,False
10,2,32,1/1828079220031488,1,1828079220031488,False
