point,sigma,a,cutoff,row_nuclear_prefix,fixed_row_3_squared_prefix,successor_trace_prefix,declared_class,theorem_class,classification_match,trace_class_iff,finite_prefix_is_proof
0,0.6,0.0,32,3.0141978440976427,0.28252500032608374,1.8719142331250214,trace_class,trace_class,True,True,False
0,0.6,0.0,64,3.6660818907871988,0.30559004194743317,2.1869438084959922,trace_class,trace_class,True,True,False
0,0.6,0.0,128,4.289070931866557,0.3257157430031678,2.464884411826489,trace_class,trace_class,True,True,False
0,0.6,0.0,256,4.8784663673436039,0.34325626161100653,2.708484538455378,trace_class,trace_class,True,True,False
0,0.6,0.0,512,5.4312168392965443,0.35853488175342429,2.921271215142986,trace_class,trace_class,True,True,False
0,0.6,0.0,1024,5.9434921032987535,0.37183947906106263,3.1068279405543353,trace_class,trace_class,True,True,False
0,0.6,0.0,2048,6.4175651119435475,0.38342345033568404,3.268501979398263,trace_class,trace_class,True,True,False
1,0.51,0.01,32,4.2909343322301616,0.48554250212519479,2.693615333410087,trace_class,trace_class,True,True,False
1,0.51,0.01,64,5.5381175954219595,0.54856624987931346,3.3214579523393994,trace_class,trace_class,True,True,False
1,0.51,0.01,128,6.8718148989034358,0.6099930155603086,3.947683425303508,trace_class,trace_class,True,True,False
1,0.51,0.01,256,8.2832511327401459,0.66980121754664312,4.5688158425874663,trace_class,trace_class,True,True,False
1,0.51,0.01,512,9.7642753560701046,0.72800362309853262,5.1831528540498457,trace_class,trace_class,True,True,False
1,0.51,0.01,1024,11.300205561915348,0.78462888686851762,5.7899019654970383,trace_class,trace_class,True,True,False
1,0.51,0.01,2048,12.890270998052831,0.83971273115317924,6.3887277144268131,trace_class,trace_class,True,True,False
2,0.6,-0.2,32,3.4915708962069814,0.47143997962531664,1.8719142331250214,unbounded_fixed_row,unbounded_fixed_row,True,False,False
2,0.6,-0.2,64,4.4242994741277322,0.57790186491962448,2.1869438084959922,unbounded_fixed_row,unbounded_fixed_row,True,False,False
2,0.6,-0.2,128,5.4115700074976569,0.70019888954032061,2.464884411826489,unbounded_fixed_row,unbounded_fixed_row,True,False,False
2,0.6,-0.2,256,6.4531229344671042,0.84068255640507661,2.708484538455378,unbounded_fixed_row,unbounded_fixed_row,True,False,False
2,0.6,-0.2,512,7.5490505986795577,1.0020562802574853,2.921271215142986,unbounded_fixed_row,unbounded_fixed_row,True,False,False
2,0.6,-0.2,1024,8.6930901120156481,1.1874261167881699,3.1068279405543353,unbounded_fixed_row,unbounded_fixed_row,True,False,False
2,0.6,-0.2,2048,9.893306384700491,1.4003601733542603,3.268501979398263,unbounded_fixed_row,unbounded_fixed_row,True,False,False
3,0.49,0.2,32,4.1783590417140886,0.36766375215145636,2.9288609394307117,not_trace_class_successor,not_trace_class_successor,True,False,False
3,0.49,0.2,64,5.3381670815690399,0.38646309324771311,3.6608073946825517,not_trace_class_successor,not_trace_class_successor,True,False,False
3,0.49,0.2,128,6.5543690430039883,0.40096980155663198,4.4110483764128237,not_trace_class_successor,not_trace_class_successor,True,False,False
3,0.49,0.2,256,7.8177703274895798,0.41214057586402514,5.1759307463062587,not_trace_class_successor,not_trace_class_successor,True,False,False
3,0.49,0.2,512,9.1229108127376328,0.4207335599479155,5.9536228511491283,not_trace_class_successor,not_trace_class_successor,True,False,False
3,0.49,0.2,1024,10.46073149020124,0.42734016703493893,6.7432570940875909,not_trace_class_successor,not_trace_class_successor,True,False,False
3,0.49,0.2,2048,11.830901672891658,0.43241825204225659,7.5444660270717039,not_trace_class_successor,not_trace_class_successor,True,False,False
4,0.75,-0.2,32,1.982193824212565,0.17323144040801414,1.0681772614987251,trace_class,trace_class,True,True,False
4,0.75,-0.2,64,2.3017336083448154,0.19074852566785036,1.1682647350831215,trace_class,trace_class,True,True,False
4,0.75,-0.2,128,2.5854526519875733,0.20710260822954982,1.2402443238123106,trace_class,trace_class,True,True,False
4,0.75,-0.2,256,2.8374765488127971,0.22236601461601641,1.2915779870967445,trace_class,trace_class,True,True,False
4,0.75,-0.2,512,3.0614705492523449,0.23660933538783396,1.3280324119776221,trace_class,trace_class,True,True,False
4,0.75,-0.2,1024,3.2596464139758252,0.24989977388670881,1.3538650660853144,trace_class,trace_class,True,True,False
4,0.75,-0.2,2048,3.4364339097302206,0.2623006324144197,1.3721511829660034,trace_class,trace_class,True,True,False
5,0.0,1.5,32,31.522881147369116,1.2015836423576123,31,bounded_control_noncompact,not_trace_class_successor,True,False,False
5,0.0,1.5,64,64.779709383999887,1.2019367252957782,63,bounded_control_noncompact,not_trace_class_successor,True,False,False
5,0.0,1.5,128,131.31963947532404,1.2020266230687449,127,bounded_control_noncompact,not_trace_class_successor,True,False,False
5,0.0,1.5,256,264.37083882593089,1.2020493035091782,255,bounded_control_noncompact,not_trace_class_successor,True,False,False
5,0.0,1.5,512,530.50743721926756,1.2020549995326137,511,bounded_control_noncompact,not_trace_class_successor,True,False,False
5,0.0,1.5,1024,1062.744810565805,1.2020564267878699,1023,bounded_control_noncompact,not_trace_class_successor,True,False,False
5,0.0,1.5,2048,2127.2498832030387,1.2020567840084981,2047,bounded_control_noncompact,not_trace_class_successor,True,False,False
6,0.5,0.25,32,3.9154099507837348,0.32118475891555315,2.8084101920817708,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
6,0.5,0.25,64,4.9437046624382202,0.33258052782632991,3.4863040982988056,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
6,0.5,0.25,128,5.9998362978443129,0.34067749064655034,4.1717329116736979,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
6,0.5,0.25,256,7.0751876288258142,0.34641668069349391,4.86099752870446,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
6,0.5,0.25,512,8.1651828544750416,0.35047977121006074,5.5521975252385412,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
6,0.5,0.25,1024,9.2627486399854835,0.35335453212921542,6.2443696309741057,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
6,0.5,0.25,2048,10.367504496628472,0.35538790393464126,6.9370289025077545,not_trace_class_successor_boundary,not_trace_class_successor,True,False,False
7,0.75,-0.25,32,2.0632309354556888,0.19454509117538832,1.0681772614987251,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
7,0.75,-0.25,64,2.4227868558301666,0.22021552001364236,1.1682647350831215,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
7,0.75,-0.25,128,2.7545853739158903,0.24588721474235709,1.2402443238123106,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
7,0.75,-0.25,256,3.0618748842630259,0.27155922667384874,1.2915779870967445,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
7,0.75,-0.25,512,3.3475965495945177,0.29723131799342317,1.3280324119776221,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
7,0.75,-0.25,1024,3.6126724357111715,0.32290342917069731,1.3538650660853144,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
7,0.75,-0.25,2048,3.8612003538074897,0.34857554531371587,1.3721511829660034,unbounded_fixed_row_boundary,unbounded_fixed_row,True,False,False
