k,s_integer,u_integer,z,mass,coefficient,pure_at_z1_constant,factorial_damping
2,0,1,1,6,1/2,True,False
2,0,1,1/2,6,1/8,False,False
2,1,1,1,6,1/72,False,True
2,1,1,1/2,6,1/288,False,True
3,0,1,1,60,1/2,True,False
3,0,1,1/2,60,1/16,False,False
3,1,1,1,60,1/7200,False,True
3,1,1,1/2,60,1/57600,False,True
4,0,1,1,840,1/2,True,False
4,0,1,1/2,840,1/32,False,False
4,1,1,1,840,1/1411200,False,True
4,1,1,1/2,840,1/22579200,False,True
5,0,1,1,15120,1/2,True,False
5,0,1,1/2,15120,1/64,False,False
5,1,1,1,15120,1/457228800,False,True
5,1,1,1/2,15120,1/14631321600,False,True
6,0,1,1,332640,1/2,True,False
6,0,1,1/2,332640,1/128,False,False
6,1,1,1,332640,1/221298739200,False,True
6,1,1,1/2,332640,1/14163119308800,False,True
7,0,1,1,8648640,1/2,True,False
7,0,1,1/2,8648640,1/256,False,False
7,1,1,1,8648640,1/149597947699200,False,True
7,1,1,1/2,8648640,1/19148537305497600,False,True
8,0,1,1,259459200,1/2,True,False
8,0,1,1/2,259459200,1/512,False,False
8,1,1,1,259459200,1/134638152929280000,False,True
8,1,1,1/2,259459200,1/34467367149895680000,False,True
9,0,1,1,8821612800,1/2,True,False
9,0,1,1/2,8821612800,1/1024,False,False
9,1,1,1,8821612800,1/155641704786247680000,False,True
9,1,1,1/2,8821612800,1/79688552850558812160000,False,True
10,0,1,1,335221286400,1/2,True,False
10,0,1,1/2,335221286400,1/2048,False,False
10,1,1,1,335221286400,1/224746621711341649920000,False,True
10,1,1,1/2,335221286400,1/230140540632413849518080000,False,True
11,0,1,1,14079294028800,1/2,True,False
11,0,1,1/2,14079294028800,1/4096,False,False
11,1,1,1,14079294028800,1/396453040698806670458880000,False,True
11,1,1,1/2,14079294028800,1/811935827351156061099786240000,False,True
12,0,1,1,647647525324800,1/2,True,False
12,0,1,1/2,647647525324800,1/8192,False,False
12,1,1,1,647647525324800,1/838894634118674914690990080000,False,True
12,1,1,1/2,647647525324800,1/3436112421350092450574295367680000,False,True
13,0,1,1,32382376266240000,1/2,True,False
13,0,1,1/2,32382376266240000,1/16384,False,False
13,1,1,1,32382376266240000,1/2097236585296687286727475200000000,False,True
13,1,1,1/2,32382376266240000,1/17180562106750462252871476838400000000,False,True
14,0,1,1,1748648318376960000,1/2,True,False
14,0,1,1/2,1748648318376960000,1/32768,False,False
14,1,1,1,1748648318376960000,1/6115541882725140128097317683200000000,False,True
14,1,1,1/2,1748648318376960000,1/100197038206568695858746452921548800000000,False,True
15,0,1,1,101421602465863680000,1/2,True,False
15,0,1,1/2,101421602465863680000,1/65536,False,False
15,1,1,1,101421602465863680000,1/20572682893487371390919376686284800000000,False,True
15,1,1,1/2,101421602465863680000,1/674125673053794185737646135256180326400000000,False,True
16,0,1,1,6288139352883548160000,1/2,True,False
16,0,1,1/2,6288139352883548160000,1/131072,False,False
16,1,1,1,6288139352883548160000,1/79081393042565455626694083982078771200000000,False,True
16,1,1,1/2,6288139352883548160000,1/5182678174437569699951023487849514349363200000000,False,True
17,0,1,1,415017197290314178560000,1/2,True,False
17,0,1,1/2,415017197290314178560000,1/262144,False,False
17,1,1,1,415017197290314178560000,1/344478548093415124709879429825935127347200000000,False,True
17,1,1,1/2,415017197290314178560000,1/45151492255700107225973316626144969011652198400000000,False,True
18,0,1,1,29051203810321992499200000,1/2,True,False
18,0,1,1/2,29051203810321992499200000,1/524288,False,False
18,1,1,1,29051203810321992499200000,1/1687944885657734111078409206147082124001280000000000,False,True
18,1,1,1/2,29051203810321992499200000,1/442484624105861050814538502936220696314191544320000000000,False,True
19,0,1,1,2149789081963827444940800000,1/2,True,False
19,0,1,1/2,2149789081963827444940800000,1/1048576,False,False
19,1,1,1,2149789081963827444940800000,1/9243186193861751992265368812861421711031009280000000000,False,True
19,1,1,1/2,2149789081963827444940800000,1/4846091603207390228520825684157489066033025793392640000000000,False,True
20,0,1,1,167683548393178540705382400000,1/2,True,False
20,0,1,1/2,167683548393178540705382400000,1/2097152,False,False
20,1,1,1,167683548393178540705382400000,1/56235544803454899120942503857448889689912660459520000000000,False,True
20,1,1,1/2,167683548393178540705382400000,1/58967242627827524300641406924828326955489857854001643520000000000,False,True
21,0,1,1,13750050968240640337841356800000,1/2,True,False
21,0,1,1/2,13750050968240640337841356800000,1/4194304,False,False
21,1,1,1,13750050968240640337841356800000,1/378127803258430741689217395937486334274972728929812480000000000,False,True
21,1,1,1/2,13750050968240640337841356800000,1/792991478859024546795025640325091340897427608420614102056960000000000,False,True
22,0,1,1,1182504383268695069054356684800000,1/2,True,False
22,0,1,1/2,1182504383268695069054356684800000,1/8388608,False,False
22,1,1,1,1182504383268695069054356684800000,1/2796633232899353765533451860353648928297698303164893102080000000000,False,True
22,1,1,1/2,1182504383268695069054356684800000,1/11729929955282691096192019271688751114554749183757723797626552320000000000,False,True
23,0,1,1,106425394494182556214892101632000000,1/2,True,False
23,0,1,1/2,106425394494182556214892101632000000,1/16777216,False,False
23,1,1,1,106425394494182556214892101632000000,1/22652729186484765500820960068864556319211356255635634126848000000000000,False,True
23,1,1,1/2,106425394494182556214892101632000000,1/190024865275579595758310712201357768055786936776875125521550147584000000000000,False,True
24,0,1,1,10003987082453160284199857553408000000,1/2,True,False
24,0,1,1/2,10003987082453160284199857553408000000,1/33554432,False,False
24,1,1,1,10003987082453160284199857553408000000,1/200159515091779387965254003168487219636551543874796463144828928000000000000,False,True
24,1,1,1/2,10003987082453160284199857553408000000,1/3358119419150042616240866906022394477081866746720937218216834208104448000000000000,False,True
25,0,1,1,980390734080409707851586040233984000000,1/2,True,False
