inventory,k,cycle,holonomy,support_present,positive_weight,inventory_product,composite_length_witness
native_integer,2,2-3,2,True,True,6,False
native_integer,3,3-4-5,2,True,True,60,False
native_integer,4,4-5-6-7,2,True,True,840,True
native_integer,5,5-6-7-8-9,2,True,True,15120,False
native_integer,6,6-7-8-9-10-11,2,True,True,332640,True
native_integer,7,7-8-9-10-11-12-13,2,True,True,8648640,False
native_integer,8,8-9-10-11-12-13-14-15,2,True,True,259459200,True
native_integer,9,9-10-11-12-13-14-15-16-17,2,True,True,8821612800,True
native_integer,10,10-11-12-13-14-15-16-17-18-19,2,True,True,335221286400,True
native_integer,11,11-12-13-14-15-16-17-18-19-20-21,2,True,True,14079294028800,False
native_integer,12,12-13-14-15-16-17-18-19-20-21-22-23,2,True,True,647647525324800,True
native_integer,13,13-14-15-16-17-18-19-20-21-22-23-24-25,2,True,True,32382376266240000,False
native_integer,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,2,True,True,1748648318376960000,True
native_integer,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,2,True,True,101421602465863680000,True
native_integer,16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,2,True,True,6288139352883548160000,True
native_integer,17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,2,True,True,415017197290314178560000,False
native_integer,18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,2,True,True,29051203810321992499200000,True
native_integer,19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,2,True,True,2149789081963827444940800000,False
native_integer,20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,2,True,True,167683548393178540705382400000,True
native_integer,21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,2,True,True,13750050968240640337841356800000,True
native_integer,22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,2,True,True,1182504383268695069054356684800000,True
native_integer,23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,2,True,True,106425394494182556214892101632000000,False
native_integer,24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,2,True,True,10003987082453160284199857553408000000,True
native_integer,25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,2,True,True,980390734080409707851586040233984000000,True
native_integer,26,26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51,2,True,True,99999854876201790200861776103866368000000,True
native_integer,27,27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53,2,True,True,10599984616877389761291348267009835008000000,True
native_integer,28,28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55,2,True,True,1165998307856512873742048309371081850880000000,True
native_integer,29,29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57,2,True,True,132923807095642467606593507268303331000320000000,False
native_integer,30,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59,2,True,True,15685009237285811177578033857659793058037760000000,True
native_integer,31,31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61,2,True,True,1913571126948868963664520130634494753080606720000000,False
native_integer,32,32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63,2,True,True,241109961995557489421729536459946338888156446720000000,True
shifted,2,2-3,2,True,True,12,False
shifted,3,3-4-5,2,True,True,120,False
shifted,4,4-5-6-7,2,True,True,1680,True
shifted,5,5-6-7-8-9,2,True,True,30240,False
shifted,6,6-7-8-9-10-11,2,True,True,665280,True
shifted,7,7-8-9-10-11-12-13,2,True,True,17297280,False
shifted,8,8-9-10-11-12-13-14-15,2,True,True,518918400,True
shifted,9,9-10-11-12-13-14-15-16-17,2,True,True,17643225600,True
shifted,10,10-11-12-13-14-15-16-17-18-19,2,True,True,670442572800,True
shifted,11,11-12-13-14-15-16-17-18-19-20-21,2,True,True,28158588057600,False
shifted,12,12-13-14-15-16-17-18-19-20-21-22-23,2,True,True,1295295050649600,True
shifted,13,13-14-15-16-17-18-19-20-21-22-23-24-25,2,True,True,64764752532480000,False
shifted,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,2,True,True,3497296636753920000,True
shifted,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,2,True,True,202843204931727360000,True
shifted,16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,2,True,True,12576278705767096320000,True
shifted,17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,2,True,True,830034394580628357120000,False
shifted,18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,2,True,True,58102407620643984998400000,True
shifted,19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,2,True,True,4299578163927654889881600000,False
shifted,20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,2,True,True,335367096786357081410764800000,True
shifted,21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,2,True,True,27500101936481280675682713600000,True
shifted,22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,2,True,True,2365008766537390138108713369600000,True
shifted,23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,2,True,True,212850788988365112429784203264000000,False
shifted,24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,2,True,True,20007974164906320568399715106816000000,True
shifted,25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,2,True,True,1960781468160819415703172080467968000000,True
shifted,26,26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51,2,True,True,199999709752403580401723552207732736000000,True
shifted,27,27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53,2,True,True,21199969233754779522582696534019670016000000,True
shifted,28,28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55,2,True,True,2331996615713025747484096618742163701760000000,True
shifted,29,29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57,2,True,True,265847614191284935213187014536606662000640000000,False
shifted,30,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59,2,True,True,31370018474571622355156067715319586116075520000000,True
shifted,31,31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61,2,True,True,3827142253897737927329040261268989506161213440000000,False
shifted,32,32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63,2,True,True,482219923991114978843459072919892677776312893440000000,True
composite_polynomial,2,2-3,2,True,True,72,False
composite_polynomial,3,3-4-5,2,True,True,7200,False
composite_polynomial,4,4-5-6-7,2,True,True,1411200,True
composite_polynomial,5,5-6-7-8-9,2,True,True,457228800,False
composite_polynomial,6,6-7-8-9-10-11,2,True,True,221298739200,True
composite_polynomial,7,7-8-9-10-11-12-13,2,True,True,149597947699200,False
composite_polynomial,8,8-9-10-11-12-13-14-15,2,True,True,134638152929280000,True
composite_polynomial,9,9-10-11-12-13-14-15-16-17,2,True,True,155641704786247680000,True
composite_polynomial,10,10-11-12-13-14-15-16-17-18-19,2,True,True,224746621711341649920000,True
composite_polynomial,11,11-12-13-14-15-16-17-18-19-20-21,2,True,True,396453040698806670458880000,False
composite_polynomial,12,12-13-14-15-16-17-18-19-20-21-22-23,2,True,True,838894634118674914690990080000,True
composite_polynomial,13,13-14-15-16-17-18-19-20-21-22-23-24-25,2,True,True,2097236585296687286727475200000000,False
composite_polynomial,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,2,True,True,6115541882725140128097317683200000000,True
composite_polynomial,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,2,True,True,20572682893487371390919376686284800000000,True
composite_polynomial,16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,2,True,True,79081393042565455626694083982078771200000000,True
composite_polynomial,17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,2,True,True,344478548093415124709879429825935127347200000000,False
composite_polynomial,18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,2,True,True,1687944885657734111078409206147082124001280000000000,True
composite_polynomial,19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,2,True,True,9243186193861751992265368812861421711031009280000000000,False
composite_polynomial,20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,2,True,True,56235544803454899120942503857448889689912660459520000000000,True
composite_polynomial,21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,2,True,True,378127803258430741689217395937486334274972728929812480000000000,True
composite_polynomial,22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,2,True,True,2796633232899353765533451860353648928297698303164893102080000000000,True
composite_polynomial,23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,2,True,True,22652729186484765500820960068864556319211356255635634126848000000000000,False
composite_polynomial,24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,2,True,True,200159515091779387965254003168487219636551543874796463144828928000000000000,True
composite_polynomial,25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,2,True,True,1922331982941449242018299446430151257389441027373545232042937024512000000000000,True
composite_polynomial,26,26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51,2,True,True,19999941950522837913958387440659293681879744448794364594174716803022848000000000000,True
composite_polynomial,27,27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53,2,True,True,224719347756074606801236441283247823809600808626653480580147117998764720128000000000000,True
composite_polynomial,28,28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55,2,True,True,2719104107848502742294960939527298668096169784382507115019780127785053113548800000000000000,True
composite_polynomial,29,29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57,2,True,True,35337476985599141638865312370096773490577822517835062466797062540694550263680204800000000000000,False
composite_polynomial,30,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59,2,True,True,492039029547482448179560609441227474082805600738335409787682298816630917871483171635200000000000000,True
composite_polynomial,31,31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61,2,True,True,7323508915784728758704580110923229724248478561389384239279863335586734581599155526618316800000000000000,False
