power,s_integer,grid_size_check,holonomy,exact,recovered_real,recovered_imag,absolute_error,generators,moduli,grid_size,alias_free
2,1,3,2,1/18,0.055555555555555552,-1.1564823173178713e-18,1.1564823173178713e-18,2,3,3,True
3,1,3,2,1/1200,0.00083333333333333339,0,0,2,3,3,True
4,1,12,2,1/176400,5.668934240362734e-06,0,7.7927031147395631e-20,"2,3","4,3",12,True
4,1,12,3,1/3600,0.00027777777777777778,-1.807003620809174e-20,1.807003620809174e-20,"2,3","4,3",12,True
4,1,12,4,1/648,0.0015432098765432098,4.5175090520229349e-21,4.5175090520229349e-21,"2,3","4,3",12,True
5,1,4,2,1/45722880,2.1870888273005437e-08,1.6940658945086007e-21,1.857145561310816e-21,2,4,4,True
5,1,4,4,1/25920,3.8580246913580246e-05,-8.2718061255302767e-25,8.2718061255302767e-25,2,4,4,True
6,1,15,2,1/18441561600,5.4225342827153725e-11,3.1622563364160546e-21,3.5095943198630952e-21,"2,3","5,3",15,True
6,1,15,3,1/67737600,1.4762849584275973e-08,0,2.182102455914887e-21,"2,3","5,3",15,True
6,1,15,4,11/23520000,4.6768707482993204e-07,1.3552527156068806e-21,1.3562862972427592e-21,"2,3","5,3",15,True
6,1,15,6,1/86400,1.1574074074074067e-05,-1.5811281682080273e-21,6.9582838662486661e-21,"2,3","5,3",15,True
6,1,15,8,1/23328,4.286694101508916e-05,0,0,"2,3","5,3",15,True
