s_integer,degree,neutral_trace,expected_trace,match,determinant_coefficient
1,1,0,0,True,
1,2,0,0,True,
1,3,0,0,True,
1,4,0,0,True,
1,5,0,0,True,
1,6,0,0,True,
1,7,0,0,True,
1,8,0,0,True,
1,9,0,0,True,
1,10,0,0,True,
1,0,not_applicable,not_applicable,True,1
1,1,not_applicable,not_applicable,True,0
1,2,not_applicable,not_applicable,True,0
1,3,not_applicable,not_applicable,True,0
1,4,not_applicable,not_applicable,True,0
1,5,not_applicable,not_applicable,True,0
1,6,not_applicable,not_applicable,True,0
1,7,not_applicable,not_applicable,True,0
1,8,not_applicable,not_applicable,True,0
1,9,not_applicable,not_applicable,True,0
1,10,not_applicable,not_applicable,True,0
2,1,0,0,True,
2,2,0,0,True,
2,3,0,0,True,
2,4,0,0,True,
2,5,0,0,True,
2,6,0,0,True,
2,7,0,0,True,
2,8,0,0,True,
2,9,0,0,True,
2,10,0,0,True,
2,0,not_applicable,not_applicable,True,1
2,1,not_applicable,not_applicable,True,0
2,2,not_applicable,not_applicable,True,0
2,3,not_applicable,not_applicable,True,0
2,4,not_applicable,not_applicable,True,0
2,5,not_applicable,not_applicable,True,0
2,6,not_applicable,not_applicable,True,0
2,7,not_applicable,not_applicable,True,0
2,8,not_applicable,not_applicable,True,0
2,9,not_applicable,not_applicable,True,0
2,10,not_applicable,not_applicable,True,0
