cutoff,atom,kind,k,cycle,classification_match,predicted_in_cutoff
12,2,enumerated,2,2-3,True,True
12,2,enumerated,3,3-4-5,True,True
12,2,enumerated,4,4-5-6-7,True,True
12,2,enumerated,5,5-6-7-8-9,True,True
12,2,enumerated,6,6-7-8-9-10-11,True,True
12,2,predicted,2,2-3,True,True
12,2,predicted,3,3-4-5,True,True
12,2,predicted,4,4-5-6-7,True,True
12,2,predicted,5,5-6-7-8-9,True,True
12,2,predicted,6,6-7-8-9-10-11,True,True
12,3,enumerated,2,2-3-4-5,True,True
12,3,enumerated,3,3-4-5-6-7-8,True,True
12,3,enumerated,4,4-5-6-7-8-9-10-11,True,True
12,3,predicted,2,2-3-4-5,True,True
12,3,predicted,3,3-4-5-6-7-8,True,True
12,3,predicted,4,4-5-6-7-8-9-10-11,True,True
12,5,enumerated,2,2-3-4-5-6-7-8-9,True,True
12,5,predicted,2,2-3-4-5-6-7-8-9,True,True
20,2,enumerated,2,2-3,True,True
20,2,enumerated,3,3-4-5,True,True
20,2,enumerated,4,4-5-6-7,True,True
20,2,enumerated,5,5-6-7-8-9,True,True
20,2,enumerated,6,6-7-8-9-10-11,True,True
20,2,enumerated,7,7-8-9-10-11-12-13,True,True
20,2,enumerated,8,8-9-10-11-12-13-14-15,True,True
20,2,enumerated,9,9-10-11-12-13-14-15-16-17,True,True
20,2,enumerated,10,10-11-12-13-14-15-16-17-18-19,True,True
20,2,predicted,2,2-3,True,True
20,2,predicted,3,3-4-5,True,True
20,2,predicted,4,4-5-6-7,True,True
20,2,predicted,5,5-6-7-8-9,True,True
20,2,predicted,6,6-7-8-9-10-11,True,True
20,2,predicted,7,7-8-9-10-11-12-13,True,True
20,2,predicted,8,8-9-10-11-12-13-14-15,True,True
20,2,predicted,9,9-10-11-12-13-14-15-16-17,True,True
20,2,predicted,10,10-11-12-13-14-15-16-17-18-19,True,True
20,3,enumerated,2,2-3-4-5,True,True
20,3,enumerated,3,3-4-5-6-7-8,True,True
20,3,enumerated,4,4-5-6-7-8-9-10-11,True,True
20,3,enumerated,5,5-6-7-8-9-10-11-12-13-14,True,True
20,3,enumerated,6,6-7-8-9-10-11-12-13-14-15-16-17,True,True
20,3,enumerated,7,7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
20,3,predicted,2,2-3-4-5,True,True
20,3,predicted,3,3-4-5-6-7-8,True,True
20,3,predicted,4,4-5-6-7-8-9-10-11,True,True
20,3,predicted,5,5-6-7-8-9-10-11-12-13-14,True,True
20,3,predicted,6,6-7-8-9-10-11-12-13-14-15-16-17,True,True
20,3,predicted,7,7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
20,5,enumerated,2,2-3-4-5-6-7-8-9,True,True
20,5,enumerated,3,3-4-5-6-7-8-9-10-11-12-13-14,True,True
20,5,enumerated,4,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,True,True
20,5,predicted,2,2-3-4-5-6-7-8-9,True,True
20,5,predicted,3,3-4-5-6-7-8-9-10-11-12-13-14,True,True
20,5,predicted,4,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,True,True
20,7,enumerated,2,2-3-4-5-6-7-8-9-10-11-12-13,True,True
20,7,enumerated,3,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
20,7,predicted,2,2-3-4-5-6-7-8-9-10-11-12-13,True,True
20,7,predicted,3,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
30,2,enumerated,2,2-3,True,True
30,2,enumerated,3,3-4-5,True,True
30,2,enumerated,4,4-5-6-7,True,True
30,2,enumerated,5,5-6-7-8-9,True,True
30,2,enumerated,6,6-7-8-9-10-11,True,True
30,2,enumerated,7,7-8-9-10-11-12-13,True,True
30,2,enumerated,8,8-9-10-11-12-13-14-15,True,True
30,2,enumerated,9,9-10-11-12-13-14-15-16-17,True,True
30,2,enumerated,10,10-11-12-13-14-15-16-17-18-19,True,True
30,2,enumerated,11,11-12-13-14-15-16-17-18-19-20-21,True,True
30,2,enumerated,12,12-13-14-15-16-17-18-19-20-21-22-23,True,True
30,2,enumerated,13,13-14-15-16-17-18-19-20-21-22-23-24-25,True,True
30,2,enumerated,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,True,True
30,2,enumerated,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,True,True
30,2,predicted,2,2-3,True,True
30,2,predicted,3,3-4-5,True,True
30,2,predicted,4,4-5-6-7,True,True
30,2,predicted,5,5-6-7-8-9,True,True
30,2,predicted,6,6-7-8-9-10-11,True,True
30,2,predicted,7,7-8-9-10-11-12-13,True,True
30,2,predicted,8,8-9-10-11-12-13-14-15,True,True
30,2,predicted,9,9-10-11-12-13-14-15-16-17,True,True
30,2,predicted,10,10-11-12-13-14-15-16-17-18-19,True,True
30,2,predicted,11,11-12-13-14-15-16-17-18-19-20-21,True,True
30,2,predicted,12,12-13-14-15-16-17-18-19-20-21-22-23,True,True
30,2,predicted,13,13-14-15-16-17-18-19-20-21-22-23-24-25,True,True
30,2,predicted,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,True,True
30,2,predicted,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,True,True
30,3,enumerated,2,2-3-4-5,True,True
30,3,enumerated,3,3-4-5-6-7-8,True,True
30,3,enumerated,4,4-5-6-7-8-9-10-11,True,True
30,3,enumerated,5,5-6-7-8-9-10-11-12-13-14,True,True
30,3,enumerated,6,6-7-8-9-10-11-12-13-14-15-16-17,True,True
30,3,enumerated,7,7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
30,3,enumerated,8,8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,True,True
30,3,enumerated,9,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26,True,True
30,3,enumerated,10,10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,True,True
30,3,predicted,2,2-3-4-5,True,True
30,3,predicted,3,3-4-5-6-7-8,True,True
30,3,predicted,4,4-5-6-7-8-9-10-11,True,True
30,3,predicted,5,5-6-7-8-9-10-11-12-13-14,True,True
30,3,predicted,6,6-7-8-9-10-11-12-13-14-15-16-17,True,True
30,3,predicted,7,7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
30,3,predicted,8,8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,True,True
30,3,predicted,9,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26,True,True
30,3,predicted,10,10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,True,True
30,5,enumerated,2,2-3-4-5-6-7-8-9,True,True
30,5,enumerated,3,3-4-5-6-7-8-9-10-11-12-13-14,True,True
30,5,enumerated,4,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,True,True
30,5,enumerated,5,5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,True,True
30,5,enumerated,6,6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,True,True
30,5,predicted,2,2-3-4-5-6-7-8-9,True,True
30,5,predicted,3,3-4-5-6-7-8-9-10-11-12-13-14,True,True
30,5,predicted,4,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,True,True
30,5,predicted,5,5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,True,True
30,5,predicted,6,6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,True,True
30,7,enumerated,2,2-3-4-5-6-7-8-9-10-11-12-13,True,True
30,7,enumerated,3,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,True,True
