k,physical_length_q_k,degree_d_k,linear_clock_k,minimum_uniform_edge_degree_for_closed_trace_at_level_k,exact_ratio_q_k_over_k
1,2,2,1,2,2/1
2,3,3,2,2,3/2
3,5,5,3,2,5/3
4,8,8,4,2,8/4
5,13,13,5,3,13/5
6,21,21,6,4,21/6
7,34,34,7,5,34/7
8,55,55,8,7,55/8
9,89,89,9,10,89/9
10,144,144,10,15,144/10
11,233,233,11,22,233/11
12,377,377,12,32,377/12
13,610,610,13,47,610/13
14,987,987,14,71,987/14
15,1597,1597,15,107,1597/15
16,2584,2584,16,162,2584/16
17,4181,4181,17,246,4181/17
18,6765,6765,18,376,6765/18
19,10946,10946,19,577,10946/19
20,17711,17711,20,886,17711/20
21,28657,28657,21,1365,28657/21
22,46368,46368,22,2108,46368/22
23,75025,75025,23,3262,75025/23
24,121393,121393,24,5059,121393/24
25,196418,196418,25,7857,196418/25
26,317811,317811,26,12224,317811/26
27,514229,514229,27,19046,514229/27
28,832040,832040,28,29716,832040/28
29,1346269,1346269,29,46424,1346269/29
30,2178309,2178309,30,72611,2178309/30
